bowler,MOM1617
A Mishra,1
A Nehra,1
A Zampa,1
AB Dinda,2
AB de Villiers,4
AD Russell,3
AJ Finch,3
AJ Tye,2
AM Rahane,2
AR Patel,2
AT Rayudu,1
B Kumar,3
BA Stokes,3
BCJ Cutting,1
CA Lynn,1
CH Gayle,1
CH Morris,2
CJ Anderson,1
CR Brathwaite,1
DA Warner,4
DR Smith,3
G Gambhir,2
GJ Maxwell,1
HM Amla,2
HV Patel,1
JC Buttler,1
JD Unadkat,2
JJ Bumrah,1
KA Pollard,1
KH Pandya,4
KK Nair,2
KM Jadhav,1
KS Williamson,1
KV Sharma,1
LH Ferguson,1
LMP Simmons,1
M Vohra,1
MC Henriques,1
MJ McClenaghan,1
MM Sharma,1
MP Stoinis,2
MS Dhoni,2
Mohammed Shami,1
Mohammed Siraj,1
Mustafizur Rahman,1
N Rana,2
NM Coulter-Nile,3
P Kumar,1
PA Patel,1
Q de Kock,1
RA Tripathi,1
RG Sharma,5
RR Pant,2
RV Uthappa,3
Rashid Khan,2
S Dhawan,1
SA Yadav,1
SK Raina,2
SP Narine,2
SPD Smith,1
SR Watson,1
SS Iyer,1
SV Samson,2
Sandeep Sharma,2
V Kohli,5
WP Saha,1
Washington Sundar,1
YK Pathan,2
Yuvraj Singh,1
