batsman,MOM,avg.runs,4's,6's,50's,100\s,no of balls,batsman_runs,strike,30\s
A Chandila,1,2.0,0,0,0,0,7,4,57.14285714,0
A Joseph,1,15.0,2,0,0,0,13,15,115.3846154,0
A Kumble,3,2.333333333,4,0,0,0,49,35,71.42857143,0
A Mishra,11,6.814814815,30,5,0,0,410,368,89.75609756,2
A Nehra,6,2.411764706,3,1,0,0,63,41,65.07936508,0
A Singh,1,0.4,0,0,0,0,10,2,20.0,0
A Symonds,3,27.05555556,75,41,5,1,781,974,124.7119078,14
A Zampa,1,2.5,1,0,0,0,8,5,62.5,0
AA Jhunjhunwala,1,14.46666667,20,5,1,0,218,217,99.5412844,2
AB Dinda,2,1.625,2,0,0,0,50,26,52.0,0
AB de Villiers,20,31.18309859,361,211,34,3,2977,4428,148.7403426,56
AC Gilchrist,7,25.8625,240,92,12,2,1555,2069,133.0546624,26
AC Voges,1,25.85714286,16,3,0,0,143,181,126.5734266,2
AD Mascarenhas,1,7.181818182,5,1,0,0,79,79,100.0,0
AD Mathews,1,17.65853659,45,29,1,0,599,724,120.8681135,8
AD Russell,11,27.78846154,99,119,10,0,803,1445,179.9501868,23
AJ Finch,5,23.89041096,179,67,11,0,1372,1744,127.1137026,23
AJ Tye,2,7.833333333,6,4,0,0,72,94,130.5555556,0
AM Rahane,12,29.16666667,410,74,29,2,3215,3850,119.7511664,55
AP Tare,1,12.55555556,41,11,1,0,285,339,118.9473684,2
AR Patel,4,13.0,48,35,0,0,655,806,123.0534351,7
AS Rajpoot,2,3.6,2,0,0,0,31,18,58.06451613,0
AS Yadav,2,28.88571429,111,28,6,0,760,1011,133.0263158,15
AT Rayudu,9,24.10144928,281,120,19,1,2681,3326,124.0581872,47
Azhar Mahmood,2,18.47619048,40,13,2,0,311,388,124.7588424,5
B Kumar,5,4.634146341,17,3,0,0,197,190,96.44670051,0
B Lee,2,6.526315789,8,8,0,0,102,124,121.5686275,0
B Stanlake,1,5.0,1,0,0,0,2,5,250.0,0
BA Bhatt,1,3.0,0,1,0,0,7,6,85.71428571,0
BA Stokes,3,20.21875,43,25,1,1,493,647,131.2373225,7
BB McCullum,5,26.5412844,294,128,15,2,2272,2893,127.3327465,44
BCJ Cutting,1,14.11764706,15,19,0,0,146,240,164.3835616,2
BJ Hodge,6,22.22222222,125,43,5,0,1153,1400,121.4223764,21
CA Lynn,4,31.90243902,127,63,9,0,939,1308,139.2971246,19
CH Gayle,21,36.77419355,383,322,35,7,3131,4560,145.6403705,56
CH Morris,2,14.05405405,37,26,2,0,339,520,153.3923304,5
CJ Anderson,3,18.55172414,40,31,2,0,436,538,123.3944954,7
CL White,1,21.57777778,75,38,6,0,774,971,125.4521964,15
CR Brathwaite,1,13.42857143,10,16,0,0,120,188,156.6666667,2
CRD Fernando,1,2.0,0,0,0,0,3,4,133.3333333,0
DA Miller,3,24.35064935,131,86,11,1,1376,1875,136.2645349,23
DA Warner,17,37.62698413,462,179,48,4,3398,4741,139.523249,67
DE Bollinger,2,5.25,1,1,0,0,23,21,91.30434783,0
DJ Bravo,3,15.13131313,118,60,4,0,1193,1498,125.5658005,15
DJ Hooda,1,11.88888889,26,24,1,0,431,535,124.1299304,4
DJ Hussey,2,21.67213115,90,60,4,0,1101,1322,120.0726612,19
DJG Sammy,1,14.75,15,18,1,0,251,295,117.5298805,1
DL Chahar,1,10.42857143,2,6,0,0,46,73,158.6956522,1
DL Vettori,1,7.5625,12,2,0,0,118,121,102.5423729,0
DP Nannes,1,2.0,0,0,0,0,13,4,30.76923077,0
DPMD Jayawardene,5,23.17948718,201,40,11,1,1522,1808,118.7910644,23
DR Smith,11,27.10227273,249,117,15,0,1803,2385,132.2795341,35
DW Steyn,5,5.1875,16,3,0,0,161,166,103.1055901,0
EJG Morgan,1,18.97777778,76,34,4,0,725,854,117.7931034,10
F du Plessis,4,29.28125,165,59,11,0,1499,1874,125.0166778,28
G Gambhir,13,27.96688742,499,58,34,0,3524,4223,119.8354143,58
GC Smith,2,25.48275862,95,9,4,0,691,739,106.9464544,9
GD McGrath,1,2.0,1,0,0,0,5,4,80.0,0
GH Vihari,2,13.33333333,23,1,0,0,323,280,86.6873065,3
GJ Bailey,1,18.41666667,60,19,2,0,552,663,120.1086957,8
GJ Maxwell,5,20.94029851,113,91,6,0,902,1403,155.5432373,18
H Gurney,1,1.0,0,0,0,0,5,1,20.0,0
HH Gibbs,1,24.61111111,84,31,5,0,837,886,105.8542413,11
HH Pandya,6,18.32786885,74,69,3,0,736,1118,151.9021739,12
HM Amla,2,36.0625,60,21,5,2,418,577,138.0382775,6
HV Patel,2,7.2,3,9,0,0,74,108,145.9459459,1
Harbhajan Singh,8,9.697674419,79,42,1,0,632,834,131.9620253,6
Harmeet Singh,2,4.5,3,0,0,0,12,18,150.0,0
I Sharma,2,3.055555556,4,2,0,0,62,55,88.70967742,0
IK Pathan,2,14.02439024,94,38,1,0,985,1150,116.751269,10
Imran Tahir,1,2.857142857,3,0,0,0,27,20,74.07407407,0
Iqbal Abdulla,2,6.769230769,9,1,0,0,86,88,102.3255814,1
Ishan Kishan,1,21.54545455,64,34,3,0,546,711,130.2197802,10
J Archer,1,7.727272727,6,4,0,0,62,85,137.0967742,0
J Bairstow,2,46.8,50,18,4,1,293,468,159.7269625,7
J Botha,1,14.60714286,39,5,1,0,364,409,112.3626374,4
J Theron,1,2.5,1,0,0,0,13,10,76.92307692,0
JA Morkel,2,14.55223881,61,54,3,0,712,975,136.9382022,7
JC Buttler,5,31.8,141,62,9,0,954,1431,150.0,16
JD Ryder,1,20.82758621,67,19,4,0,466,604,129.6137339,8
JD Unadkat,5,4.583333333,6,1,0,0,54,55,101.8518519,0
JDP Oram,1,9.636363636,6,5,0,0,110,106,96.36363636,1
JEC Franklin,1,20.4375,25,9,1,0,309,327,105.8252427,3
JH Kallis,10,25.54736842,257,44,17,0,2291,2427,105.9362724,34
JJ Bumrah,5,3.7,2,1,0,0,39,37,94.87179487,0
JJ Roy,1,23.25,18,8,1,0,139,186,133.8129496,2
JP Duminy,4,27.21333333,128,79,14,0,1680,2041,121.4880952,28
JP Faulkner,5,11.71111111,36,23,0,0,406,527,129.8029557,6
K Ahmed,1,0.0,0,0,0,0,1,0,0.0,0
K Paul,1,4.4,1,1,0,0,26,22,84.61538462,0
K Rabada,1,10.0,5,2,0,0,83,70,84.3373494,1
KA Pollard,10,21.09090909,184,174,13,0,1964,2784,141.7515275,30
KC Sangakkara,5,24.80882353,197,26,9,0,1424,1687,118.4691011,23
KD Karthik,4,22.7654321,358,101,17,1,2890,3688,127.6124567,52
KH Pandya,4,19.89130435,86,36,1,0,635,915,144.0944882,13
KK Cooper,1,9.666666667,9,8,0,0,70,116,165.7142857,1
KK Nair,3,23.33333333,159,39,8,0,1160,1470,126.7241379,21
KL Rahul,4,34.70689655,177,81,17,2,1465,2013,137.4061433,26
KM Jadhav,2,15.58571429,92,38,3,0,879,1091,124.1183163,11
KMDN Kulasekara,1,5.0,1,0,0,0,3,5,166.6666667,0
KP Pietersen,3,27.80555556,92,40,4,1,758,1001,132.0580475,15
KS Williamson,3,32.17073171,114,44,10,0,981,1319,134.4546381,20
KV Sharma,1,9.323529412,18,14,0,0,285,317,111.2280702,2
Kuldeep Yadav,1,5.75,4,0,0,0,55,46,83.63636364,0
L Balaji,3,2.769230769,2,1,0,0,50,36,72.0,0
LH Ferguson,1,1.0,0,0,0,0,1,1,100.0,0
LJ Wright,1,21.2,15,3,0,0,63,106,168.2539683,2
LMP Simmons,3,37.20689655,110,44,12,1,878,1079,122.8929385,17
LR Shukla,1,12.27272727,33,16,0,0,358,405,113.1284916,3
LRPL Taylor,3,18.83333333,68,45,3,0,847,1017,120.0708383,11
M Kartik,1,8.071428571,7,1,0,0,109,113,103.6697248,0
M Morkel,2,6.3,10,5,0,0,93,126,135.483871,0
M Muralitharan,2,2.222222222,1,0,0,0,30,20,66.66666667,0
M Ntini,2,5.5,2,0,0,0,19,11,57.89473684,0
