player,MOM1617,MOM819,MOM1819,MOMF
A Mishra,1,11,2,3
A Nehra,1,6,0,1.25
A Zampa,1,1,0,0.5
AB Dinda,2,2,0,1
AB de Villiers,4,20,5,6.9
AD Russell,3,11,5,5.2
AJ Finch,3,5,0,1.8
AJ Tye,2,2,0,1
AM Rahane,2,12,0,2.5
AR Patel,2,4,0,1.3
AT Rayudu,1,9,2,2.7
B Kumar,3,5,0,1.8
BA Stokes,3,3,0,1.5
BCJ Cutting,1,1,0,0.5
CA Lynn,1,4,2,1.95
CH Gayle,1,21,3,5
CH Morris,2,2,0,1
CJ Anderson,1,3,0,0.8
CR Brathwaite,1,1,0,0.5
DA Warner,4,17,2,4.95
DR Smith,3,11,0,2.7
G Gambhir,2,13,0,2.65
GJ Maxwell,1,5,0,1.1
HM Amla,2,2,0,1
HV Patel,1,2,1,1.15
JC Buttler,1,5,4,3.1
JD Unadkat,2,5,1,1.95
JJ Bumrah,1,5,4,3.1
KA Pollard,1,10,1,2.35
KH Pandya,4,4,0,2
KK Nair,2,3,0,1.15
KM Jadhav,1,2,0,0.65
KS Williamson,1,3,2,1.8
KV Sharma,1,1,0,0.5
LH Ferguson,1,1,0,0.5
LMP Simmons,1,3,0,0.8
M Vohra,1,3,0,0.8
MC Henriques,1,2,0,0.65
MJ McClenaghan,1,2,0,0.65
MM Sharma,1,2,0,0.65
MP Stoinis,2,2,0,1
MS Dhoni,2,17,4,5.25
Mohammed Shami,1,1,0,0.5
Mohammed Siraj,1,1,0,0.5
Mustafizur Rahman,1,1,0,0.5
N Rana,2,4,2,2.3
NM Coulter-Nile,3,4,0,1.65
P Kumar,1,2,0,0.65
PA Patel,1,5,1,1.6
Q de Kock,1,1,0,0.5
RA Tripathi,1,1,0,0.5
RG Sharma,5,17,3,5.8
RR Pant,2,6,4,3.6
RV Uthappa,3,7,0,2.1
Rashid Khan,2,7,5,4.25
S Dhawan,1,6,4,3.25
SA Yadav,1,1,0,0.5
SK Raina,2,14,0,2.8
SP Narine,2,9,3,3.55
SPD Smith,1,5,1,1.6
SR Watson,1,15,5,5.1
SS Iyer,1,4,2,1.95
SV Samson,2,5,2,2.45
Sandeep Sharma,2,5,0,1.45
V Kohli,5,12,1,4.05
WP Saha,1,3,0,0.8
Washington Sundar,1,1,0,0.5
YK Pathan,2,16,0,3.1
Yuvraj Singh,1,5,0,1.1
A Chandila,0,1,0,0.15
A Joseph,0,1,1,0.65
A Kumble,0,3,0,0.45
A Singh,0,1,0,0.15
A Symonds,0,3,0,0.45
AA Jhunjhunwala,0,1,0,0.15
AC Gilchrist,0,7,0,1.05
AC Voges,0,1,0,0.15
AD Mascarenhas,0,1,0,0.15
AD Mathews,0,1,0,0.15
AP Tare,0,1,0,0.15
AS Rajpoot,0,2,2,1.3
AS Yadav,0,2,2,1.3
Azhar Mahmood,0,2,0,0.3
B Lee,0,2,0,0.3
B Stanlake,0,1,1,0.65
BA Bhatt,0,1,0,0.15
BB McCullum,0,5,0,0.75
BJ Hodge,0,6,0,0.9
BW Hilfenhaus,0,2,0,0.3
CL White,0,1,0,0.15
CRD Fernando,0,1,0,0.15
DA Miller,0,3,0,0.45
DE Bollinger,0,2,0,0.3
DJ Bravo,0,3,1,0.95
DJ Hooda,0,1,0,0.15
DJ Hussey,0,2,0,0.3
DJG Sammy,0,1,0,0.15
DL Chahar,0,1,1,0.65
DL Vettori,0,1,0,0.15
DP Nannes,0,1,0,0.15
DPMD Jayawardene,0,5,0,0.75
DW Steyn,0,5,0,0.75
EJG Morgan,0,1,0,0.15
F du Plessis,0,4,2,1.6
GC Smith,0,2,0,0.3
GD McGrath,0,1,0,0.15
GH Vihari,0,2,0,0.3
GJ Bailey,0,1,0,0.15
H Gurney,0,1,1,0.65
HH Gibbs,0,1,0,0.15
HH Pandya,0,6,4,2.9
Harbhajan Singh,0,8,2,2.2
Harmeet Singh,0,2,0,0.3
I Sharma,0,2,0,0.3
IK Pathan,0,2,0,0.3
Imran Tahir,0,1,1,0.65
Iqbal Abdulla,0,2,0,0.3
Ishan Kishan,0,1,1,0.65
J Archer,0,1,1,0.65
J Bairstow,0,2,2,1.3
J Botha,0,1,0,0.15
J Theron,0,1,0,0.15
JA Morkel,0,2,0,0.3
JD Ryder,0,1,0,0.15
JDP Oram,0,1,0,0.15
JEC Franklin,0,1,0,0.15
JH Kallis,0,10,0,1.5
JJ Roy,0,1,1,0.65
JP Duminy,0,4,0,0.6
JP Faulkner,0,5,0,0.75
K Ahmed,0,1,1,0.65
K Paul,0,1,1,0.65
K Rabada,0,1,1,0.65
KC Sangakkara,0,5,0,0.75
KD Karthik,0,4,0,0.6
KK Cooper,0,1,0,0.15
KL Rahul,0,4,4,2.6
KMDN Kulasekara,0,1,0,0.15
KP Pietersen,0,3,0,0.45
Kuldeep Yadav,0,1,1,0.65
L Balaji,0,3,0,0.45
L Ngidi,0,1,1,0.65
LJ Wright,0,1,0,0.15
LR Shukla,0,1,0,0.15
LRPL Taylor,0,3,0,0.45
M Kartik,0,1,0,0.15
M Morkel,0,2,0,0.3
M Muralitharan,0,2,0,0.3
M Ntini,0,2,0,0.3
M Ur Rahman,0,1,1,0.65
M Vijay,0,6,0,0.9
MA Agarwal,0,2,1,0.8
MA Starc,0,1,0,0.15
MD Mishra,0,1,0,0.15
MEK Hussey,0,12,0,1.8
MF Maharoof,0,1,0,0.15
MG Johnson,0,2,0,0.3
MJ Lumb,0,1,0,0.15
MK Pandey,0,4,0,0.6
MK Tiwary,0,3,0,0.45
ML Hayden,0,4,0,0.6
MM Patel,0,2,0,0.3
MN Samuels,0,1,0,0.15
MR Marsh,0,1,0,0.15
MS Bisla,0,1,0,0.15
MS Gony,0,1,0,0.15
MV Boucher,0,2,0,0.3
Mandeep Singh,0,3,0,0.45
NV Ojha,0,1,0,0.15
P Negi,0,2,0,0.3
P Parameswaran,0,1,0,0.15
P Shaw,0,1,1,0.65
PC Valthaty,0,2,0,0.3
PD Collingwood,0,1,0,0.15
PP Chawla,0,3,0,0.45
PP Ojha,0,1,0,0.15
PV Tambe,0,2,0,0.3
R Ashwin,0,2,1,0.8
R Bhatia,0,1,0,0.15
R Dravid,0,2,0,0.3
R McLaren,0,1,0,0.15
R Sharma,0,2,0,0.3
R Vinay Kumar,0,3,0,0.45
RA Jadeja,0,8,1,1.7
RE Levi,0,1,0,0.15
RJ Harris,0,1,0,0.15
RP Singh,0,1,0,0.15
RS Bopara,0,1,0,0.15
S Anirudha,0,1,0,0.15
S Aravind,0,1,0,0.15
S Badrinath,0,1,0,0.15
S Curran,0,1,1,0.65
S Gill,0,1,1,0.65
S Gopal,0,2,2,1.3
S Hetmyer,0,1,1,0.65
S Nadeem,0,1,0,0.15
S Sohal,0,1,0,0.15
S Sreesanth,0,1,0,0.15
SA Asnodkar,0,1,0,0.15
SB Jakati,0,1,0,0.15
SB Wagh,0,1,0,0.15
SC Ganguly,0,5,0,0.75
SE Marsh,0,9,0,1.35
SK Trivedi,0,2,0,0.3
SK Warne,0,4,0,0.6
SL Malinga,0,6,1,1.4
SM Katich,0,1,0,0.15
SM Pollock,0,2,0,0.3
SP Goswami,0,1,0,0.15
SR Tendulkar,0,8,0,1.2
ST Jayasuriya,0,2,0,0.3
SW Billings,0,1,1,0.65
Shakib Al Hasan,0,2,0,0.3
Shoaib Akhtar,0,1,0,0.15
Sohail Tanvir,0,2,0,0.3
TA Boult,0,1,0,0.15
TG Southee,0,1,1,0.65
TL Suman,0,1,0,0.15
TM Dilshan,0,1,0,0.15
UT Yadav,0,8,2,2.2
Umar Gul,0,1,0,0.15
V Sehwag,0,11,0,1.65
VR Aaron,0,2,1,0.8
WPUJC Vaas,0,1,0,0.15
YS Chahal,0,1,0,0.15
Z Khan,0,1,0,0.15
A Ashish Reddy,0,0,0,0
A Choudhary,0,0,0,0
A Dananjaya,0,0,0,0
A Flintoff,0,0,0,0
A Mithun,0,0,0,0
A Nel,0,0,0,0
A Roy,0,0,0,0
A Uniyal,0,0,0,0
AA Chavan,0,0,0,0
AA Kazi,0,0,0,0
AA Noffke,0,0,0,0
AB Agarkar,0,0,0,0
AB McDonald,0,0,0,0
AC Thomas,0,0,0,0
AF Milne,0,0,0,0
AG Murtaza,0,0,0,0
AL Menaria,0,0,0,0
AM Nayar,0,0,0,0
AM Salvi,0,0,0,0
AN Ahmed,0,0,0,0
AP Dole,0,0,0,0
AS Raut,0,0,0,0
AUK Pathan,0,0,0,0
Abdur Razzak,0,0,0,0
Anand Rajan,0,0,0,0
Ankit Sharma,0,0,0,0
Ankit Soni,0,0,0,0
Anureet Singh,0,0,0,0
Avesh Khan,0,0,0,0
B Akhil,0,0,0,0
B Chipli,0,0,0,0
B Geeves,0,0,0,0
B Laughlin,0,0,0,0
