Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike
A Ashish Reddy,45.0,8.88888888888889,19.0,12.1739130434782,280.0,142.857142857142
A Chandila,39.0,6.28205128205128,11.0,2.0,4.0,57.1428571428571
A Choudhary,17.0,8.47058823529411,5.0,8.33333333333333,25.0,125.0
A Dananjaya,4.0,12.0,0.0,4.0,4.0,80.0
A Flintoff,11.0,9.63636363636363,2.0,20.6666666666666,62.0,108.771929824561
A Joseph,9.0,10.4444444444444,6.0,15.0,15.0,115.384615384615
A Kumble,163.0,6.68098159509202,49.0,2.33333333333333,35.0,71.4285714285714
A Mishra,519.0,7.41811175337186,165.0,6.81481481481481,368.0,89.7560975609756
A Mithun,48.0,9.9375,8.0,5.66666666666666,34.0,130.76923076923
A Nehra,320.0,7.928125,121.0,2.41176470588235,41.0,65.079365079365
A Nel,3.0,10.3333333333333,1.0,,,
A Roy,2.0,7.0,1.0,,,
A Singh,90.0,8.54444444444444,34.0,0.4,2.0,20.0
A Symonds,88.0,7.88636363636363,23.0,27.0555555555555,974.0,124.711907810499
A Uniyal,6.0,11.1666666666666,3.0,2.0,4.0,57.1428571428571
A Zampa,37.0,7.59459459459459,19.0,2.5,5.0,62.5
AA Chavan,42.0,8.07142857142857,8.0,4.0,12.0,109.090909090909
AA Jhunjhunwala,15.0,8.66666666666666,1.0,14.4666666666666,217.0,99.5412844036697
AA Kazi,2.0,10.5,1.0,,,
AA Noffke,4.0,10.25,1.0,9.0,9.0,75.0
AB Agarkar,131.0,8.9618320610687,33.0,9.94444444444444,179.0,111.875
AB Dinda,255.0,8.24705882352941,82.0,1.625,26.0,52.0
AB McDonald,31.0,8.48387096774193,14.0,13.6666666666666,123.0,119.417475728155
AC Gilchrist,1.0,0.0,1.0,25.8625,2069.0,133.054662379421
AC Thomas,53.0,7.84905660377358,16.0,5.0,20.0,105.263157894736
AC Voges,9.0,8.44444444444444,1.0,25.8571428571428,181.0,126.573426573426
AD Mascarenhas,52.0,7.01923076923076,19.0,7.18181818181818,79.0,100.0
AD Mathews,133.0,8.23308270676691,28.0,17.6585365853658,724.0,120.868113522537
AD Russell,175.0,9.05142857142857,60.0,27.7884615384615,1445.0,179.950186799501
AF Milne,18.0,10.2777777777777,5.0,2.33333333333333,7.0,58.3333333333333
AG Murtaza,44.0,7.31818181818181,12.0,3.33333333333333,10.0,71.4285714285714
AJ Finch,8.0,8.375,1.0,23.8904109589041,1744.0,127.113702623906
AJ Tye,99.0,8.79797979797979,43.0,7.83333333333333,94.0,130.555555555555
AL Menaria,19.0,7.57894736842105,3.0,17.4347826086956,401.0,109.264305177111
AM Nayar,39.0,8.28205128205128,9.0,13.44,672.0,114.285714285714
AM Rahane,1.0,5.0,1.0,29.1666666666666,3850.0,119.751166407465
AM Salvi,25.0,8.2,7.0,,,
AN Ahmed,58.0,8.87931034482758,15.0,6.0,36.0,133.333333333333
AP Dole,11.0,10.3636363636363,5.0,17.0,34.0,147.826086956521
AR Patel,286.0,7.63286713286713,76.0,13.0,806.0,123.053435114503
AS Rajpoot,72.0,9.2361111111111,22.0,3.6,18.0,58.0645161290322
AS Raut,5.0,9.0,0.0,12.125,194.0,112.790697674418
AUK Pathan,7.0,9.0,0.0,5.57142857142857,39.0,150.0
Abdur Razzak,2.0,14.5,0.0,0.0,0.0,0.0
Anand Rajan,25.0,8.24,10.0,,,
Ankit Sharma,64.0,7.421875,13.0,10.25,164.0,143.859649122807
Ankit Soni,19.0,7.63157894736842,4.0,2.33333333333333,7.0,77.7777777777778
Anureet Singh,69.0,9.21739130434782,21.0,4.625,37.0,78.7234042553191
Avesh Khan,26.0,10.1538461538461,5.0,4.0,4.0,133.333333333333
Azhar Mahmood,91.0,7.76923076923076,31.0,18.4761904761904,388.0,124.758842443729
B Akhil,32.0,7.6875,7.0,6.9090909090909,76.0,133.333333333333
B Chipli,1.0,20.0,0.0,13.3333333333333,280.0,109.375
B Geeves,8.0,11.375,2.0,,,
B Kumar,439.0,7.43507972665148,141.0,4.63414634146341,190.0,96.4467005076142
B Laughlin,28.0,10.4642857142857,10.0,1.25,5.0,38.4615384615384
B Lee,147.0,7.65986394557823,30.0,6.52631578947368,124.0,121.56862745098
B Stanlake,24.0,8.5,7.0,5.0,5.0,250.0
BA Bhatt,50.0,8.16,13.0,3.0,6.0,85.7142857142857
BA Stokes,98.0,8.8469387755102,29.0,20.21875,647.0,131.237322515212
BAW Mendis,41.0,7.46341463414634,9.0,1.0,3.0,50.0
BB Sran,81.0,9.7037037037037,20.0,1.57142857142857,11.0,78.5714285714285
BCJ Cutting,48.0,9.04166666666666,12.0,14.1176470588235,240.0,164.383561643835
BE Hendricks,25.0,9.56,11.0,0.5,1.0,33.3333333333333
BJ Hodge,39.0,7.94871794871795,18.0,22.2222222222222,1400.0,121.422376409366
