Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike,rpw
S Lamichhane,35,8.657142857,14,0,0,0,0
C Nanda,8,7.25,2,0,0,0,0
IC Pandey,77,7.909090909,19,0,0,0,0
YA Abdulla,35,8.885714286,15,0,0,0,0
P Raj,5,12,1,0,0,0,0
K Ahmed,38,9.236842105,20,0,0,0,0
S Ladda,23,9.782608696,5,0,0,0,0
S Kaushik,34,8.941176471,6,0,0,0,0
L Ablish,7,10.85714286,5,0,0,0,0
V Pratap Singh,34,8.823529412,12,0,0,0,0
ND Doshi,10,7.9,2,0,0,0,0
Mustafizur Rahman,92,7.576086957,28,1,1,33.33333333,0.035714286
A Singh,90,8.544444444,34,0.4,2,20,0.058823529
P Krishna,69,9.927536232,16,0.5,1,14.28571429,0.0625
BE Hendricks,25,9.56,11,0.5,1,33.33333333,0.090909091
DP Nannes,109,7.47706422,38,2,4,30.76923077,0.105263158
P Parameswaran,27,8.37037037,9,0.5,1,33.33333333,0.111111111
SE Bond,31,7.258064516,9,1,1,50,0.111111111
P Awana,125,8.368,43,1,5,35.71428571,0.11627907
H Gurney,27,9.148148148,7,1,1,20,0.142857143
PP Ojha,318,7.544025157,99,0.842105263,16,35.55555556,0.161616162
M de Lange,18,9.5,6,1,1,50,0.166666667
KP Appanna,36,8.083333333,11,0.666666667,2,50,0.181818182
Shoaib Ahmed,17,9.058823529,5,0.333333333,1,16.66666667,0.2
LH Ferguson,13,7.384615385,5,1,1,100,0.2
CRD Fernando,39,7.846153846,19,2,4,133.3333333,0.210526316
Kamran Khan,28,8.857142857,14,3,3,60,0.214285714
CJ Jordan,33,9.575757576,14,1.5,3,60,0.214285714
YS Chahal,301,8.026578073,102,1.833333333,22,44.89795918,0.215686275
S Kaul,164,8.762195122,53,1.714285714,12,42.85714286,0.226415094
Imran Tahir,206,8.038834951,82,2.857142857,20,74.07407407,0.243902439
S Randiv,29,7.689655172,8,2,2,50,0.25
L Plunkett,25,9.4,4,0.5,1,33.33333333,0.25
DJ Muthuswami,14,7.714285714,4,1,1,33.33333333,0.25
VRV Singh,60,9.15,16,2,4,133.3333333,0.25
DP Vijaykumar,26,7.884615385,4,1,1,100,0.25
A Zampa,37,7.594594595,19,2.5,5,62.5,0.263157895
M Ashwin,70,8.142857143,15,0.8,4,50,0.266666667
GD McGrath,54,6.777777778,14,2,4,80,0.285714286
Sandeep Sharma,249,7.899598394,90,1.857142857,26,65,0.288888889
TA Boult,128,9.125,41,3,12,85.71428571,0.292682927
M Muralitharan,256,6.89453125,67,2.222222222,20,66.66666667,0.298507463
AB Dinda,255,8.247058824,82,1.625,26,52,0.317073171
SJ Srivastava,47,9.446808511,15,1.25,5,100,0.333333333
BAW Mendis,41,7.463414634,9,1,3,50,0.333333333
Mohammad Asif,32,9.59375,9,1.5,3,50,0.333333333
A Nehra,320,7.928125,121,2.411764706,41,65.07936508,0.338842975
A Chandila,39,6.282051282,11,2,4,57.14285714,0.363636364
SB Wagh,17,8.647058824,5,1,2,66.66666667,0.4
Shoaib Akhtar,7,7.714285714,5,2,2,25,0.4
JJ Bumrah,292,7.873287671,91,3.7,37,94.87179487,0.406593407
L Balaji,256,8.13671875,85,2.769230769,36,72,0.423529412
BA Bhatt,50,8.16,13,3,6,85.71428571,0.461538462
SL Malinga,478,7.345188285,188,4.4,88,85.4368932,0.468085106
MM Patel,227,7.634361233,82,3.25,39,95.12195122,0.475609756
DE Bollinger,97,7.381443299,43,5.25,21,91.30434783,0.488372093
