batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
J Bairstow,46.8,50,18,4,1,293,468,159.7269625,7
DA Warner,37.62698413,462,179,48,4,3398,4741,139.523249,67
LMP Simmons,37.20689655,110,44,12,1,878,1079,122.8929385,17
CH Gayle,36.77419355,383,322,35,7,3131,4560,145.6403705,56
SE Marsh,36.07246377,274,77,21,1,1913,2489,130.1097752,37
HM Amla,36.0625,60,21,5,2,418,577,138.0382775,6
KL Rahul,34.70689655,177,81,17,2,1465,2013,137.4061433,26
ML Hayden,34.59375,124,44,8,0,839,1107,131.942789,17
MEK Hussey,34.0862069,200,52,16,1,1648,1977,119.9635922,28
R Parag,33.8,18,5,1,0,133,169,127.0676692,3
MN van Wyk,33.4,18,1,1,0,135,167,123.7037037,3
RR Pant,33.18518519,151,95,12,1,1104,1792,162.3188406,26
KS Williamson,32.17073171,114,44,10,0,981,1319,134.4546381,20
V Kohli,32.15384615,486,190,42,5,4211,5434,129.0429827,77
CA Lynn,31.90243902,127,63,9,0,939,1308,139.2971246,19
JC Buttler,31.8,141,62,9,0,954,1431,150,16
AB de Villiers,31.18309859,361,211,34,3,2977,4428,148.7403426,56
SR Tendulkar,29.92307692,300,29,14,1,2044,2334,114.1878669,37
Q de Kock,29.78,160,55,10,1,1136,1489,131.0739437,22
N Pooran,29.5,10,14,0,0,110,177,160.9090909,3
S Dhawan,29.3164557,529,95,32,0,3776,4632,122.6694915,63
F du Plessis,29.28125,165,59,11,0,1499,1874,125.0166778,28
AM Rahane,29.16666667,410,74,29,2,3215,3850,119.7511664,55
E Lewis,29,36,26,4,0,343,464,135.2769679,8
PD Collingwood,29,9,13,3,0,159,203,127.672956,3
AS Yadav,28.88571429,111,28,6,0,760,1011,133.0263158,15
SK Raina,28.65079365,492,194,38,1,4044,5415,133.9020772,76
SPD Smith,28.43055556,183,47,9,1,1616,2047,126.6707921,30
SS Iyer,28.09836066,151,67,11,0,1370,1714,125.1094891,26
G Gambhir,27.96688742,499,58,34,0,3524,4223,119.8354143,58
KP Pietersen,27.80555556,92,40,4,1,758,1001,132.0580475,15
SR Watson,27.8,345,178,22,4,2639,3614,136.9458128,47
AD Russell,27.78846154,99,119,10,0,803,1445,179.9501868,23
DJ Harris,27.75,11,5,0,0,103,111,107.7669903,2
Salman Butt,27.57142857,30,2,1,0,172,193,112.2093023,2
JP Duminy,27.21333333,128,79,14,0,1680,2041,121.4880952,28
DR Smith,27.10227273,249,117,15,0,1803,2385,132.2795341,35
A Symonds,27.05555556,75,41,5,1,781,974,124.7119078,14
RG Sharma,27,431,193,32,1,3816,4914,128.7735849,68
N Rana,26.92682927,83,60,7,0,835,1104,132.2155689,14
BB McCullum,26.5412844,294,128,15,2,2272,2893,127.3327465,44
R Dravid,26.51219512,272,28,11,0,1918,2174,113.3472367,32
MS Dhoni,26.33529412,303,207,23,0,3318,4477,134.9306811,61
V Sehwag,26.23076923,340,105,17,2,1833,2728,148.8270595,35
RV Uthappa,26.15294118,443,156,23,0,3492,4446,127.3195876,65
AC Gilchrist,25.8625,240,92,12,2,1555,2069,133.0546624,26
AC Voges,25.85714286,16,3,0,0,143,181,126.5734266,2
ST Jayasuriya,25.6,85,38,5,1,573,768,134.0314136,10
JH Kallis,25.54736842,257,44,17,0,2291,2427,105.9362724,34
GC Smith,25.48275862,95,9,4,0,691,739,106.9464544,9
