bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
A Ashish Reddy,45,400,8.888888888888891,18,45,8,0.17777777777777778,2,0.04444444444444445,1,
A Chandila,39,245,6.282051282051282,1,39,0,0.0,0,0.0,24,
A Choudhary,17,144,8.470588235294116,4,17,6,0.35294117647058826,1,0.05882352941176471,6,
A Dananjaya,4,48,12.0,0,4,1,0.25,0,0.0,1,0.0
A Flintoff,11,106,9.636363636363637,4,11,0,0.0,0,0.0,2,
A Joseph,9,94,10.444444444444443,2,9,3,0.3333333333333333,0,0.0,4,6.0
A Kumble,163,1089,6.680981595092025,30,163,26,0.15950920245398773,5,0.030674846625766868,18,
A Mishra,519,3850,7.4181117533718695,83,519,57,0.10982658959537572,20,0.03853564547206165,22,23.0
A Mithun,48,477,9.9375,13,48,15,0.3125,9,0.1875,11,
A Nehra,320,2537,7.928125,88,320,64,0.2,9,0.028125,183,
A Nel,3,31,10.333333333333334,1,3,0,0.0,0,0.0,1,
A Roy,2,14,7.0,0,2,3,1.5,0,0.0,0,1.0
A Singh,90,769,8.544444444444443,30,90,21,0.2333333333333333,1,0.011111111111111113,51,3.0
A Symonds,88,694,7.886363636363638,14,88,17,0.19318181818181815,1,0.011363636363636364,19,
A Uniyal,6,67,11.166666666666664,3,6,2,0.3333333333333333,0,0.0,2,
A Zampa,37,281,7.594594594594594,8,37,8,0.21621621621621626,0,0.0,1,
AA Chavan,42,339,8.071428571428571,3,42,8,0.19047619047619047,0,0.0,24,
AA Jhunjhunwala,15,130,8.666666666666666,1,15,3,0.2,0,0.0,5,
AA Kazi,2,21,10.5,0,2,1,0.5,0,0.0,0,
AA Noffke,4,41,10.25,2,4,5,1.25,0,0.0,1,
AB Agarkar,131,1174,8.961832061068701,31,131,37,0.2824427480916031,2,0.015267175572519085,30,
AB Dinda,255,2103,8.24705882352941,71,255,72,0.2823529411764706,14,0.054901960784313725,135,
AB McDonald,31,263,8.483870967741936,5,31,2,0.06451612903225806,0,0.0,7,
AC Gilchrist,1,0,0.0,1,1,0,0.0,0,0.0,0,
AC Thomas,53,416,7.849056603773584,19,53,10,0.18867924528301888,2,0.03773584905660377,30,
AC Voges,9,76,8.444444444444445,1,9,2,0.2222222222222222,0,0.0,2,
AD Mascarenhas,52,365,7.019230769230768,5,52,3,0.0576923076923077,0,0.0,28,
AD Mathews,133,1095,8.233082706766918,27,133,24,0.18045112781954886,1,0.0075187969924812035,21,
AD Russell,175,1584,9.051428571428572,42,175,35,0.2,4,0.022857142857142857,54,24.0
AF Milne,18,185,10.277777777777779,6,18,11,0.6111111111111112,0,0.0,7,
AG Murtaza,44,322,7.3181818181818175,4,44,9,0.20454545454545456,0,0.0,13,
AJ Finch,8,67,8.375,2,8,1,0.125,0,0.0,1,
AJ Tye,99,871,8.797979797979798,42,99,22,0.2222222222222222,2,0.020202020202020204,27,31.0
AL Menaria,19,144,7.578947368421053,4,19,4,0.21052631578947367,0,0.0,8,
AM Nayar,39,323,8.282051282051281,1,39,11,0.28205128205128205,0,0.0,1,
AM Rahane,1,5,5.0,0,1,0,0.0,0,0.0,0,
AM Salvi,25,205,8.2,5,25,10,0.4,0,0.0,11,
AN Ahmed,58,515,8.879310344827587,16,58,26,0.4482758620689655,5,0.08620689655172414,23,
AP Dole,11,114,10.363636363636363,2,11,6,0.5454545454545454,1,0.09090909090909093,5,
AR Patel,286,2183,7.6328671328671325,45,286,37,0.12937062937062938,0,0.0,43,15.0
AS Rajpoot,72,665,9.236111111111109,12,72,21,0.2916666666666667,8,0.1111111111111111,34,14.0
AS Raut,5,45,9.0,2,5,0,0.0,0,0.0,0,
AUK Pathan,7,63,9.0,3,7,6,0.8571428571428571,0,0.0,0,
Abdur Razzak,2,29,14.5,0,2,5,2.5,1,0.5,0,
Anand Rajan,25,206,8.24,7,25,12,0.48,1,0.04,7,
Ankit Sharma,64,475,7.421875,5,64,14,0.21875,1,0.015625,24,1.0
Ankit Soni,19,145,7.63157894736842,1,19,3,0.15789473684210525,0,0.0,1,
Anureet Singh,69,636,9.217391304347826,22,69,16,0.2318840579710145,6,0.08695652173913042,27,2.0
Avesh Khan,26,264,10.153846153846152,4,26,3,0.1153846153846154,1,0.038461538461538464,16,4.0
Azhar Mahmood,91,707,7.769230769230768,36,91,14,0.15384615384615385,5,0.054945054945054944,24,
