batsman,batsman_runs
KL Rahul,1288
RR Pant,1228
S Dhawan,1071
V Kohli,1011
SR Watson,986
AS Yadav,962
AB de Villiers,942
CA Lynn,924
MS Dhoni,917
AT Rayudu,910
CH Gayle,909
KS Williamson,908
SS Iyer,907
JC Buttler,903
AD Russell,871
SK Raina,867
SV Samson,809
AM Rahane,793
KD Karthik,785
Q de Kock,763
DA Warner,727
HH Pandya,712
RG Sharma,707
RV Uthappa,668
N Rana,667
MK Pandey,649
P Shaw,616
F du Plessis,579
PA Patel,552
SP Narine,532
S Gill,517
V Shankar,473
J Bairstow,468
E Lewis,464
MA Agarwal,462
KH Pandya,435
Mandeep Singh,435
KA Pollard,430
Ishan Kishan,392
RA Tripathi,380
SPD Smith,334
BA Stokes,331
YK Pathan,319
MP Stoinis,319
KK Nair,312
DA Miller,312
M Ali,311
Shakib Al Hasan,259
SN Khan,239
DJ Bravo,236
WP Saha,223
RA Jadeja,219
AR Patel,200
KM Jadhav,198
C Ingram,187
C de Grandhomme,187
N Pooran,177
Yuvraj Singh,174
GJ Maxwell,174
R Parag,169
DJ Hooda,162
A Hales,152
R Ashwin,151
C Munro,150
K Gowtham,148
Mohammad Nabi,144
AJ Finch,140
BB McCullum,138
JJ Roy,127
D Short,123
S Gopal,117
BCJ Cutting,116
STR Binny,116
SW Billings,112
Gurkeerat Singh,104
Rashid Khan,98
S Curran,95
CR Brathwaite,93
S Hetmyer,93
G Gambhir,91
J Archer,85
R Tewatia,84
MJ Guptill,82
S Rutherford,82
CH Morris,81
M Vijay,79
Ankit Sharma,77
R Singh,73
PP Chawla,72
L Livingstone,72
AD Nath,71
Washington Sundar,70
H Klaasen,68
HV Patel,61
TG Southee,61
SP Goswami,60
DL Chahar,59
M Vohra,59
JD Unadkat,50
MK Tiwary,49
JP Duminy,48
AJ Tye,41
S Dube,40
Harbhajan Singh,35
M Santner,35
Mohammed Siraj,34
UT Yadav,33
B Kumar,32
M Markande,31
SN Thakur,29
M Lomror,28
DT Christian,28
A Mishra,28
MJ McClenaghan,28
Kuldeep Yadav,26
T Curran,24
K Paul,22
H Brar,22
P R Barman,20
S Singh,17
CJ Anderson,17
MG Johnson,17
CR Woakes,17
D Shorey,16
A Joseph,15
SD Lad,15
K Rabada,15
P Negi,13
S Mavi,13
MM Sharma,12
AS Rajpoot,12
M Ur Rahman,12
JJ Bumrah,12
RD Chahar,12
DS Kulkarni,11
I Sharma,10
I Sodhi,10
KC Cariappa,9
N Naik,8
S Sharma,8
J Searles,8
P Chopra,8
Mohammed Shami,8
R Bhui,8
YS Chahal,7
TA Boult,7
R Vinay Kumar,7
BB Sran,7
J Suchith,6
H Viljoen,6
S Nadeem,6
R Salam,5
B Stanlake,5
Anureet Singh,4
Avesh Khan,4
Basil Thampi,4
A Turner,4
A Dananjaya,4
H Vihari,4
M Ashwin,4
S Kaul,3
M Wood,3
N Saini,3
VR Aaron,3
NV Ojha,2
Imran Tahir,2
P Krishna,1
Mustafizur Rahman,1
PJ Sangwan,1
H Gurney,1
L Plunkett,1
B Laughlin,1
K Ahmed,0
J Denly,0
P Raj,0
Sandeep Sharma,0
S Lamichhane,0
