batsman,batsman_runs
DA Warner,60.583333333333336
J Bairstow,46.8
KL Rahul,46.0
JC Buttler,43.0
RR Pant,40.93333333333333
AB de Villiers,39.25
CH Gayle,37.875
V Kohli,36.107142857142854
KS Williamson,34.92307692307692
Gurkeerat Singh,34.666666666666664
MS Dhoni,33.96296296296296
R Parag,33.8
S Dhawan,33.46875
SPD Smith,33.4
AS Yadav,33.172413793103445
AD Russell,32.25925925925926
F du Plessis,32.166666666666664
CA Lynn,31.862068965517242
Q de Kock,31.791666666666668
SS Iyer,31.275862068965516
SV Samson,31.115384615384617
SR Watson,30.8125
N Pooran,29.5
AM Rahane,29.37037037037037
E Lewis,29.0
KD Karthik,28.035714285714285
PA Patel,27.6
AT Rayudu,27.575757575757574
MJ Guptill,27.333333333333332
SK Raina,27.09375
MK Pandey,27.041666666666668
M Vijay,26.333333333333332
N Rana,25.653846153846153
HH Pandya,25.428571428571427
JJ Roy,25.4
A Hales,25.333333333333332
RV Uthappa,24.74074074074074
P Shaw,24.64
RG Sharma,24.379310344827587
DA Miller,24.0
KK Nair,24.0
JP Duminy,24.0
BB McCullum,23.0
S Gill,22.47826086956522
M Ali,22.214285714285715
SP Narine,22.166666666666668
H Brar,22.0
Ishan Kishan,21.77777777777778
SN Khan,21.727272727272727
KA Pollard,21.5
V Shankar,20.565217391304348
HV Patel,20.333333333333332
SP Goswami,20.0
RA Tripathi,20.0
P R Barman,20.0
MA Agarwal,19.25
MP Stoinis,18.764705882352942
C Munro,18.75
S Hetmyer,18.6
Shakib Al Hasan,18.5
G Gambhir,18.2
L Livingstone,18.0
D Short,17.571428571428573
M Santner,17.5
Mandeep Singh,17.4
Yuvraj Singh,17.4
S Singh,17.0
KH Pandya,16.11111111111111
Mohammad Nabi,16.0
YK Pathan,15.95
BA Stokes,15.761904761904763
C de Grandhomme,15.583333333333334
C Ingram,15.583333333333334
AJ Finch,15.555555555555555
CR Brathwaite,15.5
KM Jadhav,15.23076923076923
A Joseph,15.0
SD Lad,15.0
WP Saha,14.866666666666667
M Vohra,14.75
GJ Maxwell,14.5
DJ Bravo,13.11111111111111
BCJ Cutting,12.88888888888889
RA Jadeja,12.882352941176471
Ankit Sharma,12.833333333333334
SW Billings,12.444444444444445
MK Tiwary,12.25
TG Southee,12.2
S Curran,11.875
AD Nath,11.833333333333334
S Rutherford,11.714285714285714
STR Binny,11.6
H Klaasen,11.333333333333334
DJ Hooda,10.8
R Ashwin,10.785714285714286
S Gopal,10.636363636363637
R Singh,10.428571428571429
I Sharma,10.0
S Dube,10.0
Washington Sundar,10.0
AR Patel,10.0
DL Chahar,9.833333333333334
SN Thakur,9.666666666666666
DT Christian,9.333333333333334
M Lomror,9.333333333333334
R Tewatia,9.333333333333334
KC Cariappa,9.0
CH Morris,9.0
Harbhajan Singh,8.75
K Gowtham,8.705882352941176
MG Johnson,8.5
D Shorey,8.0
N Naik,8.0
P Chopra,8.0
J Archer,7.7272727272727275
PP Chawla,7.2
JD Unadkat,7.142857142857143
Rashid Khan,7.0
R Vinay Kumar,7.0
S Nadeem,6.0
J Suchith,6.0
T Curran,6.0
CJ Anderson,5.666666666666667
Mohammed Siraj,5.666666666666667
A Mishra,5.6
R Salam,5.0
B Stanlake,5.0
I Sodhi,5.0
AJ Tye,4.555555555555555
M Markande,4.428571428571429
K Paul,4.4
S Mavi,4.333333333333333
Kuldeep Yadav,4.333333333333333
CR Woakes,4.25
B Kumar,4.0
Avesh Khan,4.0
Anureet Singh,4.0
AS Rajpoot,4.0
R Bhui,4.0
S Sharma,4.0
A Dananjaya,4.0
J Searles,4.0
K Rabada,3.75
DS Kulkarni,3.6666666666666665
MJ McClenaghan,3.5
UT Yadav,3.3
JJ Bumrah,3.0
M Ur Rahman,3.0
M Wood,3.0
RD Chahar,3.0
VR Aaron,3.0
Mohammed Shami,2.6666666666666665
MM Sharma,2.4
TA Boult,2.3333333333333335
P Negi,2.1666666666666665
Basil Thampi,2.0
Imran Tahir,2.0
H Viljoen,2.0
NV Ojha,2.0
H Vihari,2.0
YS Chahal,1.75
BB Sran,1.75
N Saini,1.5
H Gurney,1.0
Mustafizur Rahman,1.0
M Ashwin,1.0
A Turner,1.0
PJ Sangwan,1.0
S Kaul,0.75
P Krishna,0.5
L Plunkett,0.5
B Laughlin,0.5
Sandeep Sharma,0.0
J Denly,0.0
S Lamichhane,0.0
P Raj,0.0
K Ahmed,0.0
