batsman,batsman_runs
KL Rahul,13
AB de Villiers,11
RR Pant,9
S Dhawan,9
DA Warner,9
CH Gayle,8
JC Buttler,8
KS Williamson,8
V Kohli,8
SR Watson,7
AD Russell,7
SK Raina,7
CA Lynn,7
MS Dhoni,6
SS Iyer,6
AS Yadav,6
MK Pandey,6
AT Rayudu,5
SV Samson,5
Q de Kock,5
E Lewis,4
N Rana,4
KD Karthik,4
P Shaw,4
S Gill,4
RG Sharma,4
J Bairstow,4
F du Plessis,3
SPD Smith,3
SP Narine,3
PA Patel,3
AM Rahane,3
M Ali,3
DA Miller,2
HH Pandya,2
RV Uthappa,2
Ishan Kishan,2
MA Agarwal,2
RA Tripathi,2
KA Pollard,2
S Curran,1
Gurkeerat Singh,1
S Hetmyer,1
G Gambhir,1
Yuvraj Singh,1
JJ Roy,1
KK Nair,1
V Shankar,1
DJ Bravo,1
R Parag,1
SN Khan,1
SW Billings,1
KM Jadhav,1
R Bhui,0
R Ashwin,0
Mohammad Nabi,0
Mohammed Shami,0
PP Chawla,0
Mohammed Siraj,0
Mustafizur Rahman,0
N Pooran,0
N Naik,0
PJ Sangwan,0
N Saini,0
NV Ojha,0
P Chopra,0
P Krishna,0
P Negi,0
P R Barman,0
P Raj,0
S Dube,0
R Salam,0
SN Thakur,0
YS Chahal,0
YK Pathan,0
Washington Sundar,0
WP Saha,0
VR Aaron,0
UT Yadav,0
TG Southee,0
TA Boult,0
T Curran,0
Shakib Al Hasan,0
Sandeep Sharma,0
STR Binny,0
SP Goswami,0
SD Lad,0
R Singh,0
S Singh,0
S Sharma,0
S Rutherford,0
S Nadeem,0
S Mavi,0
S Lamichhane,0
S Kaul,0
S Gopal,0
Rashid Khan,0
RD Chahar,0
RA Jadeja,0
R Vinay Kumar,0
R Tewatia,0
Mandeep Singh,0
A Dananjaya,0
MP Stoinis,0
BCJ Cutting,0
C Ingram,0
C Munro,0
C de Grandhomme,0
CH Morris,0
CJ Anderson,0
CR Brathwaite,0
CR Woakes,0
D Shorey,0
D Short,0
DJ Hooda,0
DL Chahar,0
DS Kulkarni,0
DT Christian,0
GJ Maxwell,0
H Brar,0
Basil Thampi,0
BB Sran,0
MM Sharma,0
BB McCullum,0
A Joseph,0
A Mishra,0
A Turner,0
AD Nath,0
AJ Finch,0
AJ Tye,0
AR Patel,0
AS Rajpoot,0
Ankit Sharma,0
Anureet Singh,0
Avesh Khan,0
B Kumar,0
B Laughlin,0
B Stanlake,0
BA Stokes,0
H Gurney,0
H Klaasen,0
H Vihari,0
H Viljoen,0
Kuldeep Yadav,0
L Livingstone,0
L Plunkett,0
M Ashwin,0
A Hales,0
M Markande,0
M Santner,0
M Ur Rahman,0
M Vijay,0
M Vohra,0
M Wood,0
MG Johnson,0
MJ Guptill,0
MJ McClenaghan,0
MK Tiwary,0
KH Pandya,0
KC Cariappa,0
K Rabada,0
J Denly,0
HV Patel,0
Harbhajan Singh,0
I Sharma,0
I Sodhi,0
Imran Tahir,0
J Archer,0
J Searles,0
K Paul,0
J Suchith,0
JD Unadkat,0
JJ Bumrah,0
JP Duminy,0
K Ahmed,0
K Gowtham,0
M Lomror,0
