batsman,batsman_runs
CH Gayle,2
SR Watson,2
KL Rahul,2
RR Pant,1
AM Rahane,1
P Shaw,1
KD Karthik,1
SV Samson,1
J Bairstow,1
DA Warner,1
AT Rayudu,1
V Kohli,1
PP Chawla,0
R Salam,0
R Tewatia,0
P Krishna,0
P Negi,0
P R Barman,0
P Raj,0
R Singh,0
R Parag,0
PJ Sangwan,0
R Bhui,0
R Ashwin,0
PA Patel,0
NV Ojha,0
Q de Kock,0
P Chopra,0
N Naik,0
N Saini,0
N Rana,0
M Wood,0
MA Agarwal,0
MG Johnson,0
MJ Guptill,0
MJ McClenaghan,0
MK Pandey,0
MK Tiwary,0
MM Sharma,0
MP Stoinis,0
MS Dhoni,0
Mandeep Singh,0
Mohammad Nabi,0
Mohammed Shami,0
Mohammed Siraj,0
Mustafizur Rahman,0
RA Jadeja,0
N Pooran,0
R Vinay Kumar,0
A Dananjaya,0
RA Tripathi,0
T Curran,0
SP Goswami,0
SP Narine,0
SPD Smith,0
SS Iyer,0
STR Binny,0
SW Billings,0
Sandeep Sharma,0
Shakib Al Hasan,0
TA Boult,0
RD Chahar,0
TG Southee,0
UT Yadav,0
V Shankar,0
VR Aaron,0
WP Saha,0
Washington Sundar,0
YK Pathan,0
YS Chahal,0
SN Thakur,0
SN Khan,0
SK Raina,0
SD Lad,0
RG Sharma,0
M Vijay,0
RV Uthappa,0
Rashid Khan,0
S Curran,0
S Dhawan,0
S Dube,0
S Gill,0
S Gopal,0
S Hetmyer,0
S Kaul,0
S Lamichhane,0
S Mavi,0
S Nadeem,0
S Rutherford,0
S Sharma,0
S Singh,0
M Vohra,0
M Lomror,0
M Ur Rahman,0
CR Woakes,0
Basil Thampi,0
C Ingram,0
C Munro,0
C de Grandhomme,0
CA Lynn,0
CH Morris,0
CJ Anderson,0
CR Brathwaite,0
D Shorey,0
M Santner,0
D Short,0
DA Miller,0
DJ Bravo,0
DJ Hooda,0
DL Chahar,0
DS Kulkarni,0
DT Christian,0
E Lewis,0
BCJ Cutting,0
BB Sran,0
BB McCullum,0
BA Stokes,0
A Joseph,0
A Mishra,0
A Turner,0
AB de Villiers,0
AD Nath,0
AD Russell,0
AJ Finch,0
AJ Tye,0
AR Patel,0
AS Rajpoot,0
AS Yadav,0
Ankit Sharma,0
Anureet Singh,0
Avesh Khan,0
B Kumar,0
B Laughlin,0
B Stanlake,0
F du Plessis,0
G Gambhir,0
GJ Maxwell,0
JJ Roy,0
K Ahmed,0
K Gowtham,0
K Paul,0
K Rabada,0
KA Pollard,0
KC Cariappa,0
KH Pandya,0
KK Nair,0
KM Jadhav,0
KS Williamson,0
Kuldeep Yadav,0
L Livingstone,0
L Plunkett,0
M Ali,0
M Ashwin,0
A Hales,0
M Markande,0
JP Duminy,0
JJ Bumrah,0
Gurkeerat Singh,0
JD Unadkat,0
H Brar,0
H Gurney,0
H Klaasen,0
H Vihari,0
H Viljoen,0
HH Pandya,0
HV Patel,0
Harbhajan Singh,0
I Sharma,0
I Sodhi,0
Imran Tahir,0
Ishan Kishan,0
J Archer,0
J Denly,0
J Searles,0
J Suchith,0
JC Buttler,0
Yuvraj Singh,0
