batsman,no of balls,batsman_runs,strike
A Ashish Reddy,196,280,142.85714285714286
A Chandila,7,4,57.14285714285714
A Chopra,75,53,70.66666666666667
A Choudhary,20,25,125.0
A Dananjaya,5,4,80.0
A Flintoff,57,62,108.77192982456141
A Hales,119,152,127.73109243697478
A Joseph,13,15,115.38461538461537
A Kumble,49,35,71.42857142857143
A Mishra,410,368,89.75609756097562
A Mithun,26,34,130.76923076923077
A Mukund,23,19,82.6086956521739
A Nehra,63,41,65.07936507936508
A Singh,10,2,20.0
A Symonds,781,974,124.71190781049937
A Turner,11,4,36.36363636363637
A Uniyal,7,4,57.14285714285714
A Zampa,8,5,62.5
AA Bilakhia,88,69,78.4090909090909
AA Chavan,11,12,109.09090909090908
AA Jhunjhunwala,218,217,99.54128440366972
AA Noffke,12,9,75.0
AB Agarkar,160,179,111.87499999999999
AB Barath,43,42,97.67441860465115
AB Dinda,50,26,52.0
AB McDonald,103,123,119.41747572815532
AB de Villiers,2977,4428,148.7403426268055
AC Blizzard,91,120,131.86813186813185
AC Gilchrist,1555,2069,133.05466237942122
AC Thomas,19,20,105.26315789473684
AC Voges,143,181,126.57342657342659
AD Mascarenhas,79,79,100.0
AD Mathews,599,724,120.86811352253757
AD Nath,99,91,91.91919191919192
AD Russell,803,1445,179.95018679950186
AF Milne,12,7,58.333333333333336
AG Murtaza,14,10,71.42857142857143
AG Paunikar,61,49,80.32786885245902
AJ Finch,1372,1744,127.1137026239067
AJ Tye,72,94,130.55555555555557
AL Menaria,367,401,109.26430517711172
AM Nayar,588,672,114.28571428571428
AM Rahane,3215,3850,119.75116640746502
AN Ahmed,27,36,133.33333333333331
AN Ghosh,8,7,87.5
AP Dole,23,34,147.82608695652172
AP Majumdar,77,87,112.98701298701299
AP Tare,285,339,118.94736842105263
AR Bawne,12,12,100.0
AR Patel,655,806,123.05343511450381
AS Rajpoot,31,18,58.06451612903226
AS Raut,172,194,112.79069767441861
AS Yadav,760,1011,133.02631578947367
AT Rayudu,2681,3326,124.05818724356583
AUK Pathan,26,39,150.0
Abdur Razzak,2,0,0.0
Anirudh Singh,69,63,91.30434782608695
Ankit Sharma,114,164,143.859649122807
Ankit Soni,9,7,77.77777777777779
Anureet Singh,47,37,78.72340425531915
Avesh Khan,3,4,133.33333333333331
Azhar Mahmood,311,388,124.7588424437299
B Akhil,57,76,133.33333333333331
B Chipli,256,280,109.375
B Kumar,197,190,96.44670050761421
B Laughlin,13,5,38.46153846153847
B Lee,102,124,121.56862745098039
B Stanlake,2,5,250.0
B Sumanth,38,35,92.10526315789474
BA Bhatt,7,6,85.71428571428571
BA Stokes,493,647,131.23732251521298
BAW Mendis,6,3,50.0
BB McCullum,2272,2893,127.33274647887325
BB Samantray,116,125,107.75862068965519
BB Sran,14,11,78.57142857142857
BCJ Cutting,146,240,164.3835616438356
BE Hendricks,3,1,33.33333333333333
BJ Haddin,11,18,163.63636363636365
BJ Hodge,1153,1400,121.42237640936686
BJ Rohrer,146,193,132.1917808219178
BMAJ Mendis,27,23,85.18518518518519
BR Dunk,36,40,111.11111111111111
Basil Thampi,37,32,86.48648648648648
Bipul Sharma,124,187,150.80645161290323
C Ingram,157,187,119.10828025477707
C Madan,21,15,71.42857142857143
C Munro,144,180,125.0
C Nanda,1,0,0.0
C de Grandhomme,229,313,136.6812227074236
CA Ingram,26,21,80.76923076923077
CA Lynn,939,1308,139.297124600639
CA Pujara,403,390,96.7741935483871
CH Gayle,3131,4560,145.64037048866177
CH Morris,339,520,153.39233038348084
