bowler,over,wide_runs,WoPerOver,noball_runs,NoPerOver
A Ashish Reddy,45,8,0.17777777777777778,2,0.044444444444444446
A Chandila,39,0,0.0,0,0.0
A Choudhary,17,6,0.35294117647058826,1,0.058823529411764705
A Dananjaya,4,1,0.25,0,0.0
A Flintoff,11,0,0.0,0,0.0
A Joseph,9,3,0.3333333333333333,0,0.0
A Kumble,163,26,0.15950920245398773,5,0.03067484662576687
A Mishra,519,57,0.10982658959537572,20,0.038535645472061654
A Mithun,48,15,0.3125,9,0.1875
A Nehra,320,64,0.2,9,0.028125
A Nel,3,0,0.0,0,0.0
A Roy,2,3,1.5,0,0.0
A Singh,90,21,0.23333333333333334,1,0.011111111111111112
A Symonds,88,17,0.19318181818181818,1,0.011363636363636364
A Uniyal,6,2,0.3333333333333333,0,0.0
A Zampa,37,8,0.21621621621621623,0,0.0
AA Chavan,42,8,0.19047619047619047,0,0.0
AA Jhunjhunwala,15,3,0.2,0,0.0
AA Kazi,2,1,0.5,0,0.0
AA Noffke,4,5,1.25,0,0.0
AB Agarkar,131,37,0.2824427480916031,2,0.015267175572519083
AB Dinda,255,72,0.2823529411764706,14,0.054901960784313725
AB McDonald,31,2,0.06451612903225806,0,0.0
AC Gilchrist,1,0,0.0,0,0.0
AC Thomas,53,10,0.18867924528301888,2,0.03773584905660377
AC Voges,9,2,0.2222222222222222,0,0.0
AD Mascarenhas,52,3,0.057692307692307696,0,0.0
AD Mathews,133,24,0.18045112781954886,1,0.007518796992481203
AD Russell,175,35,0.2,4,0.022857142857142857
AF Milne,18,11,0.6111111111111112,0,0.0
AG Murtaza,44,9,0.20454545454545456,0,0.0
AJ Finch,8,1,0.125,0,0.0
AJ Tye,99,22,0.2222222222222222,2,0.020202020202020204
AL Menaria,19,4,0.21052631578947367,0,0.0
AM Nayar,39,11,0.28205128205128205,0,0.0
AM Rahane,1,0,0.0,0,0.0
AM Salvi,25,10,0.4,0,0.0
AN Ahmed,58,26,0.4482758620689655,5,0.08620689655172414
AP Dole,11,6,0.5454545454545454,1,0.09090909090909091
AR Patel,286,37,0.12937062937062938,0,0.0
AS Rajpoot,72,21,0.2916666666666667,8,0.1111111111111111
AS Raut,5,0,0.0,0,0.0
AUK Pathan,7,6,0.8571428571428571,0,0.0
Abdur Razzak,2,5,2.5,1,0.5
Anand Rajan,25,12,0.48,1,0.04
Ankit Sharma,64,14,0.21875,1,0.015625
Ankit Soni,19,3,0.15789473684210525,0,0.0
Anureet Singh,69,16,0.2318840579710145,6,0.08695652173913043
Avesh Khan,26,3,0.11538461538461539,1,0.038461538461538464
Azhar Mahmood,91,14,0.15384615384615385,5,0.054945054945054944
B Akhil,32,5,0.15625,2,0.0625
B Chipli,1,0,0.0,0,0.0
B Geeves,8,1,0.125,0,0.0
B Kumar,439,110,0.2505694760820046,8,0.018223234624145785
B Laughlin,28,10,0.35714285714285715,1,0.03571428571428571
B Lee,147,40,0.272108843537415,13,0.08843537414965986
