bowler,over,wide_runs,WoPerOver,noball_runs,NoPerOver
A Ashish Reddy,4,0,0.0,0,0.0
A Choudhary,17,6,0.35294117647058826,1,0.058823529411764705
A Mishra,85,14,0.16470588235294117,2,0.023529411764705882
A Nehra,49,12,0.24489795918367346,0,0.0
A Zampa,37,8,0.21621621621621623,0,0.0
AB Dinda,41,13,0.3170731707317073,1,0.024390243902439025
AD Mathews,5,1,0.2,0,0.0
AD Russell,37,9,0.24324324324324326,0,0.0
AF Milne,18,11,0.6111111111111112,0,0.0
AJ Tye,21,2,0.09523809523809523,0,0.0
AR Patel,96,13,0.13541666666666666,0,0.0
AS Rajpoot,25,12,0.48,1,0.04
Ankit Sharma,12,6,0.5,0,0.0
Ankit Soni,19,3,0.15789473684210525,0,0.0
Anureet Singh,8,0,0.0,2,0.25
Avesh Khan,4,0,0.0,0,0.0
B Kumar,119,33,0.2773109243697479,2,0.01680672268907563
B Stanlake,8,2,0.25,0,0.0
BA Stokes,44,11,0.25,0,0.0
BB Sran,52,16,0.3076923076923077,0,0.0
BCJ Cutting,25,4,0.16,0,0.0
Basil Thampi,45,10,0.2222222222222222,0,0.0
Bipul Sharma,31,2,0.06451612903225806,0,0.0
C Munro,2,0,0.0,0,0.0
C de Grandhomme,17,4,0.23529411764705882,2,0.11764705882352941
CH Gayle,10,5,0.5,1,0.1
CH Morris,75,16,0.21333333333333335,1,0.013333333333333334
CJ Anderson,19,9,0.47368421052631576,0,0.0
CJ Jordan,29,16,0.5517241379310345,2,0.06896551724137931
CR Brathwaite,30,3,0.1,7,0.23333333333333334
CR Woakes,44,14,0.3181818181818182,0,0.0
D Wiese,4,2,0.5,1,0.25
DJ Bravo,56,12,0.21428571428571427,1,0.017857142857142856
DJ Hooda,17,3,0.17647058823529413,0,0.0
DL Chahar,12,5,0.4166666666666667,0,0.0
DR Smith,31,8,0.25806451612903225,1,0.03225806451612903
DS Kulkarni,68,8,0.11764705882352941,0,0.0
DT Christian,40,9,0.225,0,0.0
DW Steyn,2,1,0.5,0,0.0
GB Hogg,16,6,0.375,0,0.0
GJ Maxwell,28,3,0.10714285714285714,0,0.0
Gurkeerat Singh,4,2,0.5,0,0.0
HH Pandya,43,12,0.27906976744186046,0,0.0
HV Patel,18,6,0.3333333333333333,1,0.05555555555555555
Harbhajan Singh,90,7,0.07777777777777778,0,0.0
I Sharma,33,18,0.5454545454545454,2,0.06060606060606061
IK Pathan,10,0,0.0,0,0.0
Imran Tahir,63,5,0.07936507936507936,1,0.015873015873015872
Iqbal Abdulla,30,9,0.3,0,0.0
J Suchith,2,2,1.0,0,0.0
J Yadav,23,2,0.08695652173913043,1,0.043478260869565216
JA Morkel,5,5,1.0,0,0.0
JD Unadkat,49,5,0.10204081632653061,0,0.0
JJ Bumrah,113,9,0.07964601769911504,13,0.11504424778761062
JO Holder,13,4,0.3076923076923077,1,0.07692307692307693
JP Duminy,7,1,0.14285714285714285,0,0.0
JP Faulkner,45,6,0.13333333333333333,2,0.044444444444444446
JW Hastings,7,2,0.2857142857142857,0,0.0
K Rabada,22,12,0.5454545454545454,2,0.09090909090909091
KA Pollard,8,2,0.25,0,0.0
KC Cariappa,32,5,0.15625,2,0.0625
KH Pandya,72,16,0.2222222222222222,1,0.013888888888888888
KJ Abbott,16,6,0.375,1,0.0625
KS Williamson,1,0,0.0,0,0.0
KV Sharma,48,7,0.14583333333333334,0,0.0
KW Richardson,14,6,0.42857142857142855,0,0.0
Kuldeep Yadav,53,11,0.20754716981132076,0,0.0
LH Ferguson,13,9,0.6923076923076923,0,0.0
M Ashwin,29,7,0.2413793103448276,0,0.0
M Morkel,36,5,0.1388888888888889,2,0.05555555555555555
M Vijay,1,1,1.0,0,0.0
MC Henriques,77,13,0.16883116883116883,1,0.012987012987012988
MG Johnson,31,8,0.25806451612903225,1,0.03225806451612903
MJ Henry,5,1,0.2,0,0.0
MJ McClenaghan,108,27,0.25,6,0.05555555555555555
MM Patel,7,0,0.0,0,0.0
MM Sharma,97,15,0.15463917525773196,2,0.020618556701030927
MN Samuels,3,0,0.0,0,0.0
MP Stoinis,34,9,0.2647058823529412,0,0.0
MR Marsh,9,1,0.1111111111111111,0,0.0
MS Gony,2,3,1.5,0,0.0
Mohammad Nabi,11,0,0.0,0,0.0
Mohammed Shami,52,21,0.40384615384615385,1,0.019230769230769232
Mohammed Siraj,23,3,0.13043478260869565,0,0.0
Mustafizur Rahman,64,11,0.171875,0,0.0
N Rana,1,0,0.0,0,0.0
NB Singh,4,1,0.25,0,0.0
NLTC Perera,34,3,0.08823529411764706,0,0.0
NM Coulter-Nile,44,6,0.13636363636363635,5,0.11363636363636363
P Kumar,70,29,0.4142857142857143,0,0.0
P Negi,42,7,0.16666666666666666,0,0.0
P Sahu,18,2,0.1111111111111111,0,0.0
PJ Cummins,47,11,0.23404255319148937,1,0.02127659574468085
PJ Sangwan,22,3,0.13636363636363635,0,0.0
PP Chawla,57,9,0.15789473684210525,1,0.017543859649122806
PV Tambe,16,1,0.0625,0,0.0
Parvez Rasool,14,0,0.0,0,0.0
