bowler,over,total_runs,avg_economy
A Dananjaya,4,48,12.0
A Joseph,9,94,10.444444444444445
A Mishra,77,545,7.077922077922078
A Roy,2,14,7.0
A Singh,10,130,13.0
AD Russell,69,667,9.666666666666666
AJ Tye,78,725,9.294871794871796
AR Patel,77,599,7.779220779220779
AS Rajpoot,43,414,9.627906976744185
Ankit Sharma,3,33,11.0
Anureet Singh,4,42,10.5
Avesh Khan,22,240,10.909090909090908
B Kumar,106,854,8.056603773584905
B Laughlin,21,221,10.523809523809524
B Stanlake,16,134,8.375
BA Stokes,54,540,10.0
BB Sran,26,301,11.576923076923077
BCJ Cutting,19,200,10.526315789473685
Basil Thampi,23,238,10.347826086956522
C de Grandhomme,20,202,10.1
CH Morris,47,486,10.340425531914894
CJ Anderson,9,124,13.777777777777779
CJ Jordan,4,40,10.0
CR Brathwaite,14,133,9.5
CR Woakes,19,210,11.052631578947368
D Short,3,27,9.0
D Willey,10,98,9.8
DJ Bravo,96,918,9.5625
DJ Hooda,5,48,9.6
DL Chahar,104,806,7.75
DS Kulkarni,55,543,9.872727272727273
DT Christian,12,111,9.25
DW Steyn,8,79,9.875
GJ Maxwell,16,134,8.375
H Brar,5,48,9.6
H Gurney,27,247,9.148148148148149
H Vihari,1,9,9.0
H Viljoen,23,248,10.782608695652174
HH Pandya,86,833,9.686046511627907
HV Patel,26,263,10.115384615384615
Harbhajan Singh,76,597,7.855263157894737
I Sharma,46,391,8.5
I Sodhi,31,207,6.67741935483871
Imran Tahir,86,654,7.604651162790698
J Archer,83,676,8.144578313253012
J Behrendorff,19,174,9.157894736842104
J Dala,3,35,11.666666666666666
J Searles,7,92,13.142857142857142
J Suchith,4,28,7.0
J Yadav,7,51,7.285714285714286
JD Unadkat,89,916,10.292134831460674
JJ Bumrah,117,866,7.401709401709402
JP Duminy,3,36,12.0
K Ahmed,38,351,9.236842105263158
K Gowtham,60,512,8.533333333333333
K Khejroliya,16,166,10.375
K Paul,28,261,9.321428571428571
K Rabada,48,401,8.354166666666666
KC Cariappa,2,35,17.5
KH Pandya,87,641,7.367816091954023
KM Asif,6,77,12.833333333333334
KV Sharma,13,125,9.615384615384615
Kuldeep Yadav,85,726,8.541176470588235
L Ferguson,17,192,11.294117647058824
L Livingstone,1,13,13.0
L Ngidi,26,175,6.730769230769231
L Plunkett,25,235,9.4
M Ali,39,272,6.9743589743589745
M Ashwin,41,325,7.926829268292683
M Lomror,3,27,9.0
M Markande,50,448,8.96
M Santner,14,105,7.5
M Ur Rahman,61,513,8.40983606557377
M Wood,4,52,13.0
MG Johnson,21,227,10.80952380952381
MJ McClenaghan,58,513,8.844827586206897
MK Tiwary,1,13,13.0
MM Sharma,34,369,10.852941176470589
MP Stoinis,28,274,9.785714285714286
Mandeep Singh,2,26,13.0
Mohammad Nabi,35,255,7.285714285714286
Mohammed Shami,68,639,9.397058823529411
Mohammed Siraj,70,686,9.8
Mustafizur Rahman,28,236,8.428571428571429
N Rana,15,121,8.066666666666666
N Saini,48,434,9.041666666666666
O Thomas,10,94,9.4
P Krishna,69,685,9.927536231884059
P Negi,16,157,9.8125
P R Barman,4,56,14.0
P Raj,5,60,12.0
PJ Sangwan,2,21,10.5
PP Chawla,94,838,8.914893617021276
R Ashwin,106,839,7.915094339622642
R Parag,14,121,8.642857142857142
R Salam,4,45,11.25
R Tewatia,29,220,7.586206896551724
R Vinay Kumar,4,67,16.75
RA Jadeja,95,681,7.168421052631579
RD Chahar,47,317,6.74468085106383
Rashid Khan,129,889,6.891472868217054
S Curran,34,336,9.882352941176471
S Dube,2,9,4.5
S Gopal,79,598,7.569620253164557
S Kaul,93,826,8.881720430107526
S Kuggeleijn,8,73,9.125
S Lamichhane,35,303,8.657142857142857
S Mavi,28,288,10.285714285714286
S Midhun,2,32,16.0
S Nadeem,24,257,10.708333333333334
S Rutherford,7,66,9.428571428571429
S Sharma,43,367,8.534883720930232
S Warrier,12,88,7.333333333333333
SK Raina,1,6,6.0
SL Malinga,46,477,10.369565217391305
SN Khan,1,6,6.0
SN Thakur,77,749,9.727272727272727
SP Narine,106,854,8.056603773584905
SR Watson,28,261,9.321428571428571
STR Binny,9,81,9.0
Sandeep Sharma,44,344,7.818181818181818
Shakib Al Hasan,69,562,8.144927536231885
T Curran,11,121,11.0
TA Boult,72,668,9.277777777777779
TG Southee,38,410,10.789473684210526
UT Yadav,92,838,9.108695652173912
V Chakravarthy,3,35,11.666666666666666
V Shankar,13,135,10.384615384615385
VR Aaron,12,142,11.833333333333334
Washington Sundar,29,278,9.586206896551724
YK Pathan,3,22,7.333333333333333
YS Chahal,100,816,8.16
Yuvraj Singh,2,24,12.0
