bowler,over
DL Chahar,83
B Kumar,56
UT Yadav,52
DS Kulkarni,40
JJ Bumrah,38
TA Boult,38
K Gowtham,34
MJ McClenaghan,34
I Sharma,34
SP Narine,33
Harbhajan Singh,33
PP Chawla,32
SN Thakur,32
J Archer,31
P Krishna,31
Mohammed Shami,27
YS Chahal,26
AS Rajpoot,26
Sandeep Sharma,25
N Saini,23
KH Pandya,23
JD Unadkat,23
AD Russell,22
TG Southee,22
HH Pandya,21
K Ahmed,21
AJ Tye,21
M Ur Rahman,20
S Kaul,20
SL Malinga,19
R Ashwin,19
K Rabada,17
Shakib Al Hasan,17
CH Morris,17
AR Patel,16
Mohammad Nabi,16
MM Sharma,15
L Ngidi,15
BB Sran,14
Avesh Khan,14
BA Stokes,13
S Mavi,13
J Behrendorff,13
S Sharma,13
Mohammed Siraj,13
Rashid Khan,13
S Lamichhane,12
SR Watson,11
H Gurney,11
S Curran,10
S Nadeem,9
S Warrier,9
Mustafizur Rahman,8
B Stanlake,8
CR Woakes,8
RA Jadeja,8
MG Johnson,7
L Ferguson,7
RD Chahar,7
L Plunkett,7
A Singh,7
Washington Sundar,7
VR Aaron,7
GJ Maxwell,6
S Gopal,6
O Thomas,6
B Laughlin,6
DW Steyn,6
H Viljoen,6
HV Patel,6
M Ali,5
D Willey,4
KM Asif,4
Kuldeep Yadav,4
M Santner,4
A Joseph,4
N Rana,3
K Khejroliya,3
STR Binny,3
J Yadav,3
J Suchith,2
A Mishra,2
PJ Sangwan,2
P Raj,2
R Vinay Kumar,2
JP Duminy,2
I Sodhi,2
CJ Jordan,2
T Curran,2
R Salam,2
H Brar,2
Imran Tahir,2
V Chakravarthy,1
S Kuggeleijn,1
R Tewatia,1
A Dananjaya,1
R Parag,1
KC Cariappa,1
Ankit Sharma,1
BCJ Cutting,1
Basil Thampi,1
CR Brathwaite,1
DJ Bravo,1
DT Christian,1
J Dala,1
K Paul,1
J Searles,1
M Ashwin,1
P Negi,1
MP Stoinis,1
L Livingstone,0
D Short,0
A Roy,0
YK Pathan,0
Anureet Singh,0
V Shankar,0
Mandeep Singh,0
C de Grandhomme,0
CJ Anderson,0
MK Tiwary,0
S Dube,0
S Midhun,0
DJ Hooda,0
M Wood,0
H Vihari,0
M Markande,0
SN Khan,0
P R Barman,0
SK Raina,0
M Lomror,0
S Rutherford,0
KV Sharma,0
Yuvraj Singh,0
