bowler,values819,values1617,values1819
S Dube,0.088721102,0,0.01760723
SK Raina,0.185485675,0.166840208,0.040384615
SN Khan,0.091511602,0,0.041168929
YK Pathan,0.227275022,0.150115167,0.084927885
J Suchith,0.167586097,0.40337462,0.085406964
J Yadav,0.128362946,0.149816885,0.114288045
S Warrier,0.133749779,0,0.115671484
H Vihari,0.136956522,0,0.121153846
M Lomror,0.137027696,0,0.121466346
A Roy,0.168419028,0,0.125797276
D Short,0.138889398,0,0.129799679
R Parag,0.135860449,0,0.130718306
H Brar,0.146534649,0,0.138896548
I Sodhi,0.121446012,0,0.14191808
DJ Hooda,0.153407231,0.190830266,0.144599359
S Kuggeleijn,0.153812898,0,0.154232163
GJ Maxwell,0.179521974,0.181411436,0.156179886
M Santner,0.165922214,0,0.15772539
CJ Jordan,0.209149109,0.326362916,0.158627176
R Tewatia,0.146534931,0.101417186,0.161199311
B Stanlake,0.155542905,0.190122338,0.161310408
STR Binny,0.188038412,0.19002703,0.161812592
PJ Sangwan,0.254609538,0.269258623,0.162658567
Mohammad Nabi,0.129935923,0.082792817,0.165376285
N Rana,0.139665774,0,0.165443238
DT Christian,0.221517192,0.238885811,0.166555881
S Rutherford,0.174332169,0,0.166556979
D Willey,0.158406572,0,0.16837921
Anureet Singh,0.217128713,0.177891569,0.178673878
M Ashwin,0.170017836,0.222893862,0.181804767
J Behrendorff,0.157816124,0,0.182196557
DW Steyn,0.377392724,0.182913081,0.183598816
RD Chahar,0.143919662,0.199496803,0.183658456
L Plunkett,0.160471113,0,0.183987747
KV Sharma,0.246504018,0.257999221,0.186180604
P Negi,0.205419747,0.255791033,0.187006485
M Ali,0.136355288,0,0.188999186
MP Stoinis,0.187466348,0.275100762,0.19538372
L Ngidi,0.142648403,0,0.196345167
BCJ Cutting,0.171199939,0.208516515,0.199726118
C de Grandhomme,0.182361193,0.187921517,0.200306608
K Khejroliya,0.180079126,0,0.201815551
V Chakravarthy,0.17962178,0,0.202076479
JP Duminy,0.176487848,0.154771528,0.203199432
J Dala,0.191093411,0,0.204854257
CR Brathwaite,0.209781085,0.248838331,0.205335845
SR Watson,0.394927039,0.418042766,0.209537731
MG Johnson,0.306197883,0.260648021,0.209638263
