bowler,values819,values1617,values1819,finalvalue
JJ Bumrah,0.360740319,0.49460876,0.48604268,4.702454539
B Kumar,0.472703168,0.589237233,0.382471153,4.683740833
UT Yadav,0.471942819,0.432824424,0.432127374,4.383436583
DJ Bravo,0.517866305,0.335064708,0.462534702,4.262199446
YS Chahal,0.351207916,0.437576678,0.401400077,4.065330632
MJ McClenaghan,0.331411014,0.514709667,0.323386919,3.915534951
JD Unadkat,0.334384089,0.355526226,0.408473058,3.788283215
SP Narine,0.426265084,0.348210399,0.385252891,3.784398478
HH Pandya,0.260133288,0.251494017,0.485107684,3.695967412
SL Malinga,0.568081834,0.286612898,0.355902612,3.634780954
Mohammed Shami,0.282651586,0.347763397,0.391403121,3.598164874
Rashid Khan,0.236596365,0.250097011,0.466505861,3.562763391
S Kaul,0.267602725,0.288521947,0.429469773,3.558579767
CH Morris,0.324129759,0.393610749,0.336535722,3.54651087
Imran Tahir,0.302659294,0.329943558,0.380545046,3.511516624
PP Chawla,0.457993717,0.28636467,0.351032812,3.444430981
R Vinay Kumar,0.432876797,0.213633638,0.407808925,3.436077553
SN Thakur,0.24921288,0.272704649,0.419833855,3.427454866
MM Sharma,0.369834493,0.42218673,0.277935694,3.422083765
AD Russell,0.285153796,0.308712575,0.381574646,3.416097937
AJ Tye,0.243179131,0.208610832,0.44835102,3.336661709
R Ashwin,0.425805257,0.239532891,0.36826984,3.318422204
Sandeep Sharma,0.344369619,0.465486727,0.233156083,3.311538388
DL Chahar,0.222690762,0.225437056,0.436372785,3.304929764
Harbhajan Singh,0.465346001,0.266188734,0.332590015,3.292629646
A Mishra,0.471160368,0.333452974,0.282431616,3.285984041
TA Boult,0.253275324,0.251255758,0.397876083,3.248688554
K Rabada,0.230182361,0.274006874,0.379792743,3.203261316
RA Jadeja,0.374098673,0.271086941,0.329089877,3.155401688
Mohammed Siraj,0.237577806,0.260746651,0.371839458,3.128177278
DS Kulkarni,0.363330084,0.344246581,0.273131446,3.11551539
SR Watson,0.394927039,0.418042766,0.209537731,3.103228895
Kuldeep Yadav,0.224807804,0.309397739,0.327284988,3.056528733
KC Cariappa,0.183401598,0.231582763,0.367304844,2.922166287
AR Patel,0.288850172,0.364602229,0.240445768,2.9116119
