batsman,values819,values1617,values1819
KL Rahul,0.489254167,0.466660475,0.77220825
RR Pant,0.49462245,0.482426273,0.734078851
S Dhawan,0.660182446,0.587988173,0.634410757
AB de Villiers,0.67759462,0.639138901,0.633724364
AD Russell,0.464730837,0.346699746,0.624285994
DA Warner,0.757723695,0.893642435,0.623146435
V Kohli,0.757713231,0.808972116,0.615824967
JC Buttler,0.431942442,0.411152933,0.612542677
CH Gayle,0.737537146,0.4115793,0.603630308
KS Williamson,0.418816446,0.397480113,0.599418227
AS Yadav,0.373115039,0,0.59755708
CA Lynn,0.424713028,0.45909227,0.590175521
SR Watson,0.587648797,0.256275812,0.583480116
MS Dhoni,0.631485489,0.407356897,0.569923651
SS Iyer,0.422504736,0.347685612,0.557521003
SK Raina,0.737994449,0.543636737,0.529286811
AT Rayudu,0.524195477,0.386493409,0.524844742
SV Samson,0.44313308,0.465480402,0.512840099
Q de Kock,0.420288717,0.467572628,0.511473066
KD Karthik,0.544363873,0.489536991,0.502350072
AM Rahane,0.595818952,0.561864164,0.496228249
J Bairstow,0.451538273,0,0.491915971
HH Pandya,0.331613175,0.267756131,0.464723631
RV Uthappa,0.640476947,0.561816946,0.447625581
PA Patel,0.463414757,0.429934032,0.444372449
RG Sharma,0.67991214,0.538985926,0.441820096
N Rana,0.36609557,0.425785529,0.436755209
F du Plessis,0.437084877,0.365643718,0.431208397
SP Narine,0.317501266,0.3214281,0.430054055
MK Pandey,0.467981247,0.477492263,0.419507335
P Shaw,0.321794626,0,0.415745552
E Lewis,0.334382866,0,0.410467469
S Gill,0.293828082,0,0.361091867
SPD Smith,0.440283106,0.544287574,0.346080328
MA Agarwal,0.318723667,0.15700569,0.335998758
M Ali,0.315867575,0,0.334375583
KA Pollard,0.465261477,0.443710842,0.329681571
Ishan Kishan,0.30448098,0.34885368,0.325824921
KK Nair,0.372976473,0.45686832,0.323500482
V Shankar,0.286480114,0.296149256,0.321442572
KH Pandya,0.322210944,0.443853309,0.311102376
N Pooran,0.333961271,0,0.309226788
Mandeep Singh,0.335150229,0.261419445,0.308892583
R Parag,0.323131586,0,0.301910727
I Sharma,0.107366968,0.080733204,0.293602378
RA Tripathi,0.323764263,0.437514714,0.293190118
DA Miller,0.411208227,0.253829495,0.287349485
Gurkeerat Singh,0.242929074,0.265391375,0.282492528
MP Stoinis,0.269411314,0.287247752,0.27572056
BB McCullum,0.523118804,0.51784895,0.267363238
SN Khan,0.277241236,0.334272252,0.264547923
MJ Guptill,0.27333295,0.298523169,0.264242152
KC Cariappa,0.140929254,0.110987414,0.263798191
A Hales,0.27681188,0,0.260497697
YK Pathan,0.504608255,0.410434801,0.245752882
BA Stokes,0.282811965,0.389193995,0.243657102
JJ Roy,0.272222473,0.27311535,0.24033003
Shakib Al Hasan,0.264415154,0.217883109,0.234685082
HV Patel,0.19160103,0,0.233204616
C de Grandhomme,0.241718462,0.258168008,0.232455843
C Munro,0.225778617,0.159019942,0.229238601
