bowler,values819,values1617,values1819
SL Malinga,0.568081834,0.286612898,0.355902612
DJ Bravo,0.517866305,0.335064708,0.462534702
B Kumar,0.472703168,0.589237233,0.382471153
UT Yadav,0.471942819,0.432824424,0.432127374
A Mishra,0.471160368,0.333452974,0.282431616
Harbhajan Singh,0.465346001,0.266188734,0.332590015
PP Chawla,0.457993717,0.28636467,0.351032812
R Vinay Kumar,0.432876797,0.213633638,0.407808925
SP Narine,0.426265084,0.348210399,0.385252891
R Ashwin,0.425805257,0.239532891,0.36826984
Abdur Razzak,0.420687761,,
Z Khan,0.417169859,0.363975056,
A Nehra,0.417065924,0.329976776,
P Kumar,0.400088125,0.330339604,
SR Watson,0.394927039,0.418042766,0.209537731
RP Singh,0.384744976,0.205859342,
DW Steyn,0.377392724,0.182913081,0.183598816
JA Morkel,0.374829348,0.365588223,
RA Jadeja,0.374098673,0.271086941,0.329089877
MM Sharma,0.369834493,0.42218673,0.277935694
IK Pathan,0.367050067,0.171320296,
DS Kulkarni,0.363330084,0.344246581,0.273131446
JJ Bumrah,0.360740319,0.49460876,0.48604268
YS Chahal,0.351207916,0.437576678,0.401400077
I Malhotra,0.35,,
M Morkel,0.349500132,0.248170095,
Mashrafe Mortaza,0.347144837,,
AB Dinda,0.344797664,0.31252669,
Sandeep Sharma,0.344369619,0.465486727,0.233156083
I Sharma,0.34431659,0.281522796,0.261961615
PP Ojha,0.33658945,,
L Balaji,0.334995517,,
JD Unadkat,0.334384089,0.355526226,0.408473058
MJ McClenaghan,0.331411014,0.514709667,0.323386919
CH Morris,0.324129759,0.393610749,0.336535722
JP Faulkner,0.32391811,0.3096072,
LPC Silva,0.319772471,,
MM Patel,0.316982989,0.150722077,
JH Kallis,0.311144149,,
MG Johnson,0.306197883,0.260648021,0.209638263
B Chipli,0.304347826,,
Imran Tahir,0.302659294,0.329943558,0.380545046
KA Pollard,0.299418483,0.316314646,
SK Trivedi,0.292084269,,
R Bhatia,0.291247095,0.190369405,
AR Patel,0.288850172,0.364602229,0.240445768
MG Neser,0.286543506,,
AD Russell,0.285153796,0.308712575,0.381574646
Mohammed Shami,0.282651586,0.347763397,0.391403121
R Salam,0.281815011,,0.292281022
S Sreesanth,0.281657248,,
P Prasanth,0.273913043,,
Shakib Al Hasan,0.268553271,0.201345106,0.274554869
Y Nagar,0.268152981,,
S Kaul,0.267602725,0.288521947,0.429469773
RR Bhatkal,0.266492607,,
Sunny Gupta,0.26529631,,
VR Aaron,0.263966209,0.27759,0.242985658
S Midhun,0.263513848,,0.326438301
M Muralitharan,0.263326028,,
HH Pandya,0.260133288,0.251494017,0.485107684
SW Tait,0.256787098,,
HV Patel,0.255561215,0.272902723,0.272445803
PJ Sangwan,0.254609538,0.269258623,0.162658567
TA Boult,0.253275324,0.251255758,0.397876083
SN Thakur,0.24921288,0.272704649,0.419833855
CK Kapugedera,0.248829153,,
S Sriram,0.248621899,,
S Aravind,0.247021935,0.310710895,
SK Warne,0.246992286,,
RJ Harris,0.246819438,,
KV Sharma,0.246504018,0.257999221,0.186180604
MS Gony,0.245168814,0.450836158,
F du Plessis,0.243685515,,
TG Southee,0.243333728,0.27454457,0.290209967
AJ Tye,0.243179131,0.208610832,0.44835102
P Awana,0.241645725,,
SB Jakati,0.23811199,0.215221643,
Mohammed Siraj,0.237577806,0.260746651,0.371839458
Rashid Khan,0.236596365,0.250097011,0.466505861
VS Yeligati,0.234154448,,
Umar Gul,0.233466178,,
K Rabada,0.230182361,0.274006874,0.379792743
BB Sran,0.229742829,0.295909354,0.291291363
B Lee,0.229532237,,
DP Nannes,0.229120095,,
MJ Henry,0.228825233,0.332549761,
NM Coulter-Nile,0.228102886,0.312522401,
NLTC Perera,0.228085295,0.274825498,
DE Bollinger,0.228000406,,
AB Agarkar,0.227794378,,
MC Henriques,0.227492458,0.291089148,
YK Pathan,0.227275022,0.150115167,0.084927885
S Nadeem,0.226275037,0.204883325,0.245307293
MA Starc,0.226144205,,
AS Rajpoot,0.225600429,0.241388309,0.318068207
R Shukla,0.225227082,,
Kuldeep Yadav,0.224807804,0.309397739,0.327284988
DL Chahar,0.222690762,0.225437056,0.436372785
BJ Rohrer,0.222608696,,
A Mithun,0.222162731,,
A Singh,0.222048718,,0.276861192
KK Cooper,0.222031913,,
DT Christian,0.221517192,0.238885811,0.166555881
J Searles,0.22143971,,0.26584843
P Suyal,0.220580336,,
A Kumble,0.220136686,,
T Curran,0.220051748,,0.27005755
Joginder Sharma,0.219022104,,
WD Parnell,0.219006,,
K Paul,0.218724813,,0.270138622
Iqbal Abdulla,0.218308669,0.255671664,
CR Woakes,0.218051363,0.328126131,0.270845504
MK Tiwary,0.218017683,,0.328846154
CL White,0.217603176,,
JJ van der Wath,0.217496476,,
Anureet Singh,0.217128713,0.177891569,0.178673878
BA Stokes,0.216943263,0.255401189,0.317456204
Jaskaran Singh,0.216744425,,
M Kartik,0.215717398,,
P Krishna,0.215636031,,0.346490394
VY Mahesh,0.215321264,,
KM Asif,0.215204172,,0.26396336
D Salunkhe,0.214491979,,
DR Smith,0.21442574,0.280969775,
MF Maharoof,0.2136277,,
P R Barman,0.213357494,,0.257022294
CRD Fernando,0.213316626,,
CJ Anderson,0.211461515,0.251045449,0.315927392
KH Pandya,0.210793403,0.264842303,0.322524473
CR Brathwaite,0.209781085,0.248838331,0.205335845
Harmeet Singh,0.209370126,,
SJ Srivastava,0.209180686,,
CJ Jordan,0.209149109,0.326362916,0.158627176
P Raj,0.20891809,,0.231845266
AP Dole,0.208549759,,
AA Noffke,0.208513904,,
M Wood,0.208347356,,0.239216865
Azhar Mahmood,0.207411157,,
AN Ahmed,0.207073868,,
KJ Abbott,0.206752756,0.27735327,
Basil Thampi,0.206000508,0.323712613,0.21866269
J Archer,0.205428175,,0.39435296
P Negi,0.205419747,0.255791033,0.187006485
Shoaib Malik,0.205064646,,
TP Sudhindra,0.204091414,,
B Laughlin,0.203648654,,0.270889798
V Shankar,0.203627675,,0.210095791
M de Lange,0.203347844,,
H Viljoen,0.202996084,,0.265024391
LRPL Taylor,0.202644283,,
R McLaren,0.201817495,,
SD Chitnis,0.201507643,,
S Narwal,0.201250259,,
R Sharma,0.201151435,,
Yuvraj Singh,0.200386886,0.166583852,0.218745994
AD Mathews,0.199634976,0.241703607,
K Ahmed,0.199126897,,0.330222602
S Gopal,0.198004638,0.090082573,0.373255079
O Thomas,0.198002812,,0.222789521
Mandeep Singh,0.197861674,,0.229002404
L Livingstone,0.197826087,,0.228846154
C Ganapathy,0.197826087,,
CH Gayle,0.197422116,0.151089526,
S Mavi,0.196807161,,0.250314666
BW Hilfenhaus,0.195752311,,
K Santokie,0.195219074,,
VRV Singh,0.194841311,,
BE Hendricks,0.194203079,,
N Saini,0.194057195,,0.277468434
KAJ Roach,0.1935028,,
AF Milne,0.193071129,0.282498165,
PJ Cummins,0.192877288,0.297483462,
A Dananjaya,0.192868129,,0.211207088
L Ablish,0.192809387,,
A Ashish Reddy,0.192087119,0.195700782,
Mustafizur Rahman,0.191684504,0.296053767,0.211756568
S Curran,0.191551868,,0.270473265
J Dala,0.191093411,,0.204854257
L Ferguson,0.190443992,,0.22075283
SA Abbott,0.190078625,,
A Uniyal,0.189951017,,
S Vidyut,0.189288594,,
R Dhawan,0.189202723,0.178434532,
STR Binny,0.188038412,0.19002703,0.161812592
YA Abdulla,0.187991403,,
MP Stoinis,0.187466348,0.275100762,0.19538372
PV Tambe,0.187397159,0.202987886,
Kamran Khan,0.186616792,,
Pankaj Singh,0.186549495,,
KW Richardson,0.18595287,0.277646613,
LR Shukla,0.185525252,,
SK Raina,0.185485675,0.166840208,0.040384615
A Joseph,0.184750636,,0.225900184
M Ur Rahman,0.184036831,,0.295474128
DNT Zoysa,0.183956989,,
Karanveer Singh,0.183526019,,
KC Cariappa,0.183401598,0.231582763,0.367304844
D Wiese,0.18313316,0.2961495,
RR Bose,0.182949626,,
B Geeves,0.182888282,,
RA Tripathi,0.182608696,0.242307692,
DL Vettori,0.182517377,,
J Theron,0.182378099,,
C de Grandhomme,0.182361193,0.187921517,0.200306608
Mohammad Asif,0.181962985,,
A Symonds,0.181727434,,
AA Kazi,0.181679898,,
DJG Sammy,0.181601615,,
D Kalyankrishna,0.181571073,,
P Amarnath,0.181253284,,
MB Parmar,0.180948484,,
JR Hopes,0.180888291,,
GB Hogg,0.180825835,0.227144937,
Avesh Khan,0.180292696,0.090111039,0.231903324
K Khejroliya,0.180079126,,0.201815551
JDP Oram,0.179749811,,
WPUJC Vaas,0.179724794,,
V Sehwag,0.17966594,,
V Chakravarthy,0.17962178,,0.202076479
GJ Maxwell,0.179521974,0.181411436,0.156179886
V Kohli,0.178482516,0.369230769,
JO Holder,0.178384362,0.187681827,
JDS Neesham,0.177951245,,
Bipul Sharma,0.17784162,0.207827508,
LJ Wright,0.176944377,,
J Botha,0.17683512,,
MR Marsh,0.176818828,0.092968468,
JP Duminy,0.176487848,0.154771528,0.203199432
RS Bopara,0.176018149,,
RG More,0.175930014,,
Sohail Tanvir,0.175724098,,
S Tyagi,0.175529121,,
LMP Simmons,0.174811152,,
AC Thomas,0.17469225,,
Anand Rajan,0.174581898,,
S Rutherford,0.174332169,,0.166556979
IC Pandey,0.174185986,,
M Markande,0.17332961,,0.269890036
H Gurney,0.173009102,,0.214713127
S Ladda,0.172832665,0.202759235,
RR Raje,0.172808942,,
AUK Pathan,0.172077521,,
BCJ Cutting,0.171199939,0.208516515,0.199726118
R Ninan,0.170825369,,
M Ashwin,0.170017836,0.222893862,0.181804767
V Pratap Singh,0.169914722,,
R Sathish,0.169093828,0.221274808,
ST Jayasuriya,0.168946894,,
JEC Franklin,0.16892986,,
S Sharma,0.168626581,,0.246965201
A Roy,0.168419028,,0.125797276
Y Venugopal Rao,0.167938469,,
SM Harwood,0.167801118,,
DJ Hussey,0.167785376,,
RW Price,0.16761515,,
J Suchith,0.167586097,0.40337462,0.085406964
RA Shaikh,0.167543976,,
RG Sharma,0.167501762,,
RR Powar,0.166815085,,
GS Sandhu,0.166679456,,
BJ Hodge,0.166590264,,
A Choudhary,0.16640556,0.21719829,
M Santner,0.165922214,,0.15772539
RE van der Merwe,0.165763815,,
R Rampaul,0.165703659,,
CK Langeveldt,0.165358815,,
TS Mills,0.165162441,0.233979647,
BA Bhatt,0.164442354,,
Washington Sundar,0.164024798,0.171552006,0.219816679
K Gowtham,0.163026569,,0.237756127
S Lamichhane,0.163024112,,0.244559326
A Zampa,0.162682748,0.278921861,
MA Khote,0.16254113,,
SS Agarwal,0.161903744,0.209828987,
J Syed Mohammad,0.161805436,,
S Kaushik,0.161457708,0.22228402,
Gagandeep Singh,0.161377253,,
AB McDonald,0.160919447,,
P Parameswaran,0.160755928,,
T Thushara,0.160656522,,
L Plunkett,0.160471113,,0.183987747
JE Taylor,0.159998246,,
A Nel,0.159539179,,
T Natarajan,0.159423137,0.209937251,
SB Bangar,0.159033075,,
D du Preez,0.15863616,,
D Willey,0.158406572,,0.16837921
SB Wagh,0.158285815,,
J Behrendorff,0.157816124,,0.182196557
AM Salvi,0.157384275,,
SR Tendulkar,0.156689538,,
WA Mota,0.156275979,,
Mohammad Hafeez,0.156087167,,
Ankit Sharma,0.155961088,0.188287484,0.250794428
AM Nayar,0.155780824,,
B Stanlake,0.155542905,0.190122338,0.161310408
DP Vijaykumar,0.155028378,,
KP Appanna,0.154492933,,
FY Fazal,0.15448571,,
SC Ganguly,0.15417165,,
S Kuggeleijn,0.153812898,,0.154232163
DJ Hooda,0.153407231,0.190830266,0.144599359
B Akhil,0.15188677,,
S Badree,0.151883169,0.204337027,
Shahid Afridi,0.151858949,,
A Flintoff,0.151853951,,
AD Mascarenhas,0.151620439,,
TL Suman,0.151389434,,
Shoaib Ahmed,0.151162286,,
AA Chavan,0.15108371,,
LH Ferguson,0.150980313,0.204760723,
MN Samuels,0.150850272,0.224697957,
Shoaib Akhtar,0.150839183,,
T Shamsi,0.150354806,0.198359681,
S Dhawan,0.150110456,,
VS Malik,0.149665388,,
JD Ryder,0.148512087,,
KP Pietersen,0.147224698,,
K Upadhyay,0.147046139,,
BAW Mendis,0.146851827,,
M Ntini,0.146769987,,
R Tewatia,0.146534931,0.101417186,0.161199311
H Brar,0.146534649,,0.138896548
AG Murtaza,0.146229878,,
GD McGrath,0.14609987,,
SB Styris,0.14552811,,
PC Valthaty,0.145135226,,
DB Ravi Teja,0.143961862,,
RD Chahar,0.143919662,0.199496803,0.183658456
TM Head,0.143448087,0.185394394,
AA Jhunjhunwala,0.143214593,,
Swapnil Singh,0.143138509,0.176461321,
L Ngidi,0.142648403,,0.196345167
S Randiv,0.142109517,,
Harmeet Singh (2),0.141621633,,
Shivam Sharma,0.141067423,,
FH Edwards,0.140621345,,
SE Bond,0.140169039,,
AC Voges,0.140050301,,
RJ Peterson,0.139913496,,
P Sahu,0.139911382,0.180036627,
Parvez Rasool,0.13979068,0.182831595,
N Rana,0.139665774,0,0.165443238
TM Dilshan,0.139101862,,
D Short,0.138889398,,0.129799679
RV Gomez,0.138259833,,
PM Sarvesh Kumar,0.13798281,,
DAJ Bracewell,0.137790924,,
AS Raut,0.137513378,,
M Lomror,0.137027696,,0.121466346
H Vihari,0.136956522,,0.121153846
M Ali,0.136355288,,0.188999186
SM Pollock,0.136239452,,
Gurkeerat Singh,0.135893743,0.175187962,
R Parag,0.135860449,,0.130718306
JW Hastings,0.135670712,0.099269696,
KMDN Kulasekara,0.135427134,,
AJ Finch,0.135123644,,
RN ten Doeschate,0.13471439,,
SM Boland,0.134331823,0.169656143,
K Goel,0.134031761,,
S Warrier,0.133749779,,0.115671484
SS Mundhe,0.133318722,,
LA Carseldine,0.133318722,,
CJ McKay,0.133229859,,
DJ Harris,0.132162486,,
AL Menaria,0.132028926,,
M Vijay,0.131272637,0.201948718,
Ankit Soni,0.130895816,0.166632494,
Mohammad Nabi,0.129935923,0.082792817,0.165376285
ND Doshi,0.129133603,,
J Yadav,0.128362946,0.149816885,0.114288045
SB Joshi,0.127379103,,
DJ Muthuswami,0.127340061,,
Tejas Baroka,0.126010165,0.143290526,
SMSM Senanayake,0.125983318,,
C Nanda,0.124505855,,
RS Gavaskar,0.121946384,,
