Player,Team 2017,Base.P 2017,Auction.P 2017,Team 2011,Base.P 2011,Auction.P 2011,Team 2014,Base.P 2014,Auction.P 2014,Team 2008,Base.P 2008,Auction.P 2008,Nationality,Speciality,Team 2010_x,Auction.P 2010,Base.P 2010,Team 2010_y,Base.P 2013,Auction.P 2013,Team 2016,Base.P 2016,Auction.P 2016,Team 2019,Base.P 2019,Auction.P 2019,Playing Role_x,Base.P 2015,Team 2015,Auction.P 2015,Playing Role_y,Base.P 2018,Team 2018,Auction.P 2018,Team 2012,Base.P 2012,Auction.P 2012,Team 2009,Auction.P 2009,Base.P 2009
Eoin Morgan,Kings XI Punjab,200.0,200.0,Kolkata Knight Riders,,,,,,,,,,,Royal Challengers Bangalore,220000.0,200000.0,,,,,,,,,,,150.0,Sunrisers Hyderabad,150.0,,,,,,,,,,
Pawan Negi,Royal Challengers Bangalore,30.0,100.0,,,,Chennai Super Kings,10.0,10.0,,,,,,,,,,,,Delhi Daredevils,30.0,850.0,,,,,,,,All-Rounder,50.0,Royal Challengers Bangalore [RTM],100.0,,,,,,
Angelo Mathews,Delhi Daredevils,200.0,200.0,Pune Warriors India,,,,,,,,,,,,,,,,,,,,,,,,150.0,Delhi Daredevils,750.0,,,,,,,,,,
Ben Stokes,Rising Pune Supergiants,200.0,1450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Rounder,200.0,Rajasthan Royals,1250.0,,,,,,
Corey Anderson,Delhi Daredevils,100.0,100.0,,,,Mumbai Indians,100.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Pooran,Mumbai Indians,30.0,30.0,,,,,,,,,,,,,,,,,,,,,Kings XI Punjab,75.0,420.0,Wicketkeeper,,,,,,,,,,,,,
Kagiso Rabada,Delhi Daredevils,100.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,150.0,Delhi Daredevils[RTM],420.0,,,,,,
Trent Boult,Kolkata Knight Riders,150.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,Sunrisers Hyderabad,380.0,Bowler,150.0,Delhi Daredevils,220.0,,,,,,
Tymal Mills,Royal Challengers Bangalore,50.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Cummins,Delhi Daredevils,200.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,200.0,Mumbai Indians,540.0,,,,,,
Mitchell Johnson,Mumbai Indians,200.0,200.0,,,,Kings XI Punjab,200.0,650.0,,,,,,,,,,,,,,,,,,,,,,Bowler,200.0,Kolkata Knight Riders,200.0,Mumbai Indians,"$300,000","$300,000",,,
Ankit Bawne,Delhi Daredevils,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanmay Agarwal,Sunrisers Hyderabad,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batsman,20.0,Sunrisers Hyderabad,20.0,,,,,,
Mohammad Nabi,Sunrisers Hyderabad,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Rounder,50.0,Sunrisers Hyderabad,100.0,,,,,,
K Gowtham,Mumbai Indians,10.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Tewatia,Kings XI Punjab,10.0,25.0,,,,Rajasthan Royals[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,All-Rounder,20.0,Delhi Daredevils,300.0,,,,,,
Aditya Tare,Delhi Daredevils,20.0,25.0,,,,Mumbai Indians,20.0,160.0,,,,,,,,,,,,Sunrisers Hyderabad,20.0,120.0,,,,,,,,Wicketkeeper,20.0,Mumbai Indians,20.0,,,,,,
Eklavya Dwivedi,Sunrisers Hyderabad,30.0,75.0,,,,,,,,,,,,,,,,,,Gujarat Lions,20.0,100.0,,,,,10.0,Chennai Super Kings,10.0,,,,,,,,,,
Aniket Choudhary,Royal Challengers Bangalore,10.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,30.0,Royal Challengers Bangalore,30.0,,,,,,
T Natarajan,Kings XI Punjab,10.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,40.0,Sunrisers Hyderabad,40.0,,,,,,
Nathu Singh,Gujarat Lions,30.0,50.0,,,,,,,,,,,,,,,,,,Mumbai Indians,10.0,320.0,Delhi Capitals,20.0,20.0,Bowler,,,,,,,,,,,,,
Basil Thampi,Gujarat Lions,10.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,30.0,Sunrisers Hyderabad,95.0,,,,,,
M Ashwin,Delhi Daredevils,10.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejas Baroka,Gujarat Lions,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Khan,Sunrisers Hyderabad,50.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,200.0,Sunrisers Hyderabad[RTM],900.0,,,,,,
Pravin Tambe,Sunrisers Hyderabad,10.0,10.0,,,,Rajasthan Royals[RTM],10.0,10.0,,,,,,,,,,,,Gujarat Lions,10.0,20.0,,,,,,,,,,,,,,,,,
Chris Woakes,Kolkata Knight Riders,200.0,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Rounder,200.0,Royal Challengers Bangalore,740.0,,,,,,
Karn Sharma,Mumbai Indians,30.0,320.0,,,,Sunrisers Hyderabad,30.0,375.0,,,,,,,,,,,,,,,,,,,,,,Bowler,200.0,Chennai Super Kings,500.0,,,,,,
Rishi Dhawan,Kolkata Knight Riders,30.0,55.0,,,,Kings XI Punjab,20.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Henry,Kings XI Punjab,50.0,50.0,,,,Chennai Super Kings,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaydev Unadkat,Rising Pune Supergiants,30.0,30.0,Kolkata Knight Riders,,,Delhi Daredevils,100.0,280.0,,,,,,,,,Royal Challengers Bangalore,"$100,000","$525,000",Kolkata Knight Riders,30.0,160.0,Rajasthan Royals,150.0,840.0,Bowler,50.0,Delhi Daredevils,110.0,Bowler,150.0,Rajasthan Royals,1150.0,,,,,,
Varun Aaron,Kings XI Punjab,30.0,280.0,,,,Royal Challengers Bangalore,150.0,200.0,,,,,,,,,,,,,,,Rajasthan Royals,50.0,240.0,Bowler,,,,,,,,,,,,,
Manpreet Gony,Gujarat Lions,30.0,60.0,Deccan Chargers,,,,,,,,,,,,,,Kings XI Punjab,"$200,000","$500,000",,,,,,,,,,,,,,,,,,,,
Martin Guptill,Kings XI Punjab,50.0,50.0,,,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,100.0,100.0,Batsman,,,,,,,,,,,,,
Jason Roy,Gujarat Lions,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batsman,150.0,Delhi Daredevils,150.0,,,,,,
Saurabh Tiwary,Mumbai Indians,30.0,30.0,Royal Challengers Bangalore,,,Delhi Daredevils,50.0,70.0,,,,,,,,,,,,,,,,,,,,,,Batsman,50.0,Mumbai Indians,80.0,,,,,,
Chris Jordan,Sunrisers Hyderabad,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Rounder,100.0,Sunrisers Hyderabad,100.0,,,,,,
Nathan Coulter-Nile,Kolkata Knight Riders,100.0,350.0,,,,Delhi Daredevils,100.0,425.0,,,,,,,,,Mumbai Indians,"$100,000","$450,000",,,,,,,,,,,Bowler,150.0,Royal Challengers Bangalore,220.0,,,,,,
Praveen Dubey,Royal Challengers Bangalore,10.0,10.0,,,,,,,,,,,,,,,,,,Royal Challengers Bangalore,10.0,35.0,,,,,,,,,,,,,,,,,
Navdeep Saini,Delhi Daredevils,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,20.0,Royal Challengers Bangalore,300.0,,,,,,
Ben Laughlin,Sunrisers Hyderabad,30.0,30.0,,,,,,,,,,,,,,,Chennai Super Kings,"$20,000","$20,000",,,,,,,,,,,Bowler,50.0,Rajasthan Royals,50.0,,,,,,
Billy Stanlake,Royal Challengers Bangalore,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,50.0,Sunrisers Hyderabad,50.0,,,,,,
Mohammed Siraj,Sunrisers Hyderabad,20.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,100.0,Royal Challengers Bangalore,260.0,,,,,,
Rahul Chahar,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,20.0,Mumbai Indians,190.0,,,,,,
Saurabh Kumar,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asela Gunaratne,Mumbai Indians,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Christian,Rising Pune Supergiants,100.0,100.0,,,,,,,,,,,,,,,Royal Challengers Bangalore,"$100,000","$100,000",,,,,,,,,,,All-Rounder,100.0,Delhi Daredevils,150.0,,,,,,
Rovman Powell,Kolkata Knight Riders,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Sammy,Kings XI Punjab,30.0,30.0,,,,Sunrisers Hyderabad,100.0,350.0,,,,,,,,,Sunrisers Hyderabad,"$100,000","$425,000",,,,,,,,100.0,Royal Challengers Bangalore,280.0,,,,,,,,,,
Munaf Patel,Gujarat Lions,30.0,30.0,Mumbai Indians,,,,,,Rajasthan Royals,100.0,275.0,India,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Rinku Singh,Kings XI Punjab,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batsman,20.0,Kolkata Knight Riders,80.0,,,,,,
Shashank Singh,Delhi Daredevils,10.0,10.0,,,,,,,,,,,,,,,,,,,,,Rajasthan Royals,20.0,30.0,All-rounder,,,,,,,,,,,,,
Milind Tandon,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulwant Khejroliya,Mumbai Indians,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,20.0,Royal Challengers Bangalore,85.0,,,,,,
Chirag Suri,Gujarat Lions,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Sanjay Yadav,Kolkata Knight Riders,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelley Shaurya,Gujarat Lions,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubham Agarwal,Gujarat Lions,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishank Jaggi,Kolkata Knight Riders,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batsman,20.0,Kolkata Knight Riders,20.0,,,,,,
Rahul Tripathi,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batsman,20.0,Rajasthan Royals,340.0,,,,,,
Pratham Singh,Gujarat Lions,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshdeep Nath,Gujarat Lions,10.0,10.0,,,,,,,,,,,,,,,,,,Gujarat Lions,10.0,10.0,Royal Challengers Bangalore,20.0,360.0,All-rounder,,,,All-Rounder,20.0,Kings XI Punjab,100.0,,,,,,
Lockie Ferguson,Rising Pune Supergiants,50.0,50.0,,,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,100.0,160.0,Bowler,,,,,,,,,,,,,
Manoj Tiwary,Rising Pune Supergiants,50.0,50.0,Kolkata Knight Riders,,,Delhi Daredevils,200.0,280.0,Delhi Daredevils,100.0,675.0,India,Batsman,,,,,,,,,,,,,,,,,Batsman,50.0,Kings XI Punjab,100.0,,,,,,
Darren Bravo,Kolkata Knight Riders,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deccan Chargers,"$100,000","$100,000",,,
Sayan Ghosh,Kolkata Knight Riders,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,20.0,Delhi Daredevils,20.0,,,,,,
Gautam Gambhir,,,,Kolkata Knight Riders,,,,,,Delhi Daredevils,220.0,725.0,India,Batsman,,,,,,,,,,,,,,,,,Batsman,200.0,Delhi Daredevils,280.0,,,,,,
Yusuf Pathan,,,,Kolkata Knight Riders,,,Kolkata Knight Riders,200.0,325.0,Rajasthan Royals,100.0,475.0,India,Allrounder,,,,,,,,,,,,,,,,,All-Rounder,75.0,Sunrisers Hyderabad,190.0,,,,,,
