Player,Base.P 2015,Team 2015,Auction.P 2015,Playing Role,Base.P 2018,Team 2018,Auction.P 2018,Team 2012,Base.P 2012,Auction.P 2012,Team 2009,Auction.P 2009,Base.P 2009
Michael Hussey,150.0,Chennai Super Kings,150.0,,,,,,,,,,
Irfan Pathan,150.0,Chennai Super Kings,150.0,,,,,,,,,,
Rahul Sharma,30.0,Chennai Super Kings,30.0,,,,,,,,,,
Kyle Abbott,30.0,Chennai Super Kings,30.0,,,,,,,,,,
Andrew Tye,20.0,Chennai Super Kings,20.0,Bowler,100.0,Kings XI Punjab,720.0,,,,,,
Pratyush Singh,10.0,Chennai Super Kings,10.0,,,,,,,,,,
Ankush Bains,10.0,Chennai Super Kings,10.0,,,,,,,,,,
Eklavya Dwivedi,10.0,Chennai Super Kings,10.0,,,,,,,,,,
Yuvraj Singh,200.0,Delhi Daredevils,1600.0,All-Rounder,200.0,Kings XI Punjab,200.0,,,,,,
Angelo Mathews,150.0,Delhi Daredevils,750.0,,,,,,,,,,
Zaheer Khan,100.0,Delhi Daredevils,400.0,,,,,,,,,,
Amit Mishra,10.0,Delhi Daredevils,350.0,Bowler,150.0,Delhi Daredevils,400.0,,,,,,
Shreyas Iyer,10.0,Delhi Daredevils,260.0,,,,,,,,,,
Gurinder Sandhu,30.0,Delhi Daredevils,170.0,,,,,,,,,,
Jaydev Unadkat,50.0,Delhi Daredevils,110.0,Bowler,150.0,Rajasthan Royals,1150.0,,,,,,
Domnic Joseph,10.0,Delhi Daredevils,75.0,,,,,,,,,,
Albie Morkel,30.0,Delhi Daredevils,30.0,,,,,,,,,,
Marcus Stoinis,20.0,Delhi Daredevils,25.0,All-Rounder,200.0,Kings XI Punjab[RTM],620.0,,,,,,
CM Gautam,20.0,Delhi Daredevils,20.0,,,,,,,,,,
Srikar Bharat,10.0,Delhi Daredevils,10.0,,,,,,,,,,
KK Jiyas,10.0,Delhi Daredevils,10.0,,,,,,,,,,
Murali Vijay,50.0,Kings XI Punjab,300.0,Batsman,200.0,Chennai Super Kings,200.0,,,,,,
Nikhil Naik,10.0,Kings XI Punjab,30.0,,,,,,,,,,
Yogesh Golwalkar,10.0,Kings XI Punjab,10.0,,,,,,,,,,
KC Cariappa,10.0,Kolkata Knight Riders,240.0,,,,,,,,,,
James Neesham,30.0,Kolkata Knight Riders,50.0,,,,,,,,,,
Brad Hogg,50.0,Kolkata Knight Riders,50.0,,,,,Rajasthan Royals,"$100,000","$180,000",,,
Aditya Garhwal,10.0,Kolkata Knight Riders,25.0,,,,,,,,,,
Sheldon Jackson,10.0,Kolkata Knight Riders,15.0,,,,,,,,,,
Sumit Narwal,10.0,Kolkata Knight Riders,10.0,,,,,,,,,,
Vaibhav Rawal,10.0,Kolkata Knight Riders,10.0,,,,,,,,,,
Aaron Finch,100.0,Mumbai Indians,320.0,Batsman,150.0,Kings XI Punjab,620.0,,,,,,
Pragyan Ojha,50.0,Mumbai Indians,50.0,,,,,,,,,,
Abhimanyu Mithun,30.0,Mumbai Indians,30.0,,,,,,,,,,
Mitchell McClenaghan,30.0,Mumbai Indians,30.0,,,,,,,,,,
Aiden Blizzard,30.0,Mumbai Indians,30.0,,,,,,,,,,
Hardik Pandya,10.0,Mumbai Indians,10.0,,,,,,,,,,
Akshay Wakhare,10.0,Mumbai Indians,10.0,,,,,,,,,,
Nitish Rana,10.0,Mumbai Indians,10.0,All-Rounder,20.0,Kolkata Knight Riders,340.0,,,,,,
Siddhesh Lad,10.0,Mumbai Indians,10.0,Batsman,20.0,Mumbai Indians,20.0,,,,,,
Jagadeesha Suchith,10.0,Mumbai Indians,10.0,,,,,,,,,,
Chris Morris,50.0,Rajasthan Royals,140.0,,,,,,,,,,
Rusty Theron,30.0,Rajasthan Royals,30.0,,,,,,,,,,
Barinder Sran,10.0,Rajasthan Royals,10.0,Bowler,50.0,Kings XI Punjab,220.0,,,,,,
Dinesh Salunkhe,10.0,Rajasthan Royals,10.0,,,,,,,,,,
Sagar Trivedi,10.0,Rajasthan Royals,10.0,,,,,,,,,,
Pardeep Sahu,10.0,Rajasthan Royals,10.0,Bowler,20.0,Kings XI Punjab,20.0,,,,,,
Dinesh Karthik,200.0,Royal Challengers Bangalore,1050.0,Wicketkeeper,200.0,Kolkata Knight Riders,740.0,,,,,,
Darren Sammy,100.0,Royal Challengers Bangalore,280.0,,,,,,,,,,
David Wiese,30.0,Royal Challengers Bangalore,280.0,,,,,,,,,,
Sean Abbott,50.0,Royal Challengers Bangalore,100.0,,,,,,,,,,
Adam Milne,30.0,Royal Challengers Bangalore,70.0,,,,,,,,,,
Sarfaraz Khan,10.0,Royal Challengers Bangalore,50.0,,,,,,,,,,
Subramaniam Badrinath,30.0,Royal Challengers Bangalore,30.0,,,,,,,,,,
Jalaj Saxena,10.0,Royal Challengers Bangalore,10.0,,,,,,,,,,
Shishir Bhavane,10.0,Royal Challengers Bangalore,10.0,,,,,,,,,,
Trent Boult,50.0,Sunrisers Hyderabad,380.0,Bowler,150.0,Delhi Daredevils,220.0,,,,,,
Praveen Kumar,50.0,Sunrisers Hyderabad,220.0,,,,,,,,,,
Kevin Pietersen,200.0,Sunrisers Hyderabad,200.0,,,,,,,,Royal Challengers Bangalore,"$1,550,000","$1,350,000"
Eoin Morgan,150.0,Sunrisers Hyderabad,150.0,,,,,,,,,,
Ravi Bopara,100.0,Sunrisers Hyderabad,100.0,,,,,,,,Kings XI Punjab,"$450,000","$150,000"
Kane Williamson,50.0,Sunrisers Hyderabad,60.0,Batsman,150.0,Sunrisers Hyderabad,300.0,,,,,,
Laxmi Ratan Shukla,30.0,Sunrisers Hyderabad,30.0,,,,,,,,,,
Padmanabhan Prasanth,10.0,Sunrisers Hyderabad,10.0,,,,,,,,,,
Hanuma Vihari,10.0,Sunrisers Hyderabad,10.0,,,,,,,,,,
Siddarth Kaul,10.0,Sunrisers Hyderabad,10.0,,,,,,,,,,
Shikhar Dhawan,,,,Batsman,200.0,Sunrisers Hyderabad[RTM],520.0,,,,,,
Ravichandran Ashwin,,,,All-Rounder,200.0,Kings XI Punjab,760.0,,,,,,
Kieron Pollard,,,,All-Rounder,200.0,Mumbai Indians[RTM],540.0,,,,,,
Ben Stokes,,,,All-Rounder,200.0,Rajasthan Royals,1250.0,,,,,,
Faf du Plessis,,,,Batsman,150.0,Chennai Super Kings[RTM],160.0,,,,,,
Ajinkya Rahane,,,,Batsman,200.0,Rajasthan Royals[RTM],400.0,,,,,,
Mitchell Starc,,,,Bowler,200.0,Kolkata Knight Riders,940.0,,,,,,
Harbhajan Singh,,,,Bowler,200.0,Chennai Super Kings,200.0,,,,,,
Shakib Al Hasan,,,,All-Rounder,100.0,Sunrisers Hyderabad,200.0,,,,,,
Glenn Maxwell,,,,All-Rounder,200.0,Delhi Daredevils,900.0,,,,,,
Gautam Gambhir,,,,Batsman,200.0,Delhi Daredevils,280.0,,,,,,
Dwayne Bravo,,,,All-Rounder,200.0,Chennai Super Kings[RTM],640.0,,,,,,
Karun Nair,,,,Batsman,50.0,Kings XI Punjab,560.0,,,,,,
KL Rahul,,,,Batsman,200.0,Kings XI Punjab,1100.0,,,,,,
David Miller,,,,Batsman,150.0,Kings XI Punjab[RTM],300.0,,,,,,
Brendon McCullum,,,,Batsman,200.0,Royal Challengers Bangalore,360.0,Kolkata Knight Riders,"$400,000","$900,000",,,
Jason Roy,,,,Batsman,150.0,Delhi Daredevils,150.0,,,,,,
Chris Lynn,,,,Batsman,200.0,Kolkata Knight Riders,960.0,,,,,,
Manish Pandey,,,,Batsman,100.0,Sunrisers Hyderabad,1100.0,,,,,,
Chris Woakes,,,,All-Rounder,200.0,Royal Challengers Bangalore,740.0,,,,,,
Carlos Brathwaite,,,,All-Rounder,100.0,Sunrisers Hyderabad,200.0,,,,,,
Shane Watson,,,,All-Rounder,100.0,Chennai Super Kings,400.0,,,,,,
Kedar Jadhav,,,,All-Rounder,200.0,Chennai Super Kings,780.0,,,,,,
Colin de Grandhomme,,,,All-Rounder,75.0,Royal Challengers Bangalore,220.0,,,,,,
Yusuf Pathan,,,,All-Rounder,75.0,Sunrisers Hyderabad,190.0,,,,,,
Colin Munro,,,,All-Rounder,50.0,Delhi Daredevils,190.0,,,,,,
Stuart Binny,,,,All-Rounder,50.0,Rajasthan Royals,50.0,,,,,,
Moeen Ali,,,,All-Rounder,150.0,Royal Challengers Bangalore,170.0,,,,,,
Quinton de Kock,,,,Wicketkeeper,200.0,Royal Challengers Bangalore,280.0,,,,,,
Wriddhiman Saha,,,,Wicketkeeper,100.0,Sunrisers Hyderabad,500.0,,,,,,
Robin Uthappa,,,,Wicketkeeper,200.0,Kolkata Knight Riders [RTM],640.0,,,,,,
Sanju Samson,,,,Wicketkeeper,100.0,Rajasthan Royals,800.0,,,,,,
Ambati Rayudu,,,,Wicketkeeper,50.0,Chennai Super Kings,220.0,,,,,,
Jos Buttler,,,,Wicketkeeper,150.0,Rajasthan Royals,440.0,,,,,,
Mustafizur Rahman,,,,Bowler,100.0,Mumbai Indians,220.0,,,,,,
Pat Cummins,,,,Bowler,200.0,Mumbai Indians,540.0,,,,,,
Umesh Yadav,,,,Bowler,100.0,Royal Challengers Bangalore,420.0,,,,,,
Mohammed Shami,,,,Bowler,100.0,Delhi Daredevils[RTM],300.0,,,,,,
Kagiso Rabada,,,,Bowler,150.0,Delhi Daredevils[RTM],420.0,,,,,,
Piyush Chawla,,,,Bowler,100.0,Kolkata Knight Riders [RTM],420.0,,,,,,
Imran Tahir,,,,Bowler,100.0,Chennai Super Kings,100.0,,,,,,
Karn Sharma,,,,Bowler,200.0,Chennai Super Kings,500.0,,,,,,
Rashid Khan,,,,Bowler,200.0,Sunrisers Hyderabad[RTM],900.0,,,,,,
Yuzvendra Chahal,,,,Bowler,200.0,Royal Challengers Bangalore [RTM],600.0,,,,,,
Kuldeep Yadav,,,,Bowler,150.0,Kolkata Knight Riders [RTM],580.0,,,,,,
Suryakumar Yadav,,,,Batsman,30.0,Mumbai Indians,320.0,,,,,,
Shubman Gill,,,,Batsman,20.0,Kolkata Knight Riders,180.0,,,,,,
Ishank Jaggi,,,,Batsman,20.0,Kolkata Knight Riders,20.0,,,,,,
Ricky Bhui,,,,Batsman,20.0,Sunrisers Hyderabad,20.0,,,,,,
Mayank Agarwal,,,,Batsman,20.0,Kings XI Punjab,100.0,,,,,,
Rahul Tripathi,,,,Batsman,20.0,Rajasthan Royals,340.0,,,,,,
Manan Vohra,,,,Batsman,20.0,Royal Challengers Bangalore,110.0,,,,,,
Prithvi Shaw,,,,Batsman,20.0,Delhi Daredevils,120.0,,,,,,
Rahul Tewatia,,,,All-Rounder,20.0,Delhi Daredevils,300.0,,,,,,
Deepak Hooda,,,,All-Rounder,40.0,Sunrisers Hyderabad[RTM],360.0,,,,,,
Vijay Shankar,,,,All-Rounder,40.0,Delhi Daredevils,320.0,,,,,,
Harshal Patel,,,,All-Rounder,20.0,Delhi Daredevils,20.0,,,,,,
Kamlesh Nagarkoti,,,,All-Rounder,20.0,Kolkata Knight Riders,320.0,,,,,,
Krunal Pandya,,,,All-Rounder,40.0,Mumbai Indians[RTM],880.0,,,,,,
D'Arcy Short,,,,All-Rounder,20.0,Rajasthan Royals,400.0,,,,,,
Jofra Archer,,,,All-Rounder,40.0,Rajasthan Royals,720.0,,,,,,
Ishan Kishan,,,,Wicketkeeper,40.0,Mumbai Indians,620.0,,,,,,
Kulwant Khejroliya,,,,Bowler,20.0,Royal Challengers Bangalore,85.0,,,,,,
Siddharth Kaul,,,,Bowler,30.0,Sunrisers Hyderabad,380.0,,,,,,
T Natarajan,,,,Bowler,40.0,Sunrisers Hyderabad,40.0,,,,,,
Basil Thampi,,,,Bowler,30.0,Sunrisers Hyderabad,95.0,,,,,,
Aniket Choudhary,,,,Bowler,30.0,Royal Challengers Bangalore,30.0,,,,,,
Khaleel Ahmed,,,,Bowler,20.0,Sunrisers Hyderabad,300.0,,,,,,
Navdeep Saini,,,,Bowler,20.0,Royal Challengers Bangalore,300.0,,,,,,
Avesh Khan,,,,Bowler,20.0,Delhi Daredevils,70.0,,,,,,
Ankit Rajpoot,,,,Bowler,30.0,Kings XI Punjab,300.0,,,,,,
Rahul Chahar,,,,Bowler,20.0,Mumbai Indians,190.0,,,,,,
Shahbaz Nadeem,,,,Bowler,40.0,Delhi Daredevils,320.0,,,,,,
Krishnappa Gowtham,,,,Bowler,20.0,Rajasthan Royals,620.0,,,,,,
Murugan Ashwin,,,,Bowler,20.0,Royal Challengers Bangalore,220.0,,,,,,
Evin Lewis,,,,Batsman,150.0,Mumbai Indians,380.0,,,,,,
Saurabh Tiwary,,,,Batsman,50.0,Mumbai Indians,80.0,,,,,,
Mandeep Singh,,,,Batsman,50.0,Royal Challengers Bangalore,140.0,,,,,,
Manoj Tiwary,,,,Batsman,50.0,Kings XI Punjab,100.0,,,,,,
Washington Sundar,,,,All-Rounder,150.0,Royal Challengers Bangalore,320.0,,,,,,
Pawan Negi,,,,All-Rounder,50.0,Royal Challengers Bangalore [RTM],100.0,,,,,,
Daniel Christian,,,,All-Rounder,100.0,Delhi Daredevils,150.0,,,,,,
Jayant Yadav,,,,All-Rounder,50.0,Delhi Daredevils,50.0,,,,,,
Gurkeerat Singh,,,,All-Rounder,50.0,Delhi Daredevils,75.0,,,,,,
Ben Cutting,,,,All-Rounder,100.0,Mumbai Indians,220.0,,,,,,
Mohammad Nabi,,,,All-Rounder,50.0,Sunrisers Hyderabad,100.0,,,,,,
Dhawal Kulkarni,,,,Bowler,50.0,Rajasthan Royals[RTM],75.0,,,,,,
Mohit Sharma,,,,Bowler,150.0,Kings XI Punjab[RTM],240.0,,,,,,
Sandeep Sharma,,,,Bowler,50.0,Sunrisers Hyderabad,300.0,,,,,,
Vinay Kumar,,,,Bowler,100.0,Kolkata Knight Riders,100.0,Royal Challengers Bangalore,"$100,000","$1,000,000",,,
Mohammed Siraj,,,,Bowler,100.0,Royal Challengers Bangalore,260.0,,,,,,
Nathan Coulter-Nile,,,,Bowler,150.0,Royal Challengers Bangalore,220.0,,,,,,
Shardul Thakur,,,,Bowler,75.0,Chennai Super Kings,260.0,,,,,,
Mujeeb Zadran,,,,Bowler,50.0,Kings XI Punjab,400.0,,,,,,
Apoorv Wankhade,,,,Batsman,20.0,Kolkata Knight Riders,20.0,,,,,,
Rinku Singh,,,,Batsman,20.0,Kolkata Knight Riders,80.0,,,,,,
Sachin Baby,,,,Batsman,20.0,Sunrisers Hyderabad,20.0,,,,,,
Manjot Kalra,,,,Batsman,20.0,Delhi Daredevils,20.0,,,,,,
Ankit Sharma,,,,All-Rounder,20.0,Rajasthan Royals,20.0,,,,,,
Shivam Mavi,,,,All-Rounder,20.0,Kolkata Knight Riders,300.0,,,,,,
Abhishek Sharma,,,,All-Rounder,20.0,Delhi Daredevils,55.0,,,,,,
Pradeep Sangwan,,,,Bowler,30.0,Mumbai Indians,150.0,,,,,,
Anureet Singh,,,,Bowler,30.0,Rajasthan Royals,30.0,,,,,,
Narayan Jagadeesan,,,,Wicketkeeper,20.0,Chennai Super Kings,20.0,,,,,,
