,batsman,batsman_runs
374,SK Raina,4548
431,V Kohli,4423
323,RG Sharma,4207
137,G Gambhir,4132
103,DA Warner,4014
340,RV Uthappa,3778
85,CH Gayle,3651
347,S Dhawan,3561
259,MS Dhoni,3560
22,AB de Villiers,3486
38,AM Rahane,3057
454,YK Pathan,2922
195,KD Karthik,2903
66,BB McCullum,2755
433,V Sehwag,2728
390,SR Watson,2628
459,Yuvraj Singh,2591
232,M Vijay,2511
372,SE Marsh,2489
176,JH Kallis,2427
49,AT Rayudu,2416
125,DR Smith,2385
190,KA Pollard,2354
389,SR Tendulkar,2334
289,PA Patel,2322
249,MK Pandey,2223
308,R Dravid,2174
24,AC Gilchrist,2069
182,JP Duminy,1993
242,MEK Hussey,1977
123,DPMD Jayawardene,1808
317,RA Jadeja,1732
388,SPD Smith,1713
194,KC Sangakkara,1687
250,MK Tiwary,1648
34,AJ Finch,1604
102,DA Miller,1563
446,WP Saha,1557
280,NV Ojha,1553
345,S Badrinath,1441
396,SV Samson,1426
72,BJ Hodge,1400
369,SC Ganguly,1349
112,DJ Hussey,1322
134,F du Plessis,1295
393,SS Tiwary,1276
109,DJ Bravo,1262
143,GJ Maxwell,1229
199,KK Nair,1158
420,TM Dilshan,1153
157,IK Pathan,1150
263,Mandeep Singh,1112
251,ML Hayden,1107
219,LMP Simmons,1079
222,LRPL Taylor,1017
204,KP Pietersen,1001
452,Y Venugopal Rao,985
168,JA Morkel,975
11,A Symonds,974
93,CL White,971
238,MC Henriques,969
233,M Vohra,957
201,KM Jadhav,893
147,HH Gibbs,886
131,EJG Morgan,854
235,MA Agarwal,814
391,SS Iyer,807
151,Harbhajan Singh,799
258,MS Bisla,798
394,ST Jayasuriya,768
395,STR Binny,766
139,GC Smith,739
303,Q de Kock,726
200,KL Rahul,725
28,AD Mathews,724
419,TL Suman,676
37,AM Nayar,672
142,GJ Bailey,663
363,SA Yadav,608
45,AR Patel,606
170,JD Ryder,604
149,HM Amla,577
30,AD Russell,574
330,RR Pant,564
335,RS Bopara,531
169,JC Buttler,528
183,JP Faulkner,527
87,CJ Anderson,521
296,PP Chawla,515
227,M Manhas,514
282,OA Shah,506
291,PC Valthaty,505
403,Shakib Al Hasan,500
196,KH Pandya,480
86,CH Morris,439
271,N Rana,437
277,NLTC Perera,424
