match_id,batsman,over,total_runs
1,A Choudhary,20,6
1,BCJ Cutting,19,1
1,BCJ Cutting,20,15
1,CH Gayle,1,1
1,CH Gayle,2,1
1,CH Gayle,3,11
1,CH Gayle,4,10
1,CH Gayle,5,5
1,CH Gayle,7,6
1,DA Warner,1,6
1,DA Warner,2,11
1,DJ Hooda,16,2
1,DJ Hooda,17,2
1,DJ Hooda,18,10
1,DJ Hooda,19,1
1,DJ Hooda,20,1
1,KM Jadhav,7,0
1,KM Jadhav,8,5
1,KM Jadhav,9,9
1,KM Jadhav,10,7
1,KM Jadhav,11,11
1,KM Jadhav,12,2
1,MC Henriques,2,4
1,MC Henriques,3,4
1,MC Henriques,4,2
1,MC Henriques,5,7
1,MC Henriques,7,2
1,MC Henriques,8,8
1,MC Henriques,9,5
1,MC Henriques,10,2
1,MC Henriques,11,2
1,MC Henriques,12,2
1,MC Henriques,14,2
1,MC Henriques,15,12
1,MC Henriques,16,0
1,Mandeep Singh,1,10
1,Mandeep Singh,2,0
1,Mandeep Singh,3,5
1,Mandeep Singh,4,5
1,Mandeep Singh,6,4
1,S Aravind,17,0
1,S Aravind,18,0
1,S Dhawan,1,1
1,S Dhawan,2,1
1,S Dhawan,3,2
1,S Dhawan,4,2
1,S Dhawan,5,2
1,S Dhawan,6,17
1,S Dhawan,7,3
1,S Dhawan,8,3
1,S Dhawan,9,4
1,S Dhawan,10,2
1,S Dhawan,11,4
1,SR Watson,12,1
1,SR Watson,13,3
1,SR Watson,14,2
1,SR Watson,15,7
1,SR Watson,16,5
1,SR Watson,17,2
1,SR Watson,18,2
1,STR Binny,14,1
1,STR Binny,15,2
1,STR Binny,16,7
1,STR Binny,17,1
1,Sachin Baby,14,1
1,TM Head,6,2
1,TM Head,7,1
1,TM Head,8,8
1,TM Head,9,2
1,TM Head,10,6
1,TM Head,11,2
1,TM Head,12,4
1,TM Head,13,5
1,TS Mills,19,7
1,YS Chahal,18,0
1,YS Chahal,19,2
1,YS Chahal,20,1
1,Yuvraj Singh,11,4
1,Yuvraj Singh,12,6
1,Yuvraj Singh,13,18
1,Yuvraj Singh,14,6
1,Yuvraj Singh,15,7
1,Yuvraj Singh,16,2
1,Yuvraj Singh,17,5
1,Yuvraj Singh,18,7
1,Yuvraj Singh,19,10
2,AM Rahane,1,2
2,AM Rahane,2,14
2,AM Rahane,3,11
2,AM Rahane,4,1
2,AM Rahane,5,2
2,AM Rahane,6,11
2,AM Rahane,7,2
2,AM Rahane,8,1
2,AM Rahane,9,8
2,AM Rahane,10,8
2,AM Rahane,11,0
2,AT Rayudu,7,1
2,AT Rayudu,8,2
2,AT Rayudu,9,2
2,AT Rayudu,10,4
2,AT Rayudu,11,2
2,AT Rayudu,12,0
2,BA Stokes,11,3
2,BA Stokes,12,6
2,BA Stokes,14,3
2,BA Stokes,15,6
2,BA Stokes,16,4
2,HH Pandya,16,1
2,HH Pandya,17,2
2,HH Pandya,18,3
2,HH Pandya,19,2
2,HH Pandya,20,30
2,JC Buttler,1,5
2,JC Buttler,2,8
2,JC Buttler,4,12
2,JC Buttler,5,1
2,JC Buttler,6,12
2,JC Buttler,7,0
2,KA Pollard,14,2
2,KA Pollard,15,6
2,KA Pollard,16,6
2,KA Pollard,17,8
2,KA Pollard,18,5
2,KA Pollard,19,0
2,KH Pandya,12,2
2,KH Pandya,13,3
2,KH Pandya,14,0
2,MA Agarwal,1,6
