,bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,av.eco,over,player_dismissed,w/o
0,AC Gilchrist,,,,,,0,,,,,0,1,1,1
1,N Rana,,,,,,,,,3,,3,1,0,0
2,Sachin Baby,,,,,,,,,4,,4,2,3,1.5
3,NB Singh,,,,,,,,,,4.5,4.5,4,1,0.25
4,AM Rahane,,5,,,,,,,,,5,1,1,1
5,SPD Smith,,,,,5,,,,,,5,1,0,0
6,S Rana,,,,2,,,8,,,,5,3,0,0
7,Mohammad Nabi,,,,,,,,,,5.363636364,5.363636364,11,2,0.181818182
8,DJ Thornely,5.714285714,,,,,,,,,,5.714285714,7,3,0.428571429
9,Avesh Khan,,,,,,,,,,6,6,4,1,0.25
10,SS Mundhe,,,,6,,,,,,,6,1,1,1
11,LA Carseldine,,6,,,,,,,,,6,1,1,1
12,M Manhas,,,,6,,,,,,,6,7,0,0
13,J Yadav,,,,,,,,4.142857143,7.352941176,7.166666667,6.220821662,30,4,0.133333333
14,A Chandila,,,,,6.214285714,6.32,,,,,6.267142857,39,11,0.282051282
15,R Ashwin,,3.5,6.416666667,6.317460317,6.552238806,6.844827586,7.433333333,5.871794872,7.295454545,,6.278972016,383,110,0.287206266
16,Washington Sundar,,,,,,,,,,6.3,6.3,30,9,0.3
17,JM Kemp,,,6.444444444,,,,,,,,6.444444444,9,3,0.333333333
18,GH Vihari,,,,,,6.5,,,,,6.5,6,1,0.166666667
19,MJ Clarke,,,,,6.545454545,,,,,,6.545454545,11,3,0.272727273
20,Sohail Tanvir,6.547619048,,,,,,,,,,6.547619048,42,24,0.571428571
21,SMSM Senanayake,,,,,,6.59375,,,,,6.59375,32,9,0.28125
22,SP Narine,,,,,5.533333333,5.515625,6.646153846,7.6875,7.209302326,6.983050847,6.595827559,323,109,0.3374613
23,RE van der Merwe,,7.735294118,6.75,6.266666667,6,6.454545455,,,,,6.641301248,74,25,0.337837838
24,RV Gomez,,,,8.333333333,,5,,,,,6.666666667,16,6,0.375
25,NJ Rimmington,,,,6.666666667,,,,,,,6.666666667,3,0,0
26,FH Edwards,,6.666666667,,,,,,,,,6.666666667,24,6,0.25
27,SM Pollock,6.673913043,,,,,,,,,,6.673913043,46,13,0.282608696
28,PD Collingwood,,,6.733333333,,,,,,,,6.733333333,15,5,0.333333333
29,GD McGrath,6.777777778,,,,,,,,,,6.777777778,54,14,0.259259259
30,R Rampaul,,,,,,7.421052632,6.166666667,,,,6.793859649,44,17,0.386363636
31,RN ten Doeschate,,,,7,8,8,7,4,,,6.8,13,3,0.230769231
32,SS Sarkar,,6.8,,,,,,,,,6.8,5,1,0.2
33,Rashid Khan,,,,,,,,,,6.814814815,6.814814815,54,18,0.333333333
34,CK Langeveldt,,3.75,8.363636364,8.363636364,,,,,,,6.825757576,26,13,0.5
35,T Henderson,,6.833333333,,,,,,,,,6.833333333,6,1,0.166666667
36,A Kumble,8.051282051,5.883333333,6.59375,,,,,,,,6.842788462,163,49,0.300613497
37,AL Menaria,,,,8.066666667,5.75,,,,,,6.908333333,19,3,0.157894737
38,RS Bopara,,2.5,10.15384615,,,,,8.2,,,6.951282051,35,13,0.371428571
39,AJ Tye,,,,,,,,,,6.952380952,6.952380952,21,12,0.571428571
40,NL McCullum,,,,7,,,,,,,7,5,0,0
41,Y Gnaneswara Rao,,,,7,,,,,,,7,1,0,0
42,GR Napier,,7,,,,,,,,,7,4,1,0.25
43,KS Williamson,,,,,,,,,7,,7,1,0,0
44,SL Malinga,,6.549019608,7.2,6.140625,6.339285714,7.333333333,6.675,7.55,,8.622222222,7.051185735,432,170,0.393518519
45,J Botha,,6.333333333,,6.722222222,7.414634146,6.705882353,,8.2,,,7.075214411,116,27,0.232758621
46,AJ Finch,,,2.5,6.5,,12.25,,,,,7.083333333,8,1,0.125
47,Mohammad Hafeez,7.1,,,,,,,,,,7.1,10,2,0.2
48,M Muralitharan,7.172413793,5.34,7.265306122,7.25,6.6,8.347826087,7.8125,,,,7.112578,256,67,0.26171875
49,DL Vettori,6.75,7.75,8.166666667,6.057692308,6.885714286,,,,,,7.122014652,131,34,0.259541985
50,B Kumar,,,,6.181818182,7.512820513,6.684210526,6.581818182,8.057692308,7.621212121,7.245283019,7.126407836,333,117,0.351351351
51,S Nadeem,,,,7.631578947,7.111111111,6,8.051282051,6.142857143,8.466666667,6.611111111,7.144943861,187,39,0.20855615
52,AD Mascarenhas,7.75,6.65,8.25,,6.875,6.25,,,,,7.155,52,19,0.365384615
53,Harbhajan Singh,8.4,6.181818182,7.12962963,7.037735849,7.203703704,6.657142857,6.636363636,7.859649123,8.204081633,6.56097561,7.187110022,487,136,0.27926078
54,BMAJ Mendis,,,,,,7.2,,,,,7.2,5,1,0.2
55,JP Duminy,,5.333333333,6.166666667,8.277777778,8,,7.333333333,7.529411765,7.857142857,,7.213952248,112,23,0.205357143
56,KH Pandya,,,,,,,,,7.4375,7,7.21875,72,17,0.236111111
57,DW Steyn,6.973684211,6.888888889,7.033898305,6.608695652,6.170212766,6.029411765,7.875,9,8.5,,7.231087954,344,100,0.290697674
58,AG Murtaza,,,7.75,6.1,5.5,9.6,,,,,7.2375,44,12,0.272727273
59,T Thushara,,7.625,6.866666667,,,,,,,,7.245833333,23,10,0.434782609
60,C Nanda,,7.25,,,,,,,,,7.25,8,2,0.25
61,BAW Mendis,6,8,8.5,,,6.5,,,,,7.25,41,9,0.219512195
