,batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
0,A Ashish Reddy,0.0558259375894646,0.0615655233069481,0.612244897959183,0.327195067897004,0.0,0.0,0.0346232179226069,0.057471264367816,0.0317460317460317,0.29665174008367556
1,A Chandila,0.00171772115659891,0.000879507475813544,0.244897959183673,0.0537534754402224,0.0,0.0,0.0,0.0,0.0,0.08976926719257991
2,A Chopra,0.0211852275980532,0.0116534740545294,0.302857142857142,0.237411183194315,0.0,0.0,0.0142566191446028,0.0,0.0,0.1653030699409149
3,A Choudhary,0.00543945032922988,0.00549692172383465,0.535714285714285,0.22397281433426,0.0,0.0,0.0020366598778004,0.00383141762452107,0.0,0.22910024595232575
4,A Flintoff,0.0160320641282565,0.0136323658751099,0.466165413533834,0.555452579548963,0.0,0.0,0.0122199592668024,0.00766283524904214,0.0,0.30996540498238156
5,A Kumble,0.0137417692527912,0.00769569041336851,0.306122448979591,0.0627123880135928,0.0,0.0,0.00814663951120162,0.0,0.0,0.11267737336771567
6,A Mishra,0.10907529344403,0.0747581354441512,0.381451009723261,0.186491649486486,0.0,0.0,0.0570264765784114,0.0191570881226053,0.0317460317460317,0.18845365462738584
7,A Mithun,0.00715717148582879,0.00747581354441512,0.56043956043956,0.152301513747296,0.0,0.0,0.00814663951120162,0.00383141762452107,0.0,0.21572791200804514
8,A Mukund,0.00629831090752934,0.00417766051011433,0.354037267080745,0.255329008341056,0.0,0.0,0.0020366598778004,0.0,0.0,0.18368513041437423
9,A Nehra,0.0177497852848554,0.00901495162708883,0.27891156462585,0.0648203674426211,0.0,0.0,0.00610997963340122,0.00383141762452107,0.0,0.10556614767930231
10,A Singh,0.00257658173489836,0.000439753737906772,0.0857142857142857,0.0107506950880444,0.0,0.0,0.0,0.0,0.0,0.029112298701234624
11,A Symonds,0.223303750357858,0.214160070360598,0.53447960490214,0.727165070538563,0.153846153846153,0.2,0.15274949083503,0.157088122605363,0.222222222222222,0.4505769642855527
12,A Uniyal,0.00171772115659891,0.000879507475813544,0.244897959183673,0.0537534754402224,0.0,0.0,0.0,0.0,0.0,0.08976926719257991
13,A Zampa,0.00200400801603206,0.00109938434476693,0.267857142857142,0.134383688600556,0.0,0.0,0.0,0.0,0.0,0.12088238827258768
14,AA Bilakhia,0.0249069567706842,0.0151715039577836,0.336038961038961,0.264927843241096,0.0,0.0,0.010183299389002,0.0,0.0,0.18376537047555982
15,AA Chavan,0.00601202404809619,0.00527704485488126,0.467532467532467,0.215013901760889,0.0,0.0,0.00407331975560081,0.00383141762452107,0.0,0.20610723391626307
16,AA Jhunjhunwala,0.0621242484969939,0.0477132805628847,0.426605504587155,0.388816805684274,0.0256410256410256,0.0,0.0407331975560081,0.0191570881226053,0.0317460317460317,0.25906908524294636
17,AA Noffke,0.00314915545376467,0.00197889182058047,0.321428571428571,0.241890639481001,0.0,0.0,0.0020366598778004,0.0,0.0,0.1694936764190639
18,AB Agarkar,0.0455196106498711,0.0393579595426561,0.479464285714285,0.26727422510555,0.0,0.0,0.0264765784114052,0.0191570881226053,0.0158730158730158,0.23323611550886433
19,AB Barath,0.0120240480961923,0.00923482849604221,0.41860465116279,0.376274328081557,0.0,0.0,0.010183299389002,0.00383141762452107,0.0158730158730158,0.24093109504241936
20,AB de Villiers,0.687374749498998,0.766490765171503,0.621981681931723,0.794002607561929,0.666666666666666,0.6,0.592668024439918,0.593869731800766,0.698412698412698,0.6915987131257024
21,AB Dinda,0.0140280561122244,0.00571679859278803,0.222857142857142,0.0436746987951807,0.0,0.0,0.00407331975560081,0.0,0.0,0.08151776754347889
22,AB McDonald,0.0292012596621815,0.0270448548812664,0.511789181692094,0.367315415508185,0.0,0.0,0.0183299389002036,0.0153256704980842,0.0317460317460317,0.2700985635842187
23,Abdur Razzak,0.000286286859433152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43143429716576e-05
24,AC Blizzard,0.0257658173489836,0.0263852242744063,0.565149136577707,0.460744075201905,0.0256410256410256,0.0,0.0448065173116089,0.00766283524904214,0.0317460317460317,0.31785510571963116
25,AC Gilchrist,0.444889779559118,0.454925241864555,0.570234267340376,0.695099629286377,0.333333333333333,0.4,0.488798370672097,0.352490421455938,0.412698412698412,0.5440358267201738
26,AC Thomas,0.0921843687374749,0.0747581354441512,0.451127819548872,0.160317382891891,0.0,0.0,0.0448065173116089,0.0651340996168582,0.0158730158730158,0.20256309490234187
27,AC Voges,0.0406527340395075,0.0397977132805628,0.542457542457542,0.694955646762874,0.0,0.0,0.0325865580448065,0.0114942528735632,0.0317460317460317,0.3802070790317067
28,AD Mascarenhas,0.0223303750357858,0.0173702726473175,0.428571428571428,0.193023843626253,0.0,0.0,0.010183299389002,0.00383141762452107,0.0,0.19027484369052675
29,AD Mathews,0.171199541941024,0.159190853122251,0.518006200810875,0.474603856325865,0.0256410256410256,0.0,0.0916496945010183,0.111111111111111,0.126984126984126,0.3379083273961388
30,AD Nath,0.0077297452046951,0.00439753737906772,0.306122448979591,0.134383688600556,0.0,0.0,0.0020366598778004,0.0,0.0,0.13312064846363167
31,AD Russell,0.09991411394217,0.126209322779243,0.702857142857142,0.617089898053754,0.0769230769230769,0.0,0.10183299389002,0.141762452107279,0.158730158730158,0.4369271146393474
32,AF Milne,0.00314915545376467,0.0015391380826737,0.25,0.0627123880135928,0.0,0.0,0.0,0.0,0.0,0.09412508798503344
33,AG Murtaza,0.00572573718866304,0.00329815303430079,0.306122448979591,0.403151065801668,0.0,0.0,0.00814663951120162,0.0,0.0,0.21396842136302505
34,AG Paunikar,0.0171772115659891,0.0107739665787159,0.344262295081967,0.26339202965709,0.0,0.0,0.0183299389002036,0.0,0.0,0.18551565038090237
35,AJ Finch,0.363298024620669,0.352682497801231,0.541282339707536,0.673598239110288,0.333333333333333,0.0,0.35234215885947,0.226053639846743,0.333333333333333,0.4894578275008046
36,AJ Tye,0.00830231892356141,0.0116534740545294,0.757142857142857,0.47482236638863,0.0,0.0,0.00814663951120162,0.0114942528735632,0.0,0.372429950349275
37,AL Menaria,0.104780990552533,0.0881706244503078,0.468275593616193,0.468590079381068,0.0,0.0,0.0488798370672097,0.0651340996168582,0.0793650793650793,0.3024454484435519
38,AM Nayar,0.16805038648726,0.147757255936675,0.489795918367346,0.361223354958295,0.0,0.0,0.116089613034623,0.0766283524904214,0.0952380952380952,0.29120800097757166
39,AM Rahane,0.744632121385628,0.672163588390501,0.503513780608323,0.782497021051238,0.666666666666666,0.2,0.661914460285132,0.229885057471264,0.682539682539682,0.6210449877411015
40,AN Ahmed,0.0160320641282565,0.0167106420404573,0.571428571428571,0.185693824248041,0.0,0.0,0.010183299389002,0.0191570881226053,0.0,0.23147164235802864
41,AN Ghosh,0.00200400801603206,0.0015391380826737,0.375,0.0940685820203893,0.0,0.0,0.0020366598778004,0.0,0.0,0.14111725500663178
42,Anirudh Singh,0.0194675064414543,0.0138522427440633,0.391304347826087,0.423308619091752,0.0,0.0,0.0122199592668024,0.00383141762452107,0.0158730158730158,0.24782777187797814
43,Ankit Sharma,0.0326367019753793,0.0318821459982409,0.540372670807453,0.487140871177016,0.0256410256410256,0.0,0.0448065173116089,0.0114942528735632,0.0317460317460317,0.3194643262422628
44,Ankit Soni,0.00229029487546521,0.0015391380826737,0.333333333333333,0.0627123880135928,0.0,0.0,0.0,0.00383141762452107,0.0,0.11931203001358963
45,Anureet Singh,0.0120240480961923,0.00725593667546174,0.328903654485049,0.126704620680524,0.0,0.0,0.00407331975560081,0.00383141762452107,0.0,0.138524296062391
46,AP Dole,0.00629831090752934,0.00747581354441512,0.633540372670807,0.456904541241891,0.0,0.0,0.00610997963340122,0.00383141762452107,0.0158730158730158,0.3288535547054367
47,AP Majumdar,0.0217578013169195,0.0191292875989445,0.484230055658627,0.584569045412419,0.0,0.0,0.0142566191446028,0.00766283524904214,0.0317460317460317,0.325098282602119
48,AP Tare,0.0813054680790151,0.0745382585751979,0.509774436090225,0.33745237359695,0.0256410256410256,0.0,0.0835030549898167,0.0421455938697317,0.0317460317460317,0.2766251942131967
49,AR Bawne,0.0,0.000219876868953386,0.428571428571428,0.0268767377201112,0.0,0.0,0.0,0.0,0.0,0.1366564375743571
50,AR Patel,0.141139421700543,0.133245382585752,0.525737420474262,0.387792929961604,0.0,0.0,0.0692464358452138,0.10727969348659,0.111111111111111,0.3057246465927225
51,AS Rajpoot,0.0108789006584597,0.00395778364116095,0.197802197802197,0.0806302131603337,0.0,0.0,0.0020366598778004,0.0,0.0,0.0846120128772443
52,AS Raut,0.0489550529630689,0.0426561125769569,0.483388704318936,0.325880444856348,0.0,0.0,0.0264765784114052,0.0268199233716475,0.0317460317460317,0.2529566645495316
53,AS Yadav,0.0111651875178929,0.0107739665787159,0.525,0.219493358047575,0.0,0.0,0.010183299389002,0.00766283524904214,0.0,0.2261562645202114
54,AT Rayudu,0.561981105067277,0.53122251539138,0.527203956939191,0.618420936493226,0.358974358974359,0.0,0.419551934826883,0.302681992337164,0.555555555555555,0.5083357656977745
55,AUK Pathan,0.00314915545376467,0.00395778364116095,0.642857142857142,0.1209453197405,0.0,0.0,0.00610997963340122,0.0,0.0,0.230121673490435
56,Azhar Mahmood,0.0887489264242771,0.0853122251539138,0.534680753330271,0.496579725495386,0.0512820512820512,0.0,0.0814663951120162,0.0498084291187739,0.0793650793650793,0.336166171017475
57,B Akhil,0.00744345834526195,0.0079155672823219,0.571428571428571,0.161260426320667,0.0,0.0,0.00814663951120162,0.00383141762452107,0.0,0.22177057879352208
58,B Chipli,0.0730031491554537,0.0615655233069481,0.46875,0.358356502934815,0.0256410256410256,0.0,0.0590631364562118,0.0268199233716475,0.0317460317460317,0.2662463781872482
59,B Kumar,0.0455196106498711,0.034740545294635,0.423214285714285,0.128682562417502,0.0,0.0,0.0305498981670061,0.0114942528735632,0.0,0.17414723754559738
60,B Laughlin,0.00229029487546521,0.000879507475813544,0.19047619047619,0.0537534754402224,0.0,0.0,0.0,0.0,0.0,0.07347136526627833
61,B Lee,0.0289149728027483,0.0272647317502198,0.521008403361344,0.175406077752304,0.0,0.0,0.0162932790224032,0.0306513409961685,0.0,0.2160761761405921
62,B Sumanth,0.0105926137990266,0.00769569041336851,0.394736842105263,0.235171455050973,0.0,0.0,0.00610997963340122,0.0,0.0,0.19069938745249707
