batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
DA Warner,0.830518179,0.882585752,0.592793148,0.946344081,1,0.6,0.822810591,0.601532567,0.904761905,0.809336126
V Kohli,1,0.972515391,0.542521874,0.843090858,0.897435897,0.8,0.790224033,0.609195402,1,0.793482975
SK Raina,0.964214143,1,0.578552347,0.778569447,0.820512821,0.2,0.816700611,0.662835249,1,0.790555562
CH Gayle,0.724592041,0.802770449,0.617975626,0.981269694,0.692307692,1,0.623217923,1,0.714285714,0.779508373
RG Sharma,0.937016891,0.925021988,0.550702505,0.739022455,0.846153846,0.2,0.720977597,0.659003831,0.936507937,0.748051504
G Gambhir,0.982536502,0.908531223,0.515833715,0.760648495,0.897435897,0,1,0.218390805,0.904761905,0.728732653
AB de Villiers,0.687374749,0.766490765,0.621981682,0.794002608,0.666666667,0.6,0.592668024,0.593869732,0.698412698,0.692430595
RV Uthappa,0.847122817,0.830694811,0.547007722,0.710072134,0.564102564,0,0.784114053,0.478927203,0.857142857,0.691500838
S Dhawan,0.860005726,0.78298153,0.507867839,0.759587802,0.717948718,0,0.822810591,0.268199234,0.761904762,0.667228208
MS Dhoni,0.766962496,0.782761653,0.569296375,0.669099205,0.435897436,0,0.519348269,0.597701149,0.761904762,0.645930746
SE Marsh,0.547380475,0.547273527,0.557613322,0.969510148,0.538461538,0.2,0.558044807,0.295019157,0.587301587,0.64407299
AM Rahane,0.744632121,0.672163588,0.503513781,0.782497021,0.666666667,0.2,0.66191446,0.229885057,0.682539683,0.626687142
V Sehwag,0.524477526,0.599824099,0.637830255,0.704997505,0.461538462,0.4,0.692464358,0.402298851,0.555555556,0.611363064
BB McCullum,0.624105354,0.605760774,0.541363726,0.718887499,0.384615385,0.4,0.566191446,0.471264368,0.650793651,0.602303803
SR Watson,0.557686802,0.577836412,0.577878766,0.720735375,0.41025641,0.4,0.527494908,0.46743295,0.555555556,0.588723322
DR Smith,0.515888921,0.524406332,0.566912289,0.728420676,0.435897436,0,0.50712831,0.448275862,0.555555556,0.580041838
YK Pathan,0.594045233,0.642480211,0.603220479,0.590479907,0.384615385,0.2,0.49287169,0.570881226,0.571428571,0.576423403
SR Tendulkar,0.584884054,0.513192612,0.489376573,0.80423469,0.358974359,0.2,0.610997963,0.111111111,0.587301587,0.564240942
MEK Hussey,0.471514457,0.43469657,0.514129681,0.916126043,0.41025641,0.2,0.407331976,0.199233716,0.444444444,0.556469124
KD Karthik,0.675350701,0.638302551,0.527179177,0.58226246,0.358974359,0,0.582484725,0.272030651,0.650793651,0.553877907
M Vijay,0.598625823,0.552110818,0.514408632,0.681691802,0.384615385,0.4,0.490835031,0.340996169,0.555555556,0.547826816
Yuvraj Singh,0.586601775,0.569700967,0.541672474,0.600324374,0.307692308,0,0.415478615,0.540229885,0.555555556,0.541264097
AC Gilchrist,0.44488978,0.454925242,0.570234267,0.695099629,0.333333333,0.4,0.488798371,0.352490421,0.412698413,0.524772834
AT Rayudu,0.561981105,0.531222515,0.527203957,0.618420936,0.358974359,0,0.419551935,0.302681992,0.555555556,0.522884359
JH Kallis,0.655596908,0.533641161,0.454012596,0.68662992,0.435897436,0,0.523421589,0.168582375,0.53968254,0.52247471
R Dravid,0.54881191,0.478012313,0.485773872,0.712561315,0.282051282,0,0.553971487,0.107279693,0.507936508,0.51348624
KA Pollard,0.478957916,0.51759015,0.60266257,0.564891434,0.307692308,0,0.323828921,0.563218391,0.412698413,0.509425552
JP Duminy,0.467506441,0.4382146,0.522731247,0.733771757,0.358974359,0,0.254582485,0.298850575,0.428571429,0.503896394
LMP Simmons,0.251073576,0.237247142,0.526684022,1,0.307692308,0.2,0.224032587,0.168582375,0.26984127,0.503819357
ML Hayden,0.239908388,0.243403694,0.565469096,0.929767146,0.205128205,0,0.252545825,0.168582375,0.26984127,0.493360051
MK Pandey,0.543945033,0.48878628,0.5011648,0.628915663,0.256410256,0.2,0.405295316,0.249042146,0.46031746,0.48703061
SPD Smith,0.381334097,0.376649077,0.550744829,0.742578253,0.153846154,0.2,0.307535642,0.164750958,0.396825397,0.483164734
PA Patel,0.589464644,0.51055409,0.483079057,0.537998146,0.256410256,0,0.613034623,0.134099617,0.46031746,0.469826726
AJ Finch,0.363298025,0.352682498,0.54128234,0.673598239,0.333333333,0,0.352342159,0.22605364,0.333333333,0.466300707
DA Miller,0.324649299,0.343667546,0.590182505,0.656380329,0.230769231,0.2,0.219959267,0.295019157,0.317460317,0.459805149
KC Sangakkara,0.407386201,0.370932278,0.507724719,0.666780243,0.256410256,0,0.401221996,0.099616858,0.365079365,0.454964905
DPMD Jayawardene,0.435442313,0.397537379,0.509104562,0.622988997,0.282051282,0.2,0.409368635,0.153256705,0.365079365,0.453499724
F du Plessis,0.298310908,0.284740545,0.532118888,0.756638595,0.205128205,0,0.226069246,0.14559387,0.317460317,0.451903644
GJ Maxwell,0.223017463,0.270228672,0.675274725,0.600572921,0.153846154,0,0.199592668,0.314176245,0.26984127,0.445241533
HM Amla,0.11938162,0.126868953,0.591592618,0.969242354,0.128205128,0.4,0.122199593,0.08045977,0.095238095,0.444035836
KP Pietersen,0.216719153,0.220096746,0.565963061,0.747322624,0.128205128,0.2,0.187372709,0.153256705,0.238095238,0.429480084
S Badrinath,0.356140853,0.316842568,0.496041308,0.595836601,0.282051282,0,0.317718941,0.107279693,0.365079365,0.423468299
SV Samson,0.333237904,0.313544415,0.524586143,0.618164968,0.205128205,0.2,0.228105906,0.218390805,0.301587302,0.421736355
MK Tiwary,0.413111938,0.36235708,0.489117531,0.560669162,0.179487179,0,0.311608961,0.149425287,0.380952381,0.419067976
BJ Hodge,0.329802462,0.307827617,0.520381613,0.597260838,0.153846154,0,0.254582485,0.164750958,0.333333333,0.41593174
CA Lynn,0.074148297,0.084432718,0.632967033,0.860055607,0.076923077,0,0.063136456,0.088122605,0.079365079,0.412658195
A Symonds,0.22330375,0.21416007,0.534479605,0.727165071,0.153846154,0.2,0.152749491,0.157088123,0.222222222,0.41222338
SC Ganguly,0.379330089,0.296613896,0.436005171,0.647441414,0.179487179,0,0.281059063,0.157088123,0.333333333,0.409945036
Q de Kock,0.161752076,0.159630607,0.549722362,0.750481215,0.153846154,0.2,0.187372709,0.08045977,0.174603175,0.403457312
WP Saha,0.348697395,0.342348285,0.547404195,0.536501034,0.179487179,0.2,0.266802444,0.218390805,0.253968254,0.403263222
DJ Hussey,0.314915545,0.290677221,0.51459712,0.582476185,0.128205128,0,0.183299389,0.229885057,0.301587302,0.401319163
KK Nair,0.265674206,0.254617414,0.534214978,0.622465246,0.205128205,0,0.274949084,0.099616858,0.238095238,0.40115128
AD Russell,0.099914114,0.126209323,0.702857143,0.617089898,0.076923077,0,0.101832994,0.141762452,0.158730159,0.395293216
ST Jayasuriya,0.163756084,0.168865435,0.574420344,0.688044486,0.128205128,0.2,0.17311609,0.14559387,0.158730159,0.394662805
TM Dilshan,0.299456055,0.25351803,0.471960704,0.619777572,0.230769231,0,0.283095723,0.091954023,0.26984127,0.392514114
M Vohra,0.214428858,0.210422164,0.546857143,0.62734239,0.076923077,0,0.195519348,0.134099617,0.222222222,0.387448253
SS Iyer,0.187231606,0.177440633,0.528026172,0.677797729,0.153846154,0,0.16089613,0.122605364,0.19047619,0.386185305
RA Tripathi,0.078442599,0.085971856,0.609350649,0.750628889,0.051282051,0,0.091649695,0.0651341,0.111111111,0.384483809
KH Pandya,0.0893215,0.105540897,0.65723414,0.678991269,0.025641026,0,0.093686354,0.076628352,0.111111111,0.380452526
RR Pant,0.108789007,0.124010554,0.634420697,0.631603336,0.076923077,0,0.095723014,0.114942529,0.158730159,0.379300342
CL White,0.221299742,0.21350044,0.53765227,0.579940274,0.153846154,0,0.152749491,0.14559387,0.238095238,0.378099377
MN van Wyk,0.038362439,0.036719437,0.53015873,0.89768304,0.025641026,0,0.036659878,0.003831418,0.047619048,0.374289962
N Rana,0.101345548,0.096086192,0.527565392,0.783008959,0.102564103,0,0.061099796,0.095785441,0.095238095,0.373316573
SS Tiwary,0.317778414,0.280562885,0.492220651,0.535854958,0.179487179,0,0.189409369,0.172413793,0.253968254,0.373256141
BA Stokes,0.06470083,0.069481091,0.596601636,0.772095375,0.051282051,0.2,0.044806517,0.057471264,0.063492063,0.372079886
HH Gibbs,0.239335814,0.194810906,0.453661034,0.661466378,0.153846154,0,0.17107943,0.118773946,0.174603175,0.363909542
KL Rahul,0.169195534,0.15941073,0.524855212,0.649521162,0.102564103,0,0.124236253,0.091954023,0.142857143,0.359975839
KS Williamson,0.092756942,0.090369393,0.541978022,0.736422614,0.076923077,0,0.075356415,0.042145594,0.079365079,0.357436756
RA Jadeja,0.417119954,0.380826737,0.509112287,0.431023238,0,0,0.256619145,0.218390805,0.222222222,0.3570847
