bowler,over
SL Malinga,172
DJ Bravo,145
B Kumar,117
R Vinay Kumar,111
SP Narine,110
Z Khan,103
P Kumar,102
DW Steyn,101
UT Yadav,100
SR Watson,96
RP Singh,91
A Nehra,88
L Balaji,87
IK Pathan,86
JP Faulkner,80
MM Sharma,77
A Mishra,76
JJ Bumrah,71
AB Dinda,71
RA Jadeja,68
M Morkel,65
CH Morris,62
R Ashwin,61
JH Kallis,60
PP Chawla,57
I Sharma,57
JA Morkel,55
B Lee,53
MJ McClenaghan,52
SK Trivedi,52
MM Patel,52
DS Kulkarni,50
KA Pollard,50
PP Ojha,49
JD Unadkat,48
Sandeep Sharma,47
M Muralitharan,46
RJ Harris,46
MG Johnson,45
KK Cooper,44
Harbhajan Singh,42
NLTC Perera,41
DE Bollinger,40
R Bhatia,39
AR Patel,37
Imran Tahir,37
Azhar Mahmood,36
DP Nannes,36
WD Parnell,36
SK Warne,36
MA Starc,34
VR Aaron,33
AB Agarkar,31
A Kumble,30
DL Vettori,29
DT Christian,29
Shakib Al Hasan,29
P Awana,29
A Singh,28
Mustafizur Rahman,28
TG Southee,27
SW Tait,27
AD Mathews,27
YS Chahal,27
S Aravind,26
R Sharma,26
M Kartik,26
AD Russell,26
CH Gayle,25
Mohammed Shami,24
S Sreesanth,24
NM Coulter-Nile,24
SK Raina,24
HV Patel,24
Harmeet Singh,23
PJ Sangwan,23
SB Jakati,23
Anureet Singh,22
TA Boult,21
PJ Cummins,20
MS Gony,20
S Kaul,20
Yuvraj Singh,20
Iqbal Abdulla,20
S Nadeem,19
AC Thomas,19
Basil Thampi,18
VRV Singh,18
A Ashish Reddy,18
J Botha,18
Sohail Tanvir,18
KW Richardson,18
JR Hopes,18
MC Henriques,17
MF Maharoof,17
J Theron,17
RE van der Merwe,16
GB Hogg,16
AN Ahmed,16
BW Hilfenhaus,16
HH Pandya,15
R Dhawan,15
YK Pathan,15
R McLaren,14
CRD Fernando,14
A Symonds,14
LR Shukla,14
CR Woakes,14
P Negi,13
A Mithun,13
MR Marsh,13
GD McGrath,13
JDP Oram,13
PV Tambe,13
BA Stokes,12
DR Smith,12
VY Mahesh,12
Kuldeep Yadav,12
SB Styris,11
JP Duminy,11
D Wiese,11
BA Bhatt,11
Mohammad Asif,10
YA Abdulla,10
KV Sharma,10
CJ Jordan,10
AJ Tye,10
STR Binny,10
ST Jayasuriya,10
JE Taylor,9
Joginder Sharma,9
CJ Anderson,9
B Akhil,9
M Ashwin,9
DJG Sammy,9
R Rampaul,9
SE Bond,9
BAW Mendis,9
DJ Hussey,9
BE Hendricks,9
SJ Srivastava,9
MN Samuels,9
FH Edwards,9
Umar Gul,8
RG Sharma,8
K Rabada,8
A Zampa,8
WPUJC Vaas,8
Pankaj Singh,8
BCJ Cutting,8
BB Sran,8
CK Langeveldt,8
T Thushara,8
SN Thakur,7
Anand Rajan,7
RS Bopara,7
TS Mills,7
V Pratap Singh,7
RR Raje,7
P Parameswaran,7
AF Milne,6
Shahid Afridi,6
IC Pandey,6
Bipul Sharma,6
MP Stoinis,6
Mohammed Siraj,6
KH Pandya,6
Kamran Khan,6
M Ntini,6
Jaskaran Singh,6
S Ladda,6
CR Brathwaite,6
DP Vijaykumar,5
AB McDonald,5
V Kohli,5
M de Lange,5
Ankit Sharma,5
R Shukla,5
TM Dilshan,5
JD Ryder,5
AD Mascarenhas,5
AS Rajpoot,5
Rashid Khan,5
KMDN Kulasekara,5
AM Salvi,5
R Sathish,5
RR Powar,4
AG Murtaza,4
AL Menaria,4
PD Collingwood,4
PC Valthaty,4
P Suyal,4
S Kaushik,4
SB Bangar,4
KJ Abbott,4
Karanveer Singh,4
JEC Franklin,4
JO Holder,4
Shivam Sharma,4
TL Suman,4
Gagandeep Singh,4
K Santokie,4
GS Sandhu,4
GJ Maxwell,4
TP Sudhindra,4
KP Pietersen,4
JJ van der Wath,4
SM Harwood,4
Y Venugopal Rao,4
V Sehwag,4
LJ Wright,4
SMSM Senanayake,4
A Choudhary,4
WA Mota,4
A Flintoff,4
T Henderson,3
T Shamsi,3
J Syed Mohammad,3
RJ Peterson,3
BJ Hodge,3
DJ Hooda,3
TM Head,3
DNT Zoysa,3
AUK Pathan,3
Shoaib Malik,3
B Laughlin,3
KC Cariappa,3
SM Boland,3
S Randiv,3
SS Sarkar,3
L Ablish,3
S Narwal,3
P Sahu,3
AA Chavan,3
KAJ Roach,3
P Amarnath,3
A Uniyal,3
Shoaib Ahmed,3
RG More,3
S Gopal,2
SB Joshi,2
RV Gomez,2
S Tyagi,2
VS Malik,2
T Natarajan,2
AA Noffke,2
SC Ganguly,2
SB Wagh,2
ND Doshi,2
MA Khote,2
AJ Finch,2
AP Dole,2
KP Appanna,2
LH Ferguson,2
FY Fazal,2
Mashrafe Mortaza,2
LMP Simmons,2
MK Tiwary,2
AS Raut,2
MJ Henry,2
MG Neser,2
CJ McKay,2
JW Hastings,2
Avesh Khan,1
LPC Silva,1
SM Pollock,1
SPD Smith,1
AA Jhunjhunwala,1
A Chandila,1
M Manhas,1
Sachin Baby,1
Ankit Soni,1
RD Chahar,1
AC Gilchrist,1
B Geeves,1
C de Grandhomme,1
CK Kapugedera,1
Washington Sundar,1
D Kalyankrishna,1
D Salunkhe,1
D du Preez,1
DAJ Bracewell,1
VS Yeligati,1
DJ Harris,1
DJ Muthuswami,1
A Nel,1
Tejas Baroka,1
F du Plessis,1
J Suchith,1
J Yadav,1
JM Kemp,1
SR Tendulkar,1
C Nanda,1
SD Chitnis,1
RS Gavaskar,1
S Rana,1
