bowler,extra_runs
SL Malinga,268
P Kumar,236
UT Yadav,186
RP Singh,181
Z Khan,169
I Sharma,167
B Kumar,166
DW Steyn,166
SR Watson,162
Harbhajan Singh,158
DJ Bravo,157
JA Morkel,153
R Ashwin,143
IK Pathan,142
PP Ojha,138
L Balaji,131
M Morkel,131
DS Kulkarni,127
JH Kallis,126
M Muralitharan,123
PP Chawla,117
AB Dinda,116
A Nehra,115
A Mishra,114
R Vinay Kumar,114
SW Tait,111
S Sreesanth,109
JP Faulkner,105
SK Trivedi,104
VR Aaron,99
MG Johnson,98
KA Pollard,97
RJ Harris,87
SP Narine,86
B Lee,84
Sandeep Sharma,84
MJ McClenaghan,83
RA Jadeja,83
DP Nannes,81
PJ Sangwan,81
WD Parnell,80
M Kartik,77
CH Morris,77
Mohammed Shami,76
CH Gayle,75
R Bhatia,73
YK Pathan,71
AR Patel,71
JJ Bumrah,69
MA Starc,69
YS Chahal,68
MS Gony,67
KK Cooper,64
MM Patel,63
A Kumble,62
AB Agarkar,62
SK Warne,57
DT Christian,56
HV Patel,53
DE Bollinger,53
SB Jakati,52
Shakib Al Hasan,51
S Aravind,50
R Dhawan,49
Harmeet Singh,48
AN Ahmed,48
PJ Cummins,48
AD Russell,47
TG Southee,47
P Awana,46
KV Sharma,46
JP Duminy,45
MM Sharma,45
MC Henriques,43
NM Coulter-Nile,43
SK Raina,43
Iqbal Abdulla,42
AD Mathews,41
Imran Tahir,40
DR Smith,38
R McLaren,38
A Symonds,38
MF Maharoof,38
RR Powar,37
S Nadeem,37
J Botha,37
A Singh,36
BW Hilfenhaus,36
JD Unadkat,35
SJ Srivastava,35
Anureet Singh,35
NLTC Perera,33
VY Mahesh,33
GB Hogg,33
Umar Gul,32
PV Tambe,32
S Kaul,32
TA Boult,30
BB Sran,30
LR Shukla,29
Sohail Tanvir,29
A Mithun,29
RE van der Merwe,29
P Negi,28
HH Pandya,27
CRD Fernando,27
CJ Jordan,27
Yuvraj Singh,26
KH Pandya,26
Azhar Mahmood,26
AS Rajpoot,25
IC Pandey,25
RS Bopara,25
RG Sharma,24
Bipul Sharma,24
K Rabada,24
DL Vettori,24
J Theron,23
JR Hopes,23
BA Stokes,22
AC Thomas,22
R Sharma,21
ST Jayasuriya,21
CK Langeveldt,21
SN Thakur,21
AA Chavan,21
CJ Anderson,21
CR Woakes,21
Kamran Khan,20
R Rampaul,20
S Tyagi,20
JDP Oram,20
S Badree,20
Pankaj Singh,19
KW Richardson,19
JO Holder,19
MP Stoinis,19
R Shukla,19
M Ntini,19
STR Binny,19
Joginder Sharma,19
D Wiese,19
BA Bhatt,19
AF Milne,19
WPUJC Vaas,19
VRV Singh,18
Kuldeep Yadav,18
Anand Rajan,18
DJ Hussey,18
MR Marsh,18
AG Murtaza,18
Mohammad Asif,18
GJ Maxwell,17
Shahid Afridi,17
Mustafizur Rahman,17
Ankit Sharma,17
JD Ryder,17
YA Abdulla,17
V Kohli,17
FH Edwards,16
Rashid Khan,16
SB Wagh,16
BJ Hodge,16
JE Taylor,15
BE Hendricks,15
AM Salvi,15
GD McGrath,14
Basil Thampi,14
M de Lange,14
A Ashish Reddy,14
RR Raje,14
P Suyal,14
VS Malik,14
KP Appanna,13
S Kaushik,13
DP Vijaykumar,13
KP Pietersen,13
CR Brathwaite,13
TS Mills,13
DJG Sammy,13
SM Harwood,13
DJ Hooda,12
KJ Abbott,12
T Thushara,12
Jaskaran Singh,12
LH Ferguson,12
AM Nayar,12
AD Mascarenhas,12
SC Ganguly,11
Karanveer Singh,11
B Akhil,11
BAW Mendis,11
V Pratap Singh,11
A Zampa,11
M Ashwin,11
D Salunkhe,10
SM Pollock,10
J Suchith,10
Mohammad Hafeez,10
Shoaib Malik,10
Y Venugopal Rao,9
JEC Franklin,9
AP Dole,9
SB Bangar,9
JJ van der Wath,9
JDS Neesham,8
SB Styris,8
S Narwal,8
SD Chitnis,8
KC Cariappa,8
P Sahu,8
VS Yeligati,8
PC Valthaty,8
Y Nagar,8
S Dhawan,7
A Choudhary,7
J Syed Mohammad,7
C de Grandhomme,7
AJ Tye,7
TM Dilshan,7
T Natarajan,7
SE Bond,7
DL Chahar,7
DJ Muthuswami,7
KMDN Kulasekara,7
P Parameswaran,7
JM Kemp,7
MN Samuels,7
Washington Sundar,6
AA Noffke,6
R Sathish,6
RG More,6
S Randiv,6
RN ten Doeschate,6
AUK Pathan,6
Abdur Razzak,6
Mohammed Siraj,5
P Amarnath,5
SMSM Senanayake,5
TP Sudhindra,5
MJ Clarke,5
Mashrafe Mortaza,5
CL White,5
RD Chahar,5
LJ Wright,5
Parvez Rasool,5
AL Menaria,4
DNT Zoysa,4
AB McDonald,4
AA Jhunjhunwala,4
KAJ Roach,4
J Yadav,4
NB Singh,4
BCJ Cutting,4
S Ladda,4
R Tewatia,4
L Ablish,4
T Shamsi,4
Ankit Soni,4
Gurkeerat Singh,4
K Santokie,4
B Laughlin,4
GS Sandhu,4
Shoaib Akhtar,4
WA Mota,4
V Sehwag,3
C Nanda,3
Shoaib Ahmed,3
TL Suman,3
SM Boland,3
D Kalyankrishna,3
JW Hastings,3
A Chandila,3
A Uniyal,3
B Stanlake,2
AC Voges,2
RV Gomez,2
GH Vihari,2
