,bowler,over
0,P Kumar,262
1,Z Khan,217
2,A Nehra,183
3,DW Steyn,177
4,B Kumar,175
5,I Sharma,167
6,RP Singh,167
7,SL Malinga,166
8,IK Pathan,153
9,M Morkel,151
10,JA Morkel,150
11,AB Dinda,135
12,Sandeep Sharma,132
13,SR Watson,128
14,DS Kulkarni,126
15,UT Yadav,124
16,R Vinay Kumar,124
17,R Ashwin,117
18,MM Sharma,116
19,MM Patel,109
20,MG Johnson,97
21,S Sreesanth,95
22,Harbhajan Singh,91
23,JH Kallis,86
24,SP Narine,83
25,MS Gony,81
26,B Lee,81
27,L Balaji,75
28,MJ McClenaghan,75
29,S Aravind,71
30,RJ Harris,71
31,CH Morris,67
32,JD Unadkat,64
33,JP Faulkner,62
34,TG Southee,60
35,YK Pathan,59
36,DP Nannes,57
37,JJ Bumrah,57
38,DE Bollinger,54
39,PJ Sangwan,53
40,Mohammed Shami,52
41,MA Starc,49
42,NM Coulter-Nile,48
43,VR Aaron,48
44,Shakib Al Hasan,47
45,Iqbal Abdulla,46
46,WD Parnell,45
47,P Awana,45
48,IC Pandey,44
49,A Singh,44
50,BW Hilfenhaus,40
51,PP Ojha,40
52,SW Tait,38
53,GD McGrath,37
54,S Nadeem,36
55,DJ Bravo,35
56,SM Pollock,34
57,WPUJC Vaas,33
58,J Botha,32
59,HV Patel,32
60,AD Russell,32
61,NLTC Perera,30
62,M Kartik,30
63,AC Thomas,30
64,AB Agarkar,30
65,MC Henriques,29
66,TA Boult,28
67,DT Christian,28
68,YS Chahal,28
69,MF Maharoof,28
70,AD Mascarenhas,28
71,S Tyagi,28
72,Anureet Singh,27
73,S Kaul,27
74,KW Richardson,27
75,AR Patel,27
76,KV Sharma,26
77,M Ntini,26
78,S Badree,26
79,PP Chawla,26
80,R Rampaul,26
81,JP Duminy,25
82,Pankaj Singh,25
83,M Muralitharan,25
84,R McLaren,25
85,BB Sran,24
86,A Chandila,24
87,Azhar Mahmood,24
88,AA Chavan,24
89,AN Ahmed,23
90,Ankit Sharma,23
91,STR Binny,23
92,RR Powar,22
93,SJ Srivastava,22
94,Sohail Tanvir,22
95,SMSM Senanayake,21
96,SK Trivedi,21
97,VS Malik,21
98,PJ Cummins,21
99,AD Mathews,21
100,CH Gayle,20
101,A Mishra,20
102,A Symonds,19
103,JDP Oram,18
104,A Kumble,18
105,Washington Sundar,18
106,Basil Thampi,17
107,DP Vijaykumar,17
108,Mustafizur Rahman,17
109,BA Bhatt,16
110,JO Holder,16
111,V Pratap Singh,16
112,KK Cooper,16
113,SB Jakati,16
114,SN Thakur,16
115,DL Vettori,15
116,Mohammad Asif,15
117,R Sharma,15
118,SE Bond,15
119,SB Wagh,15
120,RA Jadeja,14
121,Kamran Khan,14
122,J Yadav,14
123,CK Langeveldt,14
124,YA Abdulla,14
125,Harmeet Singh,14
126,CRD Fernando,13
127,PV Tambe,13
128,Bipul Sharma,13
129,R Dhawan,13
130,AG Murtaza,13
131,BA Stokes,13
132,FH Edwards,13
133,VY Mahesh,13
134,MN Samuels,13
135,VRV Singh,13
136,MR Marsh,12
137,CJ Anderson,12
138,K Rabada,12
139,DJ Muthuswami,12
140,CR Woakes,12
141,KMDN Kulasekara,11
142,Parvez Rasool,11
143,DR Smith,11
144,AM Salvi,11
145,DL Chahar,11
146,A Mithun,11
