match_id,bowler,over,total_runs
1,A Choudhary,2,16
1,A Choudhary,10,4
1,A Choudhary,13,18
1,A Choudhary,18,17
1,A Nehra,1,11
1,A Nehra,3,16
1,A Nehra,11,13
1,A Nehra,18,2
1,B Kumar,2,1
1,B Kumar,4,15
1,B Kumar,17,3
1,B Kumar,19,9
1,BCJ Cutting,5,5
1,BCJ Cutting,9,11
1,BCJ Cutting,16,12
1,BCJ Cutting,20,7
1,Bipul Sharma,14,4
1,DJ Hooda,7,7
1,MC Henriques,10,13
1,MC Henriques,12,7
1,Rashid Khan,6,6
1,Rashid Khan,8,13
1,Rashid Khan,13,8
1,Rashid Khan,15,9
1,S Aravind,5,9
1,S Aravind,12,8
1,S Aravind,15,19
1,SR Watson,6,17
1,SR Watson,14,8
1,SR Watson,20,16
1,STR Binny,11,10
1,TM Head,8,11
1,TS Mills,1,7
1,TS Mills,3,6
1,TS Mills,17,7
1,TS Mills,19,12
1,YS Chahal,4,4
1,YS Chahal,7,5
1,YS Chahal,9,9
1,YS Chahal,16,4
2,A Zampa,9,10
2,A Zampa,11,10
2,A Zampa,16,7
2,AB Dinda,1,11
2,AB Dinda,3,9
2,AB Dinda,18,8
2,AB Dinda,20,30
2,BA Stokes,4,13
2,BA Stokes,8,3
2,BA Stokes,13,11
2,BA Stokes,19,9
2,DL Chahar,2,8
2,DL Chahar,6,13
2,HH Pandya,2,15
2,HH Pandya,7,4
2,HH Pandya,9,9
2,HH Pandya,16,9
2,Imran Tahir,5,7
2,Imran Tahir,7,2
2,Imran Tahir,15,9
2,Imran Tahir,17,10
2,JJ Bumrah,5,4
2,JJ Bumrah,12,8
2,JJ Bumrah,17,10
2,JJ Bumrah,19,7
2,KA Pollard,14,15
2,KA Pollard,20,15
2,KH Pandya,8,10
2,KH Pandya,10,11
2,MJ McClenaghan,4,4
2,MJ McClenaghan,6,16
2,MJ McClenaghan,13,9
2,MJ McClenaghan,18,7
2,R Bhatia,10,6
2,R Bhatia,12,3
2,R Bhatia,14,5
2,TG Southee,1,8
2,TG Southee,3,12
2,TG Southee,11,4
2,TG Southee,15,10
3,CR Woakes,6,12
3,CR Woakes,8,8
3,CR Woakes,19,16
3,DR Smith,7,23
3,DS Kulkarni,2,13
3,DS Kulkarni,5,7
3,DS Kulkarni,15,22
3,Kuldeep Yadav,7,12
3,Kuldeep Yadav,9,4
3,Kuldeep Yadav,11,4
3,Kuldeep Yadav,16,5
3,MS Gony,3,17
3,MS Gony,11,15
3,P Kumar,1,7
3,P Kumar,13,6
3,PP Chawla,2,8
3,PP Chawla,4,7
3,PP Chawla,14,7
3,PP Chawla,17,11
3,S Kaushik,4,9
3,S Kaushik,6,20
3,S Kaushik,9,6
3,S Kaushik,14,9
3,SB Jakati,8,7
3,SB Jakati,10,7
3,SB Jakati,12,16
3,SP Narine,3,6
3,SP Narine,5,11
3,SP Narine,13,7
3,SP Narine,15,9
3,TA Boult,1,8
3,TA Boult,12,7
3,TA Boult,18,12
3,TA Boult,20,14
3,YK Pathan,10,15
4,AB Dinda,1,6
4,AB Dinda,3,8
4,AB Dinda,18,12
4,AR Patel,6,3
4,AR Patel,8,6
4,AR Patel,14,14
4,AR Patel,18,5
4,BA Stokes,5,10
4,BA Stokes,7,3
4,BA Stokes,15,12
4,BA Stokes,19,7
4,DT Christian,2,13
4,DT Christian,4,11
4,Imran Tahir,6,8
4,Imran Tahir,8,3
4,Imran Tahir,12,3
4,Imran Tahir,16,15
4,MM Sharma,2,2
4,MM Sharma,4,13
4,MM Sharma,17,5
4,MM Sharma,19,14
4,MP Stoinis,9,5
4,MP Stoinis,11,8
4,MP Stoinis,16,15
4,R Bhatia,10,7
4,R Bhatia,14,13
4,RD Chahar,9,4
4,RD Chahar,11,12
4,RD Chahar,13,15
4,RD Chahar,17,2
4,Sandeep Sharma,1,1
4,Sandeep Sharma,3,4
4,Sandeep Sharma,5,12
4,Sandeep Sharma,20,16
4,Swapnil Singh,10,10
4,Swapnil Singh,12,4
4,T Natarajan,7,7
4,T Natarajan,13,9
4,T Natarajan,15,10
5,A Mishra,8,8
5,A Mishra,13,24
5,B Stanlake,1,9
5,B Stanlake,3,8
5,B Stanlake,6,6
5,B Stanlake,11,6
5,CH Morris,2,9
5,CH Morris,4,4
5,CH Morris,18,2
5,CH Morris,20,7
5,CR Brathwaite,14,16
5,CR Brathwaite,16,13
5,Iqbal Abdulla,4,11
5,Iqbal Abdulla,8,12
5,Iqbal Abdulla,13,13
5,P Negi,20,3
5,PJ Cummins,3,7
5,PJ Cummins,6,9
5,PJ Cummins,12,8
5,PJ Cummins,19,6
5,S Nadeem,5,2
5,S Nadeem,7,4
5,S Nadeem,9,2
5,S Nadeem,11,5
5,SR Watson,12,9
5,SR Watson,14,5
5,SR Watson,17,5
5,SR Watson,19,2
5,TS Mills,5,5
5,TS Mills,10,9
5,TS Mills,16,8
5,TS Mills,18,11
5,YS Chahal,2,4
5,YS Chahal,7,10
5,YS Chahal,9,5
5,YS Chahal,15,1
5,Z Khan,1,10
5,Z Khan,10,6
5,Z Khan,15,7
5,Z Khan,17,8
6,A Nehra,4,7
6,A Nehra,8,8
6,A Nehra,14,9
6,A Nehra,18,4
6,B Kumar,2,10
6,B Kumar,6,5
6,B Kumar,17,3
6,B Kumar,20,5
6,BCJ Cutting,11,8
6,BCJ Cutting,16,8
6,BCJ Cutting,19,13
6,Basil Thampi,10,13
6,Basil Thampi,12,8
6,Bipul Sharma,1,3
6,Bipul Sharma,3,12
6,Bipul Sharma,10,3
6,Bipul Sharma,15,6
6,DS Kulkarni,6,11
6,DS Kulkarni,14,6
6,MC Henriques,13,12
6,P Kumar,2,8
6,P Kumar,4,8
6,Rashid Khan,5,3
6,Rashid Khan,7,6
6,Rashid Khan,9,3
6,Rashid Khan,12,7
6,S Kaushik,7,8
6,S Kaushik,9,4
6,S Kaushik,11,12
6,S Kaushik,15,5
6,SK Raina,1,3
6,SK Raina,3,21
6,Tejas Baroka,5,8
6,Tejas Baroka,8,5
6,Tejas Baroka,13,11
6,Tejas Baroka,16,9
7,AS Rajpoot,9,1
7,AS Rajpoot,11,9
7,AS Rajpoot,13,8
7,AS Rajpoot,19,19
7,CR Woakes,2,6
7,CR Woakes,4,12
7,CR Woakes,15,7
7,CR Woakes,17,11
7,Harbhajan Singh,9,5
7,Harbhajan Singh,11,3
7,Harbhajan Singh,13,9
7,Harbhajan Singh,15,10
7,JJ Bumrah,3,15
7,JJ Bumrah,8,2
7,JJ Bumrah,16,14
7,JJ Bumrah,18,8
7,KH Pandya,5,4
7,KH Pandya,7,6
7,KH Pandya,10,7
7,KH Pandya,12,7
7,Kuldeep Yadav,6,5
7,Kuldeep Yadav,8,13
7,Kuldeep Yadav,12,14
7,Kuldeep Yadav,14,3
7,MJ McClenaghan,2,9
7,MJ McClenaghan,6,11
7,MJ McClenaghan,14,9
7,MJ McClenaghan,20,23
7,SL Malinga,1,10
7,SL Malinga,4,10
7,SL Malinga,17,5
7,SL Malinga,19,11
7,SP Narine,5,7
7,SP Narine,7,9
7,SP Narine,10,2
7,SP Narine,16,4
7,TA Boult,1,9
7,TA Boult,3,10
7,TA Boult,18,19
7,TA Boult,20,12
8,AR Patel,1,2
8,AR Patel,11,6
8,AR Patel,13,3
8,AR Patel,15,1
8,B Stanlake,1,6
8,B Stanlake,3,12
8,B Stanlake,5,7
8,B Stanlake,14,16
8,Iqbal Abdulla,2,8
8,Iqbal Abdulla,8,11
8,MM Sharma,3,11
8,MM Sharma,8,3
8,MM Sharma,18,19
8,MM Sharma,20,14
8,MP Stoinis,10,6
