batsman,no of balls,batsman_runs,SRR
DL Chahar,6,14,233.3333333
Umar Gul,19,39,205.2631579
RS Sodhi,2,4,200
BCJ Cutting,70,124,177.1428571
AJ Tye,30,53,176.6666667
Shahid Afridi,46,81,176.0869565
I Malhotra,4,7,175
SN Khan,103,177,171.8446602
CR Brathwaite,56,95,169.6428571
LJ Wright,63,106,168.2539683
KMDN Kulasekara,3,5,166.6666667
Shivam Sharma,3,5,166.6666667
KK Cooper,70,116,165.7142857
Kamran Akmal,78,128,164.1025641
AD Russell,350,574,164
BJ Haddin,11,18,163.6363636
KJ Abbott,8,13,162.5
ER Dwivedi,15,24,160
CH Morris,275,439,159.6363636
GJ Maxwell,780,1229,157.5641026
KH Pandya,313,480,153.3546326
Bipul Sharma,124,187,150.8064516
AUK Pathan,26,39,150
Harmeet Singh,12,18,150
RD Chahar,2,3,150
TG Southee,36,54,150
V Sehwag,1833,2728,148.8270595
LPC Silva,27,40,148.1481481
RR Pant,381,564,148.0314961
AP Dole,23,34,147.826087
CA Lynn,260,384,147.6923077
P Sahu,13,19,146.1538462
R Tewatia,24,35,145.8333333
J Suchith,33,48,145.4545455
AB de Villiers,2402,3486,145.1290591
CH Gayle,2532,3651,144.1943128
JJ Roy,41,59,143.902439
A Ashish Reddy,196,280,142.8571429
MF Maharoof,124,177,142.7419355
Misbah-ul-Haq,82,117,142.6829268
RA Tripathi,275,391,142.1818182
JC Buttler,375,528,140.8
YK Pathan,2076,2922,140.7514451
KA Pollard,1674,2354,140.6212664
SP Narine,193,271,140.4145078
MJ Lumb,198,278,140.4040404
MJ McClenaghan,45,63,140
BA Stokes,227,316,139.2070485
Sunny Singh,31,43,138.7096774
DA Warner,2902,4014,138.3184011
HM Amla,418,577,138.0382775
DA Miller,1135,1563,137.7092511
D Salunkhe,24,33,137.5
PJ Cummins,56,77,137.5
RN ten Doeschate,238,326,136.9747899
C de Grandhomme,92,126,136.9565217
JA Morkel,712,975,136.9382022
TM Head,151,205,135.7615894
M Morkel,93,126,135.483871
Harbhajan Singh,591,799,135.1945854
D Wiese,94,127,135.106383
SK Raina,3369,4548,134.9955476
SR Watson,1949,2628,134.8383787
DJ Hooda,277,373,134.6570397
ST Jayasuriya,573,768,134.0314136
AN Ahmed,27,36,133.3333333
B Akhil,57,76,133.3333333
CRD Fernando,3,4,133.3333333
DAJ Bracewell,9,12,133.3333333
K Upadhyay,9,12,133.3333333
VRV Singh,3,4,133.3333333
AC Gilchrist,1555,2069,133.0546624
MS Dhoni,2680,3560,132.8358209
JR Hopes,314,417,132.8025478
HH Pandya,306,406,132.6797386
DR Smith,1803,2385,132.2795341
BJ Rohrer,146,193,132.1917808
MJ Guptill,143,189,132.1678322
KP Pietersen,758,1001,132.0580475
ML Hayden,839,1107,131.942789
AC Blizzard,91,120,131.8681319
V Shankar,77,101,131.1688312
A Mithun,26,34,130.7692308
SW Billings,173,226,130.6358382
KM Jadhav,684,893,130.5555556
MS Gony,76,99,130.2631579
SE Marsh,1913,2489,130.1097752
NLTC Perera,326,424,130.0613497
JP Faulkner,406,527,129.8029557
JD Ryder,466,604,129.6137339
Sachin Baby,106,137,129.245283
SPD Smith,1333,1713,128.5071268
RG Sharma,3274,4207,128.4972511
Q de Kock,566,726,128.2685512
WP Saha,1219,1557,127.7276456
PD Collingwood,159,203,127.672956
RV Uthappa,2960,3778,127.6351351
M Vohra,750,957,127.6
S Narwal,29,37,127.5862069
TR Birt,59,75,127.1186441
SA Yadav,479,608,126.9311065
SM Pollock,116,147,126.7241379
V Kohli,3494,4423,126.5884373
AC Voges,143,181,126.5734266
KS Williamson,325,411,126.4615385
Yuvraj Singh,2050,2591,126.3902439
BB McCullum,2181,2755,126.3182027
AJ Finch,1270,1604,126.2992126
SM Katich,191,241,126.1780105
Ankit Sharma,69,87,126.0869565
S Vidyut,115,145,126.0869565
MC Henriques,769,969,126.0078023
CJ Anderson,414,521,125.8454106
CL White,774,971,125.4521964
Ishan Kishan,255,319,125.0980392
A Choudhary,20,25,125
OA Shah,405,506,124.9382716
Azhar Mahmood,311,388,124.7588424
A Symonds,781,974,124.7119078
Shakib Al Hasan,401,500,124.6882793
KK Nair,929,1158,124.6501615
P Negi,284,353,124.2957746
F du Plessis,1043,1295,124.1610738
MV Boucher,318,394,123.8993711
STR Binny,619,766,123.7479806
MN van Wyk,135,167,123.7037037
HV Patel,38,47,123.6842105
SS Iyer,655,807,123.2061069
N Rana,355,437,123.0985915
AT Rayudu,1964,2416,123.0142566
KD Karthik,2360,2903,123.0084746
LMP Simmons,878,1079,122.8929385
AR Patel,494,606,122.6720648
SP Jackson,31,38,122.5806452
AS Yadav,40,49,122.5
KL Rahul,592,725,122.4662162
SV Samson,1165,1426,122.4034335
DJ Bravo,1032,1262,122.2868217
DNT Zoysa,9,11,122.2222222
Rashid Khan,9,11,122.2222222
Gurkeerat Singh,280,342,122.1428571
JP Duminy,1634,1993,121.9706242
B Lee,102,124,121.5686275
BJ Hodge,1153,1400,121.4223764
UT Khawaja,105,127,120.952381
AD Mathews,599,724,120.8681135
G Gambhir,3433,4132,120.3612001
LA Pomersbach,251,302,120.3187251
SA Asnodkar,352,423,120.1704545
GJ Bailey,552,663,120.1086957
DJ Hussey,1101,1322,120.0726612
LRPL Taylor,847,1017,120.0708383
M Vijay,2092,2511,120.0286807
DM Bravo,5,6,120
Joginder Sharma,30,36,120
MEK Hussey,1648,1977,119.9635922
MP Stoinis,136,163,119.8529412
