batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes
DL Chahar,6,14,233.3333333,14,0,0,0,2
Umar Gul,19,39,205.2631579,9.75,0,0,2,5
RS Sodhi,2,4,200,4,0,0,1,0
BCJ Cutting,70,124,177.1428571,15.5,0,0,9,10
AJ Tye,30,53,176.6666667,17.66666667,0,0,4,3
Shahid Afridi,46,81,176.0869565,9,0,0,7,6
I Malhotra,4,7,175,7,0,0,1,0
SN Khan,103,177,171.8446602,16.09090909,0,0,19,6
CR Brathwaite,56,95,169.6428571,11.875,0,0,8,8
LJ Wright,63,106,168.2539683,21.2,0,0,15,3
KMDN Kulasekara,3,5,166.6666667,5,0,0,1,0
Shivam Sharma,3,5,166.6666667,2.5,0,0,1,0
KK Cooper,70,116,165.7142857,9.666666667,0,0,9,8
Kamran Akmal,78,128,164.1025641,21.33333333,1,0,12,8
AD Russell,350,574,164,22.96,3,0,50,37
BJ Haddin,11,18,163.6363636,18,0,0,2,1
KJ Abbott,8,13,162.5,4.333333333,0,0,0,1
ER Dwivedi,15,24,160,12,0,0,3,2
CH Morris,275,439,159.6363636,15.67857143,2,0,33,22
GJ Maxwell,780,1229,157.5641026,22.34545455,6,0,98,82
KH Pandya,313,480,153.3546326,25.26315789,1,0,46,20
Bipul Sharma,124,187,150.8064516,11,0,0,11,9
TG Southee,36,54,150,6.75,0,0,3,3
AUK Pathan,26,39,150,5.571428571,0,0,5,2
Harmeet Singh,12,18,150,4.5,0,0,3,0
RD Chahar,2,3,150,3,0,0,0,0
V Sehwag,1833,2728,148.8270595,26.23076923,18,2,340,105
LPC Silva,27,40,148.1481481,13.33333333,0,0,5,1
RR Pant,381,564,148.0314961,23.5,3,0,47,30
AP Dole,23,34,147.826087,17,0,0,3,1
CA Lynn,260,384,147.6923077,32,3,0,31,23
P Sahu,13,19,146.1538462,9.5,0,0,1,1
R Tewatia,24,35,145.8333333,11.66666667,0,0,4,1
J Suchith,33,48,145.4545455,9.6,0,0,4,2
AB de Villiers,2402,3486,145.1290591,29.54237288,26,3,291,155
CH Gayle,2532,3651,144.1943128,36.51,27,5,306,261
JJ Roy,41,59,143.902439,19.66666667,0,0,9,1
A Ashish Reddy,196,280,142.8571429,12.17391304,0,0,17,15
MF Maharoof,124,177,142.7419355,12.64285714,0,0,12,9
Misbah-ul-Haq,82,117,142.6829268,14.625,0,0,10,6
RA Tripathi,275,391,142.1818182,27.92857143,2,0,45,17
JC Buttler,375,528,140.8,22,1,0,50,26
YK Pathan,2076,2922,140.7514451,21.96992481,15,1,242,149
KA Pollard,1674,2354,140.6212664,21.01785714,12,0,159,147
SP Narine,193,271,140.4145078,9.033333333,1,0,36,12
MJ Lumb,198,278,140.4040404,23.16666667,1,0,47,6
MJ McClenaghan,45,63,140,5.25,0,0,2,6
BA Stokes,227,316,139.2070485,28.72727273,2,1,22,15
Sunny Singh,31,43,138.7096774,8.6,0,0,6,1
DA Warner,2902,4014,138.3184011,35.21052632,39,3,404,157
HM Amla,418,577,138.0382775,36.0625,5,2,60,21
DA Miller,1135,1563,137.7092511,24.421875,9,1,108,77
PJ Cummins,56,77,137.5,8.555555556,0,0,5,4
D Salunkhe,24,33,137.5,11,0,0,5,0
RN ten Doeschate,238,326,136.9747899,15.52380952,1,0,27,15
C de Grandhomme,92,126,136.9565217,14,0,0,10,6
JA Morkel,712,975,136.9382022,14.55223881,3,0,61,54
TM Head,151,205,135.7615894,20.5,1,0,12,8
M Morkel,93,126,135.483871,6.3,0,0,10,5
Harbhajan Singh,591,799,135.1945854,9.743902439,1,0,76,41
D Wiese,94,127,135.106383,15.875,0,0,13,4
SK Raina,3369,4548,134.9955476,28.96815287,32,1,401,173
SR Watson,1949,2628,134.8383787,26.81632653,16,2,259,122
DJ Hooda,277,373,134.6570397,12.43333333,1,0,19,20
ST Jayasuriya,573,768,134.0314136,25.6,5,1,85,38
B Akhil,57,76,133.3333333,6.909090909,0,0,5,5
AN Ahmed,27,36,133.3333333,6,0,0,4,1
DAJ Bracewell,9,12,133.3333333,12,0,0,1,0
K Upadhyay,9,12,133.3333333,6,0,0,0,1
CRD Fernando,3,4,133.3333333,2,0,0,0,0
VRV Singh,3,4,133.3333333,2,0,0,1,0
AC Gilchrist,1555,2069,133.0546624,25.8625,13,2,240,92
MS Dhoni,2680,3560,132.8358209,24.8951049,17,0,255,156
JR Hopes,314,417,132.8025478,21.94736842,4,0,49,11
HH Pandya,306,406,132.6797386,12.3030303,1,0,24,28
DR Smith,1803,2385,132.2795341,27.10227273,17,0,249,117
BJ Rohrer,146,193,132.1917808,24.125,1,0,22,5
MJ Guptill,143,189,132.1678322,18.9,1,0,21,7
KP Pietersen,758,1001,132.0580475,27.80555556,5,1,92,40
ML Hayden,839,1107,131.942789,34.59375,8,0,124,44
AC Blizzard,91,120,131.8681319,17.14285714,1,0,22,2
V Shankar,77,101,131.1688312,25.25,1,0,12,1
A Mithun,26,34,130.7692308,5.666666667,0,0,4,1
SW Billings,173,226,130.6358382,22.6,2,0,24,5
KM Jadhav,684,893,130.5555556,15.66666667,3,0,71,33
MS Gony,76,99,130.2631579,6.6,0,0,6,8
SE Marsh,1913,2489,130.1097752,36.07246377,21,1,274,77
NLTC Perera,326,424,130.0613497,14.13333333,0,0,26,26
JP Faulkner,406,527,129.8029557,11.71111111,0,0,36,23
JD Ryder,466,604,129.6137339,20.82758621,4,0,67,19
Sachin Baby,106,137,129.245283,13.7,0,0,11,5
SPD Smith,1333,1713,128.5071268,27.62903226,6,1,151,43
RG Sharma,3274,4207,128.4972511,27.49673203,33,1,354,172
Q de Kock,566,726,128.2685512,27.92307692,6,1,92,21
WP Saha,1219,1557,127.7276456,19.96153846,7,1,131,57
PD Collingwood,159,203,127.672956,29,3,0,9,13
RV Uthappa,2960,3778,127.6351351,26.41958042,22,0,385,125
M Vohra,750,957,127.6,23.34146341,3,0,96,35
S Narwal,29,37,127.5862069,9.25,0,0,6,0
TR Birt,59,75,127.1186441,15,0,0,9,2
SA Yadav,479,608,126.9311065,14.47619048,1,0,53,21
SM Pollock,116,147,126.7241379,18.375,0,0,12,8
V Kohli,3494,4423,126.5884373,31.36879433,35,4,388,159
AC Voges,143,181,126.5734266,25.85714286,0,0,16,3
KS Williamson,325,411,126.4615385,27.4,3,0,37,11
Yuvraj Singh,2050,2591,126.3902439,22.3362069,12,0,204,141
BB McCullum,2181,2755,126.3182027,26.74757282,15,2,278,123
AJ Finch,1270,1604,126.2992126,25.0625,13,0,173,59
SM Katich,191,241,126.1780105,21.90909091,2,0,26,8
S Vidyut,115,145,126.0869565,18.125,1,0,22,3
Ankit Sharma,69,87,126.0869565,8.7,0,0,7,4
MC Henriques,769,969,126.0078023,19.38,5,0,86,27
CJ Anderson,414,521,125.8454106,20.03846154,3,0,40,30
CL White,774,971,125.4521964,21.57777778,6,0,75,38
Ishan Kishan,255,319,125.0980392,21.26666667,1,0,34,13
A Choudhary,20,25,125,8.333333333,0,0,1,1
OA Shah,405,506,124.9382716,23,4,0,35,23
Azhar Mahmood,311,388,124.7588424,18.47619048,2,0,40,13
A Symonds,781,974,124.7119078,27.05555556,6,1,75,41
Shakib Al Hasan,401,500,124.6882793,15.625,2,0,46,15
KK Nair,929,1158,124.6501615,23.16,8,0,135,26
P Negi,284,353,124.2957746,12.17241379,0,0,28,16
F du Plessis,1043,1295,124.1610738,28.15217391,8,0,111,38
MV Boucher,318,394,123.8993711,17.13043478,1,0,33,12
STR Binny,619,766,123.7479806,13.67857143,0,0,59,29
MN van Wyk,135,167,123.7037037,33.4,1,0,18,1
HV Patel,38,47,123.6842105,3.916666667,0,0,2,3
SS Iyer,655,807,123.2061069,25.21875,6,0,79,32
N Rana,355,437,123.0985915,29.13333333,4,0,30,25
AT Rayudu,1964,2416,123.0142566,23.00952381,14,0,206,79
KD Karthik,2360,2903,123.0084746,21.6641791,14,0,286,71
LMP Simmons,878,1079,122.8929385,37.20689655,12,1,110,44
AR Patel,494,606,122.6720648,14.42857143,0,0,34,28
SP Jackson,31,38,122.5806452,12.66666667,0,0,5,0
AS Yadav,40,49,122.5,8.166666667,0,0,5,2
KL Rahul,592,725,122.4662162,24.16666667,4,0,61,24
SV Samson,1165,1426,122.4034335,23,8,1,112,57
DJ Bravo,1032,1262,122.2868217,15.58024691,4,0,104,48
DNT Zoysa,9,11,122.2222222,5.5,0,0,1,0
Rashid Khan,9,11,122.2222222,3.666666667,0,0,0,1
Gurkeerat Singh,280,342,122.1428571,14.25,1,0,37,9
JP Duminy,1634,1993,121.9706242,27.30136986,14,0,125,78
B Lee,102,124,121.5686275,6.526315789,0,0,8,8
BJ Hodge,1153,1400,121.4223764,22.22222222,6,0,125,43
UT Khawaja,105,127,120.952381,21.16666667,0,0,14,3
AD Mathews,599,724,120.8681135,17.65853659,1,0,45,29
G Gambhir,3433,4132,120.3612001,28.30136986,35,0,491,57
LA Pomersbach,251,302,120.3187251,18.875,1,0,27,13
SA Asnodkar,352,423,120.1704545,22.26315789,2,0,59,10
GJ Bailey,552,663,120.1086957,18.41666667,2,0,60,19
DJ Hussey,1101,1322,120.0726612,21.67213115,5,0,90,60
LRPL Taylor,847,1017,120.0708383,18.83333333,3,0,68,45
M Vijay,2092,2511,120.0286807,25.36363636,15,2,241,89
Joginder Sharma,30,36,120,7.2,0,0,1,2
DM Bravo,5,6,120,6,0,0,1,0
MEK Hussey,1648,1977,119.9635922,34.0862069,16,1,200,52
MP Stoinis,136,163,119.8529412,20.375,1,0,15,4
DH Yagnik,142,170,119.7183099,10,0,0,23,2
DT Christian,351,420,119.6581197,13.5483871,0,0,22,17
AB McDonald,103,123,119.4174757,13.66666667,0,0,9,4
T Taibu,26,31,119.2307692,10.33333333,0,0,3,0
AP Tare,285,339,118.9473684,12.55555556,1,0,41,11
RA Jadeja,1458,1732,118.7928669,16.03703704,0,0,126,57
DPMD Jayawardene,1522,1808,118.7910644,23.17948718,11,1,201,40
JO Holder,32,38,118.75,7.6,0,0,4,2
Mandeep Singh,938,1112,118.5501066,19.17241379,5,0,135,18
S Dhawan,3005,3561,118.5024958,28.26190476,28,0,404,70
KC Sangakkara,1424,1687,118.4691011,24.80882353,10,0,197,26
S Sohal,311,368,118.3279743,18.4,2,0,34,18
R Bhatia,290,342,117.9310345,7.276595745,0,0,24,13
EJG Morgan,725,854,117.7931034,18.97777778,4,0,76,34
MA Agarwal,692,814,117.6300578,16.95833333,3,0,83,33
DJG Sammy,251,295,117.5298805,14.75,1,0,15,18
