batsman,No.of balls,fours,sixes
A Ashish Reddy,414,17,15
A Chandila,30,0,0
A Chopra,168,7,0
A Choudhary,48,1,1
A Flintoff,102,6,2
A Kumble,138,4,0
A Mishra,840,28,5
A Mithun,66,4,1
A Mukund,54,1,0
A Nehra,174,3,1
A Singh,36,0,0
A Symonds,1530,75,41
A Uniyal,24,0,0
A Zampa,24,1,0
AA Bilakhia,180,5,0
AA Chavan,30,2,0
AA Jhunjhunwala,474,20,5
AA Noffke,24,1,0
AB Agarkar,360,13,5
AB Barath,96,5,1
AB Dinda,138,2,0
AB McDonald,210,9,4
AB de Villiers,4968,291,155
AC Blizzard,162,22,2
AC Gilchrist,2844,240,92
AC Thomas,48,1,1
AC Voges,300,16,3
AD Mascarenhas,174,5,1
AD Mathews,1254,45,29
AD Nath,90,1,0
AD Russell,648,50,37
AF Milne,42,0,0
AG Murtaza,36,1,0
AG Paunikar,114,9,0
AJ Finch,2436,173,59
AJ Tye,60,4,3
AL Menaria,762,24,17
AM Nayar,1356,57,20
AM Rahane,5244,325,60
AN Ahmed,72,4,1
AN Ghosh,24,1,0
AP Dole,48,3,1
AP Majumdar,162,7,2
AP Tare,582,41,11
AR Bawne,18,1,0
AR Patel,1092,34,28
AS Rajpoot,24,1,0
AS Raut,372,13,7
AS Yadav,90,5,2
AT Rayudu,4182,206,79
AUK Pathan,48,5,2
Abdur Razzak,6,0,0
Anirudh Singh,144,6,1
Ankit Sharma,156,7,4
Ankit Soni,24,0,1
Anureet Singh,120,2,1
Azhar Mahmood,666,40,13
B Akhil,156,5,5
B Chipli,576,29,7
B Kumar,396,15,3
B Laughlin,30,0,0
B Lee,234,8,8
B Sumanth,102,3,0
BA Bhatt,12,0,1
BA Stokes,450,22,15
BAW Mendis,24,0,0
BB McCullum,4200,278,123
BB Samantray,246,13,2
BB Sran,18,0,0
BCJ Cutting,150,9,10
BE Hendricks,12,0,0
BJ Haddin,24,2,1
BJ Hodge,2352,125,43
BJ Rohrer,282,22,5
BMAJ Mendis,72,0,0
BR Dunk,54,7,0
Basil Thampi,66,1,1
Bipul Sharma,282,11,9
C Madan,36,4,0
C Munro,66,4,0
C Nanda,6,0,0
C de Grandhomme,204,10,6
CA Ingram,72,3,0
CA Lynn,492,31,23
CA Pujara,792,51,4
CH Gayle,4626,306,261
CH Morris,564,33,22
CJ Anderson,852,40,30
CJ Ferguson,264,9,0
CJ Jordan,18,0,0
CJ McKay,30,0,0
CK Kapugedera,60,0,0
CK Langeveldt,24,0,1
CL White,1626,75,38
CM Gautam,324,19,6
CR Brathwaite,114,8,8
CR Woakes,108,4,1
CRD Fernando,12,0,0
D Kalyankrishna,24,0,0
D Salunkhe,54,5,0
D Wiese,198,13,4
D du Preez,30,0,0
DA Miller,2352,108,77
DA Warner,5460,404,157
DAJ Bracewell,18,1,0
DB Das,552,23,16
DB Ravi Teja,720,36,9
DE Bollinger,48,1,1
DH Yagnik,288,23,2
DJ Bravo,2118,104,48
DJ Harris,180,11,5
DJ Hooda,654,19,20
DJ Hussey,2328,90,60
DJ Jacobs,180,10,4
DJ Muthuswami,12,0,0
DJ Thornely,120,5,2
DJG Sammy,540,15,18
DL Chahar,18,0,2
DL Vettori,312,12,2
DM Bravo,12,1,0
DNT Zoysa,24,1,0
DP Nannes,30,0,0
DP Vijaykumar,6,0,0
DPMD Jayawardene,3084,201,40
DR Martyn,72,1,0
DR Smith,3312,249,117
DS Kulkarni,216,6,2
DS Lehmann,48,3,0
DT Christian,798,22,17
DT Patil,30,1,0
DW Steyn,390,16,3
EJG Morgan,1494,76,34
ER Dwivedi,24,3,2
F Behardien,30,2,0
F du Plessis,2202,111,38
FH Edwards,18,0,0
FY Fazal,366,23,1
G Gambhir,6870,491,57
GB Hogg,54,1,0
GC Smith,1332,95,9
GD McGrath,12,1,0
GH Vihari,696,23,1
GJ Bailey,1194,60,19
GJ Maxwell,1506,98,82
GR Napier,30,1,0
Gurkeerat Singh,618,37,9
H Das,12,0,0
HH Gibbs,1668,84,31
HH Pandya,678,24,28
HM Amla,858,60,21
HV Patel,108,2,3
Harbhajan Singh,1302,76,41
Harmeet Singh,30,3,0
Harpreet Singh,66,0,0
I Malhotra,12,1,0
I Sharma,186,3,1
IC Pandey,6,0,0
IK Pathan,2214,94,38
IR Jaggi,222,7,0
Imran Tahir,66,3,0
Iqbal Abdulla,204,9,1
Ishan Kishan,504,34,13
J Arunkumar,54,5,0
J Botha,834,39,5
J Suchith,84,4,2
J Syed Mohammad,66,4,0
J Theron,42,1,0
J Yadav,24,0,0
JA Morkel,1560,61,54
JC Buttler,792,50,26
JD Ryder,918,67,19
JD Unadkat,42,0,0
JDP Oram,270,6,5
JDS Neesham,78,3,1
JE Taylor,12,0,0
JEC Franklin,654,25,9
JH Kallis,4572,257,44
JJ Bumrah,66,1,1
JJ Roy,78,9,1
JJ van der Wath,48,1,1
JM Kemp,48,1,1
JO Holder,78,4,2
JP Duminy,3420,125,78
JP Faulkner,882,36,23
JR Hopes,684,49,11
Jaskaran Singh,30,0,0
Joginder Sharma,78,1,2
K Goel,462,17,9
K Rabada,150,5,1
K Upadhyay,18,0,1
KA Pollard,3426,159,147
KAJ Roach,18,1,0
KB Arun Karthik,138,6,1
KC Cariappa,66,0,1
KC Sangakkara,2922,197,26
KD Karthik,5022,286,71
KH Pandya,636,46,20
KJ Abbott,24,0,1
KK Cooper,144,9,8
KK Nair,1986,135,26
KL Rahul,1212,61,24
KM Jadhav,1530,71,33
KMDN Kulasekara,12,1,0
KP Appanna,18,0,0
KP Pietersen,1536,92,40
KS Williamson,660,37,11
KV Sharma,636,18,14
KW Richardson,96,2,1
Kamran Akmal,150,12,8
Kamran Khan,12,0,0
Karanveer Singh,42,1,0
Kuldeep Yadav,48,2,0
L Ablish,6,0,0
L Balaji,126,2,1
L Ronchi,54,6,1
LA Carseldine,126,11,0
LA Pomersbach,546,27,13
LH Ferguson,6,0,0
LJ Wright,126,15,3
LMP Simmons,1602,110,44
LPC Silva,60,5,1
LR Shukla,786,33,16
LRPL Taylor,1800,68,45
M Ashwin,6,0,0
M Kaif,498,23,6
M Kartik,264,7,1
M Klinger,174,9,0
M Manhas,1026,44,10
M Morkel,234,10,5
M Muralitharan,96,1,0
M Ntini,30,2,0
M Rawat,174,4,1
M Vijay,4152,241,89
M Vohra,1476,96,35
M de Lange,12,0,0
MA Agarwal,1350,83,33
