batsman,batsman_runs
CH Gayle,5
V Kohli,4
AB de Villiers,3
DA Warner,3
AC Gilchrist,2
SR Watson,2
BB McCullum,2
M Vijay,2
HM Amla,2
V Sehwag,2
AM Rahane,1
RG Sharma,1
ST Jayasuriya,1
BA Stokes,1
DA Miller,1
KP Pietersen,1
SK Raina,1
Q de Kock,1
SPD Smith,1
SR Tendulkar,1
PC Valthaty,1
SE Marsh,1
SV Samson,1
WP Saha,1
LMP Simmons,1
A Symonds,1
MEK Hussey,1
YK Pathan,1
DPMD Jayawardene,1
MK Pandey,1
RS Sodhi,0
R McLaren,0
R Dravid,0
R Dhawan,0
R Bishnoi,0
R Bhatia,0
R Ashwin,0
RP Singh,0
R Rampaul,0
Parvez Rasool,0
Pankaj Singh,0
PV Tambe,0
RT Ponting,0
RV Gomez,0
RV Uthappa,0
PSP Handscomb,0
PR Shah,0
PP Ojha,0
R Ninan,0
R Sharma,0
R Sathish,0
RS Gavaskar,0
RN ten Doeschate,0
RJ Quiney,0
RJ Peterson,0
RJ Harris,0
RR Bhatkal,0
RR Pant,0
RR Powar,0
RG More,0
RR Raje,0
RE van der Merwe,0
RE Levi,0
RR Rossouw,0
RR Sarwan,0
RA Tripathi,0
RS Bopara,0
RA Jadeja,0
R Vinay Kumar,0
R Tewatia,0
R Shukla,0
RD Chahar,0
A Ashish Reddy,0
PP Chawla,0
PM Sarvesh Kumar,0
Mohammad Ashraful,0
Misbah-ul-Haq,0
Mashrafe Mortaza,0
Mandeep Singh,0
MV Boucher,0
MS Wade,0
MS Gony,0
MS Dhoni,0
MS Bisla,0
MR Marsh,0
MP Stoinis,0
MN van Wyk,0
MN Samuels,0
MM Sharma,0
MM Patel,0
ML Hayden,0
MK Tiwary,0
MJ McClenaghan,0
MJ Lumb,0
MJ Guptill,0
MJ Clarke,0
MG Johnson,0
MF Maharoof,0
MDKJ Perera,0
MD Mishra,0
Mohammad Asif,0
Mohammad Hafeez,0
Mohammad Nabi,0
P Awana,0
PJ Sangwan,0
PJ Cummins,0
PD Collingwood,0
S Anirudha,0
PA Reddy,0
PA Patel,0
P Sahu,0
P Parameswaran,0
P Negi,0
P Kumar,0
P Dogra,0
OA Shah,0
Mohammed Shami,0
Niraj Patel,0
NV Ojha,0
NS Naik,0
NM Coulter-Nile,0
NLTC Perera,0
NL McCullum,0
NJ Rimmington,0
NJ Maddinson,0
ND Doshi,0
N Saini,0
N Rana,0
Rashid Khan,0
S Nadeem,0
S Aravind,0
Umar Gul,0
UT Khawaja,0
UBT Chand,0
UA Birla,0
U Kaul,0
TS Mills,0
TR Birt,0
TM Srivastava,0
TM Head,0
TM Dilshan,0
TL Suman,0
TG Southee,0
TD Paine,0
TA Boult,0
T Thushara,0
T Taibu,0
T Kohli,0
T Henderson,0
Swapnil Singh,0
Sunny Singh,0
Sunny Gupta,0
Sohail Tanvir,0
Shoaib Malik,0
Shoaib Akhtar,0
UT Yadav,0
V Pratap Singh,0
Shivam Sharma,0
V Shankar,0
Yuvraj Singh,0
Younis Khan,0
Yashpal Singh,0
YV Takawale,0
YS Chahal,0
YA Abdulla,0
Y Venugopal Rao,0
Y Nagar,0
Y Gnaneswara Rao,0
X Thalaivan Sargunam,0
Washington Sundar,0
WPUJC Vaas,0
WD Parnell,0
WA Mota,0
W Jaffer,0
Vishnu Vinod,0
VY Mahesh,0
VVS Laxman,0
VS Yeligati,0
VS Malik,0
VRV Singh,0
VR Aaron,0
VH Zol,0
Shoaib Ahmed,0
Shakib Al Hasan,0
S Badree,0
SC Ganguly,0
SB Styris,0
SB Joshi,0
SB Jakati,0
SB Bangar,0
SA Yadav,0
SA Asnodkar,0
SA Abbott,0
S Vidyut,0
S Tyagi,0
S Sriram,0
S Sreesanth,0
S Sohal,0
S Randiv,0
S Rana,0
S Narwal,0
MC Henriques,0
S Ladda,0
S Kaushik,0
S Kaul,0
S Gopal,0
S Dhawan,0
S Chanderpaul,0
S Badrinath,0
SB Wagh,0
SD Chitnis,0
Shahid Afridi,0
SE Bond,0
Sandeep Sharma,0
Salman Butt,0
Sachin Baby,0
SW Tait,0
SW Billings,0
STR Binny,0
SS Tiwary,0
SS Shaikh,0
SS Iyer,0
SP Narine,0
SP Jackson,0
SP Goswami,0
SP Fleming,0
SN Thakur,0
SN Khan,0
SMSM Senanayake,0
SM Pollock,0
SM Katich,0
SM Harwood,0
SL Malinga,0
SK Warne,0
SK Trivedi,0
SJ Srivastava,0
MC Juneja,0
M Ntini,0
MA Starc,0
Basil Thampi,0
CJ Ferguson,0
CJ Anderson,0
CH Morris,0
CA Pujara,0
CA Lynn,0
CA Ingram,0
C de Grandhomme,0
C Nanda,0
C Munro,0
C Madan,0
Bipul Sharma,0
BR Dunk,0
CJ McKay,0
BMAJ Mendis,0
BJ Rohrer,0
BJ Hodge,0
BJ Haddin,0
BE Hendricks,0
BCJ Cutting,0
BB Sran,0
BB Samantray,0
BAW Mendis,0
BA Bhatt,0
B Sumanth,0
CJ Jordan,0
CK Kapugedera,0
B Laughlin,0
DE Bollinger,0
DL Vettori,0
DL Chahar,0
DJG Sammy,0
DJ Thornely,0
DJ Muthuswami,0
DJ Jacobs,0
DJ Hussey,0
DJ Hooda,0
DJ Harris,0
DJ Bravo,0
DH Yagnik,0
DB Ravi Teja,0
CK Langeveldt,0
DB Das,0
DAJ Bracewell,0
D du Preez,0
D Wiese,0
D Salunkhe,0
D Kalyankrishna,0
CRD Fernando,0
CR Woakes,0
CR Brathwaite,0
CM Gautam,0
CL White,0
B Lee,0
B Kumar,0
DNT Zoysa,0
AA Chavan,0
AD Mathews,0
AD Mascarenhas,0
AC Voges,0
AC Thomas,0
AC Blizzard,0
AB McDonald,0
AB Dinda,0
AB Barath,0
AB Agarkar,0
AA Noffke,0
AA Jhunjhunwala,0
AA Bilakhia,0
AD Russell,0
A Zampa,0
A Uniyal,0
A Singh,0
A Nehra,0
A Mukund,0
A Mithun,0
A Mishra,0
A Kumble,0
A Flintoff,0
A Choudhary,0
A Chopra,0
AD Nath,0
AF Milne,0
B Chipli,0
AS Rajpoot,0
B Akhil,0
Azhar Mahmood,0
Anureet Singh,0
Ankit Soni,0
Ankit Sharma,0
Anirudh Singh,0
Abdur Razzak,0
AUK Pathan,0
AT Rayudu,0
AS Yadav,0
AS Raut,0
AR Patel,0
AG Murtaza,0
AR Bawne,0
AP Tare,0
AP Majumdar,0
AP Dole,0
AN Ghosh,0
AN Ahmed,0
AM Nayar,0
AL Menaria,0
AJ Tye,0
AJ Finch,0
AG Paunikar,0
DM Bravo,0
DP Nannes,0
MA Khote,0
KC Cariappa,0
KS Williamson,0
KP Appanna,0
KMDN Kulasekara,0
KM Jadhav,0
KL Rahul,0
KK Nair,0
KK Cooper,0
KJ Abbott,0
KH Pandya,0
KD Karthik,0
KC Sangakkara,0
KB Arun Karthik,0
KW Richardson,0
KAJ Roach,0
KA Pollard,0
K Upadhyay,0
K Rabada,0
K Goel,0
Joginder Sharma,0
Jaskaran Singh,0
JR Hopes,0
JP Faulkner,0
JP Duminy,0
JO Holder,0
KV Sharma,0
Kamran Akmal,0
JJ van der Wath,0
M Ashwin,0
MA Agarwal,0
M de Lange,0
M Vohra,0
M Rawat,0
A Chandila,0
M Muralitharan,0
M Morkel,0
M Manhas,0
M Klinger,0
M Kartik,0
M Kaif,0
LRPL Taylor,0
Kamran Khan,0
LR Shukla,0
LPC Silva,0
LJ Wright,0
LH Ferguson,0
LA Pomersbach,0
LA Carseldine,0
L Ronchi,0
L Balaji,0
L Ablish,0
Kuldeep Yadav,0
Karanveer Singh,0
JM Kemp,0
JJ Roy,0
DP Vijaykumar,0
FY Fazal,0
HH Gibbs,0
H Das,0
Gurkeerat Singh,0
GR Napier,0
GJ Maxwell,0
GJ Bailey,0
GH Vihari,0
GD McGrath,0
GC Smith,0
GB Hogg,0
G Gambhir,0
FH Edwards,0
HV Patel,0
F du Plessis,0
F Behardien,0
ER Dwivedi,0
EJG Morgan,0
DW Steyn,0
DT Patil,0
DT Christian,0
DS Lehmann,0
DS Kulkarni,0
DR Smith,0
DR Martyn,0
HH Pandya,0
Harbhajan Singh,0
JJ Bumrah,0
J Syed Mohammad,0
JH Kallis,0
JEC Franklin,0
JE Taylor,0
JDS Neesham,0
JDP Oram,0
JD Unadkat,0
JD Ryder,0
JC Buttler,0
JA Morkel,0
J Yadav,0
J Theron,0
J Suchith,0
Harmeet Singh,0
J Botha,0
J Arunkumar,0
Ishan Kishan,0
Iqbal Abdulla,0
Imran Tahir,0
IR Jaggi,0
IK Pathan,0
IC Pandey,0
I Sharma,0
I Malhotra,0
Harpreet Singh,0
Z Khan,0
