Player,Team 2017,Base.P 2017,Auction.P 2017,Team 2011,Base.P 2011,Auction.P 2011,Team 2014,Base.P 2014,Auction.P 2014,Team 2008,Base.P 2008,Auction.P 2008,Nationality,Speciality
Eoin Morgan,Kings XI Punjab,200.0,200.0,Kolkata Knight Riders,,,,,,,,,,
Pawan Negi,Royal Challengers Bangalore,30.0,100.0,,,,Chennai Super Kings,10.0,10.0,,,,,
Angelo Mathews,Delhi Daredevils,200.0,200.0,Pune Warriors India,,,,,,,,,,
Ben Stokes,Rising Pune Supergiants,200.0,1450.0,,,,,,,,,,,
Corey Anderson,Delhi Daredevils,100.0,100.0,,,,Mumbai Indians,100.0,450.0,,,,,
Nicholas Pooran,Mumbai Indians,30.0,30.0,,,,,,,,,,,
Kagiso Rabada,Delhi Daredevils,100.0,500.0,,,,,,,,,,,
Trent Boult,Kolkata Knight Riders,150.0,500.0,,,,,,,,,,,
Tymal Mills,Royal Challengers Bangalore,50.0,1200.0,,,,,,,,,,,
Pat Cummins,Delhi Daredevils,200.0,450.0,,,,,,,,,,,
Mitchell Johnson,Mumbai Indians,200.0,200.0,,,,Kings XI Punjab,200.0,650.0,,,,,
Ankit Bawne,Delhi Daredevils,10.0,10.0,,,,,,,,,,,
Tanmay Agarwal,Sunrisers Hyderabad,10.0,10.0,,,,,,,,,,,
Mohammad Nabi,Sunrisers Hyderabad,30.0,30.0,,,,,,,,,,,
K Gowtham,Mumbai Indians,10.0,200.0,,,,,,,,,,,
Rahul Tewatia,Kings XI Punjab,10.0,25.0,,,,Rajasthan Royals[REC],10.0,10.0,,,,,
Aditya Tare,Delhi Daredevils,20.0,25.0,,,,Mumbai Indians,20.0,160.0,,,,,
Eklavya Dwivedi,Sunrisers Hyderabad,30.0,75.0,,,,,,,,,,,
Aniket Choudhary,Royal Challengers Bangalore,10.0,200.0,,,,,,,,,,,
T Natarajan,Kings XI Punjab,10.0,300.0,,,,,,,,,,,
Nathu Singh,Gujarat Lions,30.0,50.0,,,,,,,,,,,
Basil Thampi,Gujarat Lions,10.0,85.0,,,,,,,,,,,
M Ashwin,Delhi Daredevils,10.0,100.0,,,,,,,,,,,
Tejas Baroka,Gujarat Lions,10.0,10.0,,,,,,,,,,,
Rashid Khan,Sunrisers Hyderabad,50.0,400.0,,,,,,,,,,,
Pravin Tambe,Sunrisers Hyderabad,10.0,10.0,,,,Rajasthan Royals[RTM],10.0,10.0,,,,,
Chris Woakes,Kolkata Knight Riders,200.0,420.0,,,,,,,,,,,
Karn Sharma,Mumbai Indians,30.0,320.0,,,,Sunrisers Hyderabad,30.0,375.0,,,,,
Rishi Dhawan,Kolkata Knight Riders,30.0,55.0,,,,Kings XI Punjab,20.0,300.0,,,,,
Matt Henry,Kings XI Punjab,50.0,50.0,,,,Chennai Super Kings,30.0,30.0,,,,,
Jaydev Unadkat,Rising Pune Supergiants,30.0,30.0,Kolkata Knight Riders,,,Delhi Daredevils,100.0,280.0,,,,,
Varun Aaron,Kings XI Punjab,30.0,280.0,,,,Royal Challengers Bangalore,150.0,200.0,,,,,
Manpreet Gony,Gujarat Lions,30.0,60.0,Deccan Chargers,,,,,,,,,,
Martin Guptill,Kings XI Punjab,50.0,50.0,,,,,,,,,,,
Jason Roy,Gujarat Lions,100.0,100.0,,,,,,,,,,,
Saurabh Tiwary,Mumbai Indians,30.0,30.0,Royal Challengers Bangalore,,,Delhi Daredevils,50.0,70.0,,,,,
Chris Jordan,Sunrisers Hyderabad,50.0,50.0,,,,,,,,,,,
Nathan Coulter-Nile,Kolkata Knight Riders,100.0,350.0,,,,Delhi Daredevils,100.0,425.0,,,,,
Praveen Dubey,Royal Challengers Bangalore,10.0,10.0,,,,,,,,,,,
Navdeep Saini,Delhi Daredevils,10.0,10.0,,,,,,,,,,,
Ben Laughlin,Sunrisers Hyderabad,30.0,30.0,,,,,,,,,,,
Billy Stanlake,Royal Challengers Bangalore,30.0,30.0,,,,,,,,,,,
Mohammed Siraj,Sunrisers Hyderabad,20.0,260.0,,,,,,,,,,,
Rahul Chahar,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,
Saurabh Kumar,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,
Asela Gunaratne,Mumbai Indians,30.0,30.0,,,,,,,,,,,
Daniel Christian,Rising Pune Supergiants,100.0,100.0,,,,,,,,,,,
Rovman Powell,Kolkata Knight Riders,30.0,30.0,,,,,,,,,,,
Darren Sammy,Kings XI Punjab,30.0,30.0,,,,Sunrisers Hyderabad,100.0,350.0,,,,,
Munaf Patel,Gujarat Lions,30.0,30.0,Mumbai Indians,,,,,,Rajasthan Royals,100.0,275.0,India,Bowler
Rinku Singh,Kings XI Punjab,10.0,10.0,,,,,,,,,,,
Shashank Singh,Delhi Daredevils,10.0,10.0,,,,,,,,,,,
Milind Tandon,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,
Kulwant Khejroliya,Mumbai Indians,10.0,10.0,,,,,,,,,,,
Chirag Suri,Gujarat Lions,10.0,10.0,,,,,,,,,,,
R Sanjay Yadav,Kolkata Knight Riders,10.0,10.0,,,,,,,,,,,
Shelley Shaurya,Gujarat Lions,10.0,10.0,,,,,,,,,,,
Shubham Agarwal,Gujarat Lions,10.0,10.0,,,,,,,,,,,
Ishank Jaggi,Kolkata Knight Riders,10.0,10.0,,,,,,,,,,,
Rahul Tripathi,Rising Pune Supergiants,10.0,10.0,,,,,,,,,,,
Pratham Singh,Gujarat Lions,10.0,10.0,,,,,,,,,,,
Akshdeep Nath,Gujarat Lions,10.0,10.0,,,,,,,,,,,
Lockie Ferguson,Rising Pune Supergiants,50.0,50.0,,,,,,,,,,,
Manoj Tiwary,Rising Pune Supergiants,50.0,50.0,Kolkata Knight Riders,,,Delhi Daredevils,200.0,280.0,Delhi Daredevils,100.0,675.0,India,Batsman
Darren Bravo,Kolkata Knight Riders,50.0,50.0,,,,,,,,,,,
Sayan Ghosh,Kolkata Knight Riders,10.0,10.0,,,,,,,,,,,
Gautam Gambhir,,,,Kolkata Knight Riders,,,,,,Delhi Daredevils,220.0,725.0,India,Batsman
Yusuf Pathan,,,,Kolkata Knight Riders,,,Kolkata Knight Riders,200.0,325.0,Rajasthan Royals,100.0,475.0,India,Allrounder
Robin Uthappa,,,,Pune Warriors India,,,Kolkata Knight Riders,200.0,500.0,Mumbai Indians,200.0,800.0,India,Batsman
Rohit Sharma,,,,Mumbai Indians,,,,,,Deccan Chargers,150.0,750.0,India,Batsman
Irfan Pathan,,,,Delhi Daredevils,,,Sunrisers Hyderabad,150.0,240.0,Kings XI Punjab,200.0,925.0,India,Allrounder
Yuvraj Singh,,,,Pune Warriors India,,,Royal Challengers Bangalore,200.0,1400.0,,,,,
