bowler,wide_runs,over,noball_runs
P Kumar,144,424,1
SL Malinga,143,432,18
DW Steyn,105,344,7
DJ Bravo,93,341,4
SR Watson,90,313,13
B Kumar,90,333,5
UT Yadav,90,324,16
Z Khan,89,371,2
RP Singh,89,299,13
R Ashwin,88,383,2
Harbhajan Singh,87,487,3
JA Morkel,85,288,18
I Sharma,84,273,21
DS Kulkarni,84,237,6
IK Pathan,79,345,1
KA Pollard,75,202,7
L Balaji,72,256,4
AB Dinda,72,255,14
M Morkel,71,272,13
PP Ojha,69,318,2
SW Tait,69,81,14
A Nehra,64,320,9
M Muralitharan,62,256,2
VR Aaron,62,143,6
PP Chawla,62,431,1
JH Kallis,62,291,9
MG Johnson,59,187,9
S Sreesanth,55,148,27
SK Trivedi,55,252,9
PJ Sangwan,50,132,6
JP Faulkner,50,209,5
A Mishra,50,442,20
R Vinay Kumar,49,354,10
RJ Harris,48,139,1
Mohammed Shami,48,105,2
MJ McClenaghan,48,155,8
RA Jadeja,47,325,2
DP Nannes,47,109,4
CH Gayle,46,92,3
WD Parnell,45,97,5
YK Pathan,43,190,0
M Kartik,42,192,5
CH Morris,41,167,3
SP Narine,41,323,2
Sandeep Sharma,41,205,7
B Lee,40,147,13
SK Warne,39,199,0
AB Agarkar,37,131,2
AR Patel,34,209,0
YS Chahal,34,201,3
MA Starc,33,97,4
DT Christian,33,119,3
R Bhatia,32,274,2
MS Gony,32,148,5
JP Duminy,32,112,0
S Aravind,31,128,1
SJ Srivastava,31,47,1
R Dhawan,31,82,3
KK Cooper,31,96,1
MC Henriques,31,151,1
TG Southee,29,110,2
Shakib Al Hasan,29,155,0
MM Sharma,29,259,4
Imran Tahir,29,120,1
Harmeet Singh,28,89,4
DE Bollinger,28,97,2
SB Jakati,27,182,2
A Kumble,26,163,5
AN Ahmed,26,58,5
Iqbal Abdulla,26,154,0
JJ Bumrah,25,175,17
RR Powar,25,71,1
AD Mathews,24,133,1
HV Patel,24,114,1
P Awana,23,125,6
AD Russell,23,106,3
S Nadeem,23,187,1
SK Raina,22,154,0
PJ Cummins,21,61,1
TA Boult,21,56,0
MF Maharoof,21,70,5
J Botha,19,116,0
R McLaren,19,59,3
DR Smith,19,90,4
PV Tambe,19,110,0
Sohail Tanvir,19,42,1
MM Patel,17,227,11
BB Sran,17,55,5
GB Hogg,17,77,1
A Symonds,17,88,1
S Kaul,16,71,1
NM Coulter-Nile,16,95,7
KH Pandya,16,72,1
SN Thakur,16,42,0
CJ Anderson,16,41,0
CJ Jordan,16,29,2
HH Pandya,16,60,1
Anureet Singh,16,65,6
RS Bopara,16,35,0
LR Shukla,16,54,2
A Singh,16,80,1
NLTC Perera,15,119,3
JD Unadkat,15,165,0
RG Sharma,15,56,0
Bipul Sharma,15,72,0
A Mithun,15,48,9
BW Hilfenhaus,15,62,3
ST Jayasuriya,15,49,0
P Negi,14,105,0
Ankit Sharma,14,61,0
STR Binny,14,90,0
Azhar Mahmood,14,91,5
VY Mahesh,14,58,7
Pankaj Singh,14,50,1
CR Woakes,14,44,0
GJ Maxwell,13,54,0
KW Richardson,13,53,0
AS Rajpoot,13,29,1
Anand Rajan,12,25,1
Umar Gul,12,23,6
YA Abdulla,12,35,1
K Rabada,12,22,2
RE van der Merwe,12,74,0
SM Harwood,12,10,0
J Theron,12,37,2
KV Sharma,12,174,0
D Wiese,11,47,1
Kuldeep Yadav,11,53,0
Yuvraj Singh,11,144,1
AF Milne,11,18,0
AM Nayar,11,39,0
Mustafizur Rahman,11,64,0
BA Stokes,11,44,0
CRD Fernando,11,39,8
AC Thomas,10,53,2
M de Lange,10,18,2
DJ Hooda,10,33,0
MR Marsh,10,54,2
