Player,No.of balls
A Ashish Reddy,414
A Chandila,30
A Chopra,168
A Choudhary,48
A Flintoff,102
A Kumble,138
A Mishra,840
A Mithun,66
A Mukund,54
A Nehra,174
A Singh,36
A Symonds,1530
A Uniyal,24
A Zampa,24
AA Bilakhia,180
AA Chavan,30
AA Jhunjhunwala,474
AA Noffke,24
AB Agarkar,360
AB Barath,96
AB Dinda,138
AB McDonald,210
AB de Villiers,4968
AC Blizzard,162
AC Gilchrist,2844
AC Thomas,48
AC Voges,300
AD Mascarenhas,174
AD Mathews,1254
AD Nath,90
AD Russell,648
AF Milne,42
AG Murtaza,36
AG Paunikar,114
AJ Finch,2436
AJ Tye,60
AL Menaria,762
AM Nayar,1356
AM Rahane,5244
AN Ahmed,72
AN Ghosh,24
AP Dole,48
AP Majumdar,162
AP Tare,582
AR Bawne,18
AR Patel,1092
AS Rajpoot,24
AS Raut,372
AS Yadav,90
AT Rayudu,4182
AUK Pathan,48
Abdur Razzak,6
Anirudh Singh,144
Ankit Sharma,156
Ankit Soni,24
Anureet Singh,120
Azhar Mahmood,666
B Akhil,156
B Chipli,576
B Kumar,396
B Laughlin,30
B Lee,234
B Sumanth,102
BA Bhatt,12
BA Stokes,450
BAW Mendis,24
BB McCullum,4200
BB Samantray,246
BB Sran,18
BCJ Cutting,150
BE Hendricks,12
BJ Haddin,24
BJ Hodge,2352
BJ Rohrer,282
BMAJ Mendis,72
BR Dunk,54
Basil Thampi,66
Bipul Sharma,282
C Madan,36
C Munro,66
C Nanda,6
C de Grandhomme,204
CA Ingram,72
CA Lynn,492
CA Pujara,792
CH Gayle,4626
CH Morris,564
CJ Anderson,852
CJ Ferguson,264
CJ Jordan,18
CJ McKay,30
CK Kapugedera,60
CK Langeveldt,24
CL White,1626
CM Gautam,324
CR Brathwaite,114
CR Woakes,108
CRD Fernando,12
D Kalyankrishna,24
D Salunkhe,54
D Wiese,198
D du Preez,30
DA Miller,2352
DA Warner,5460
DAJ Bracewell,18
DB Das,552
DB Ravi Teja,720
DE Bollinger,48
DH Yagnik,288
DJ Bravo,2118
DJ Harris,180
DJ Hooda,654
DJ Hussey,2328
DJ Jacobs,180
DJ Muthuswami,12
DJ Thornely,120
DJG Sammy,540
DL Chahar,18
DL Vettori,312
DM Bravo,12
DNT Zoysa,24
DP Nannes,30
DP Vijaykumar,6
DPMD Jayawardene,3084
DR Martyn,72
DR Smith,3312
DS Kulkarni,216
DS Lehmann,48
DT Christian,798
DT Patil,30
DW Steyn,390
EJG Morgan,1494
ER Dwivedi,24
F Behardien,30
F du Plessis,2202
FH Edwards,18
FY Fazal,366
G Gambhir,6870
GB Hogg,54
GC Smith,1332
GD McGrath,12
GH Vihari,696
GJ Bailey,1194
GJ Maxwell,1506
GR Napier,30
Gurkeerat Singh,618
H Das,12
HH Gibbs,1668
HH Pandya,678
HM Amla,858
HV Patel,108
Harbhajan Singh,1302
Harmeet Singh,30
Harpreet Singh,66
I Malhotra,12
I Sharma,186
IC Pandey,6
IK Pathan,2214
IR Jaggi,222
Imran Tahir,66
Iqbal Abdulla,204
Ishan Kishan,504
J Arunkumar,54
J Botha,834
J Suchith,84
J Syed Mohammad,66
J Theron,42
J Yadav,24
JA Morkel,1560
JC Buttler,792
JD Ryder,918
JD Unadkat,42
JDP Oram,270
JDS Neesham,78
JE Taylor,12
JEC Franklin,654
JH Kallis,4572
JJ Bumrah,66
JJ Roy,78
JJ van der Wath,48
JM Kemp,48
JO Holder,78
JP Duminy,3420
JP Faulkner,882
JR Hopes,684
Jaskaran Singh,30
Joginder Sharma,78
K Goel,462
K Rabada,150
K Upadhyay,18
KA Pollard,3426
KAJ Roach,18
KB Arun Karthik,138
KC Cariappa,66
KC Sangakkara,2922
KD Karthik,5022
KH Pandya,636
KJ Abbott,24
KK Cooper,144
KK Nair,1986
KL Rahul,1212
KM Jadhav,1530
KMDN Kulasekara,12
KP Appanna,18
KP Pietersen,1536
KS Williamson,660
KV Sharma,636
KW Richardson,96
Kamran Akmal,150
Kamran Khan,12
Karanveer Singh,42
Kuldeep Yadav,48
L Ablish,6
L Balaji,126
L Ronchi,54
LA Carseldine,126
LA Pomersbach,546
LH Ferguson,6
LJ Wright,126
LMP Simmons,1602
LPC Silva,60
LR Shukla,786
LRPL Taylor,1800
M Ashwin,6
M Kaif,498
M Kartik,264
M Klinger,174
M Manhas,1026
M Morkel,234
M Muralitharan,96
M Ntini,30
M Rawat,174
M Vijay,4152
M Vohra,1476
M de Lange,12
MA Agarwal,1350
MA Khote,60
MA Starc,240
MC Henriques,1674
MC Juneja,300
MD Mishra,456
MDKJ Perera,24
MEK Hussey,3282
MF Maharoof,258
MG Johnson,360
MJ Clarke,210
MJ Guptill,288
MJ Lumb,342
MJ McClenaghan,126
MK Pandey,3918
MK Tiwary,3024
ML Hayden,1542
