player,season,match_id,no.of runs
A Ashish Reddy,2012,346,10
A Ashish Reddy,2012,352,3
A Ashish Reddy,2012,359,12
A Ashish Reddy,2012,373,10
A Ashish Reddy,2012,376,5
A Ashish Reddy,2013,384,7
A Ashish Reddy,2013,388,14
A Ashish Reddy,2013,394,16
A Ashish Reddy,2013,397,4
A Ashish Reddy,2013,402,19
A Ashish Reddy,2013,405,7
A Ashish Reddy,2013,414,36
A Ashish Reddy,2013,416,14
A Ashish Reddy,2013,428,6
A Ashish Reddy,2013,432,3
A Ashish Reddy,2015,529,14
A Ashish Reddy,2015,531,15
A Ashish Reddy,2015,544,22
A Ashish Reddy,2015,551,6
A Ashish Reddy,2015,572,17
A Ashish Reddy,2016,580,32
A Ashish Reddy,2016,584,14
A Ashish Reddy,2016,603,2
A Chandila,2012,373,0
A Chandila,2013,407,4
A Chopra,2008,88,2
A Chopra,2008,92,26
A Chopra,2008,95,14
A Chopra,2008,99,1
A Chopra,2008,112,2
A Chopra,2009,121,13
A Choudhary,2017,1,6
A Choudhary,2017,30,15
A Choudhary,2017,42,4
A Flintoff,2009,118,32
A Flintoff,2009,122,23
A Flintoff,2009,125,17
A Kumble,2008,84,3
A Kumble,2008,94,4
A Kumble,2008,101,8
A Kumble,2008,107,2
A Kumble,2009,122,1
A Kumble,2009,124,1
A Kumble,2009,127,5
A Kumble,2009,139,2
A Kumble,2009,153,7
A Kumble,2009,174,1
A Kumble,2010,197,1
A Kumble,2010,209,1
A Kumble,2010,220,2
A Kumble,2010,226,2
A Kumble,2010,231,2
A Mishra,2008,93,4
A Mishra,2008,95,31
A Mishra,2008,115,2
A Mishra,2009,133,0
A Mishra,2009,141,11
A Mishra,2009,158,2
A Mishra,2009,170,13
A Mishra,2009,172,1
A Mishra,2010,183,3
A Mishra,2010,185,7
A Mishra,2010,189,0
A Mishra,2010,213,4
A Mishra,2010,218,13
A Mishra,2010,221,13
A Mishra,2010,229,5
A Mishra,2011,236,2
A Mishra,2011,240,14
A Mishra,2011,249,0
A Mishra,2011,260,26
A Mishra,2011,265,0
A Mishra,2011,272,2
A Mishra,2011,275,10
A Mishra,2011,286,0
A Mishra,2011,292,21
A Mishra,2012,316,0
A Mishra,2012,323,7
A Mishra,2012,337,1
A Mishra,2012,346,1
A Mishra,2012,359,8
A Mishra,2013,394,17
A Mishra,2013,397,1
A Mishra,2013,402,32
A Mishra,2013,414,15
A Mishra,2013,416,26
A Mishra,2013,435,6
A Mishra,2014,466,4
A Mishra,2014,487,4
A Mishra,2015,519,5
A Mishra,2015,535,1
A Mishra,2015,543,2
A Mishra,2015,553,1
A Mishra,2016,578,3
A Mishra,2016,623,1
A Mishra,2017,5,8
A Mishra,2017,35,6
A Mishra,2017,44,11
A Mishra,2017,49,8
A Mishra,2017,51,15
A Mishra,2017,55,7
A Mithun,2010,209,5
A Mithun,2011,263,0
A Mithun,2011,280,6
A Mithun,2011,296,10
A Mithun,2011,307,14
A Mithun,2013,441,2
A Mukund,2008,110,0
A Mukund,2013,420,20
A Nehra,2008,67,1
A Nehra,2008,69,3
A Nehra,2008,106,1
A Nehra,2009,161,1
A Nehra,2010,218,1
A Nehra,2010,229,23
A Nehra,2012,321,4
A Nehra,2012,365,9
A Nehra,2013,382,0
A Nehra,2013,390,1
A Nehra,2013,428,0
A Nehra,2013,446,0
A Nehra,2015,527,3
A Nehra,2015,538,1
A Nehra,2015,554,0
A Nehra,2015,573,0
A Nehra,2016,618,1
A Singh,2009,165,0
A Singh,2009,168,1
A Singh,2011,251,0
A Singh,2011,285,1
A Singh,2012,319,1
A Symonds,2008,64,35
A Symonds,2008,66,12
A Symonds,2008,68,122
A Symonds,2009,151,63
A Symonds,2009,155,30
A Symonds,2009,158,43
A Symonds,2009,163,19
A Symonds,2009,164,27
A Symonds,2009,171,20
A Symonds,2009,172,24
A Symonds,2009,174,33
A Symonds,2010,175,9
A Symonds,2010,179,53
A Symonds,2010,186,53
A Symonds,2010,189,35
A Symonds,2010,195,23
A Symonds,2010,199,3
A Symonds,2010,204,47
A Symonds,2010,207,23
A Symonds,2010,210,16
A Symonds,2010,214,54
A Symonds,2010,216,31
A Symonds,2010,220,20
A Symonds,2010,225,5
A Symonds,2010,229,54
A Symonds,2010,232,28
A Symonds,2010,233,2
A Symonds,2011,254,16
A Symonds,2011,257,35
A Symonds,2011,260,46
A Symonds,2011,267,19
A Symonds,2011,273,4
A Symonds,2011,277,3
A Symonds,2011,282,4
A Symonds,2011,287,9
A Symonds,2011,292,8
A Uniyal,2010,176,0
A Uniyal,2010,180,4
A Zampa,2016,616,0
A Zampa,2017,9,5
AA Bilakhia,2009,131,14
AA Bilakhia,2009,136,27
AA Bilakhia,2009,140,1
AA Bilakhia,2009,171,16
AA Bilakhia,2009,172,11
AA Bilakhia,2009,174,7
AA Bilakhia,2010,210,2
AA Chavan,2011,294,1
AA Chavan,2012,319,4
AA Chavan,2012,349,7
AA Jhunjhunwala,2010,176,14
AA Jhunjhunwala,2010,180,56
AA Jhunjhunwala,2010,184,5
AA Jhunjhunwala,2010,187,46
AA Jhunjhunwala,2010,198,11
AA Jhunjhunwala,2010,203,3
AA Jhunjhunwala,2010,206,10
AA Jhunjhunwala,2010,210,11
AA Jhunjhunwala,2010,219,23
AA Jhunjhunwala,2010,223,14
AA Jhunjhunwala,2011,277,16
AA Jhunjhunwala,2011,284,1
AA Jhunjhunwala,2012,323,5
AA Jhunjhunwala,2012,352,1
AA Jhunjhunwala,2012,359,19
AA Noffke,2008,60,11
AB Agarkar,2008,71,12
AB Agarkar,2008,75,3
AB Agarkar,2008,78,22
AB Agarkar,2008,81,2
AB Agarkar,2008,99,15
AB Agarkar,2008,105,5
AB Agarkar,2009,121,7
AB Agarkar,2009,126,1
AB Agarkar,2009,134,7
AB Agarkar,2009,154,41
AB Agarkar,2009,168,14
AB Agarkar,2010,200,18
AB Agarkar,2010,204,8
AB Agarkar,2010,217,7
AB Agarkar,2010,222,9
AB Agarkar,2011,282,10
AB Agarkar,2013,404,3
AB Agarkar,2013,443,9
AB Barath,2010,186,7
AB Barath,2010,215,35
AB Barath,2010,218,2
AB Dinda,2008,78,2
AB Dinda,2008,99,1
AB Dinda,2009,121,2
AB Dinda,2009,132,0
AB Dinda,2010,217,0
AB Dinda,2011,238,0
AB Dinda,2012,321,3
AB Dinda,2013,384,0
AB Dinda,2013,402,0
AB Dinda,2013,411,1
AB Dinda,2013,422,2
AB Dinda,2013,426,6
AB Dinda,2014,471,0
AB Dinda,2014,475,2
AB Dinda,2014,484,3
AB Dinda,2017,9,8
AB McDonald,2009,167,3
AB McDonald,2010,197,21
AB McDonald,2010,203,15
AB McDonald,2010,221,33
AB McDonald,2011,289,8
AB McDonald,2012,312,31
AB McDonald,2012,333,8
AB McDonald,2012,350,11
AB McDonald,2013,401,0
AB de Villiers,2008,79,27
AB de Villiers,2008,82,21
AB de Villiers,2008,87,0
AB de Villiers,2008,93,23
AB de Villiers,2008,95,7
AB de Villiers,2008,104,21
AB de Villiers,2009,125,105
AB de Villiers,2009,129,21
AB de Villiers,2009,133,51
AB de Villiers,2009,136,5
AB de Villiers,2009,141,0
AB de Villiers,2009,150,50
AB de Villiers,2009,154,43
AB de Villiers,2009,158,44
AB de Villiers,2009,161,12
AB de Villiers,2009,165,80
AB de Villiers,2009,167,28
AB de Villiers,2009,170,7
AB de Villiers,2009,172,26
AB de Villiers,2010,177,9
AB de Villiers,2010,180,17
AB de Villiers,2010,183,12
AB de Villiers,2010,185,2
AB de Villiers,2010,189,28
AB de Villiers,2010,197,45
AB de Villiers,2010,221,4
AB de Villiers,2011,237,55
AB de Villiers,2011,242,43
AB de Villiers,2011,245,0
AB de Villiers,2011,248,69
AB de Villiers,2011,263,5
AB de Villiers,2011,268,26
AB de Villiers,2011,280,29
AB de Villiers,2011,291,15
AB de Villiers,2011,296,34
AB de Villiers,2011,302,0
AB de Villiers,2011,304,11
AB de Villiers,2011,306,23
AB de Villiers,2011,307,18
AB de Villiers,2012,312,66
AB de Villiers,2012,317,10
AB de Villiers,2012,320,5
AB de Villiers,2012,326,9
AB de Villiers,2012,329,33
AB de Villiers,2012,333,54
AB de Villiers,2012,338,62
AB de Villiers,2012,344,0
AB de Villiers,2012,350,17
AB de Villiers,2012,356,47
AB de Villiers,2012,362,10
AB de Villiers,2012,367,14
AB de Villiers,2012,376,4
AB de Villiers,2013,392,22
AB de Villiers,2013,396,66
AB de Villiers,2013,401,53
AB de Villiers,2013,407,7
AB de Villiers,2013,411,32
AB de Villiers,2013,417,2
AB de Villiers,2013,420,21
AB de Villiers,2013,426,50
AB de Villiers,2013,429,6
AB de Villiers,2013,432,16
AB de Villiers,2013,438,32
AB de Villiers,2013,441,28
AB de Villiers,2013,448,39
AB de Villiers,2013,452,5
AB de Villiers,2014,462,45
AB de Villiers,2014,468,11
AB de Villiers,2014,471,0
AB de Villiers,2014,475,17
AB de Villiers,2014,481,92
AB de Villiers,2014,484,9
AB de Villiers,2014,488,57
AB de Villiers,2014,492,58
AB de Villiers,2014,495,33
AB de Villiers,2014,499,31
AB de Villiers,2014,503,32
AB de Villiers,2014,506,13
AB de Villiers,2014,510,11
AB de Villiers,2015,522,29
AB de Villiers,2015,525,49
AB de Villiers,2015,534,43
AB de Villiers,2015,538,14
AB de Villiers,2015,540,47
AB de Villiers,2015,546,66
AB de Villiers,2015,550,2
AB de Villiers,2015,554,21
AB de Villiers,2015,557,48
AB de Villiers,2015,562,138
AB de Villiers,2015,566,12
AB de Villiers,2015,568,0
AB de Villiers,2015,574,69
AB de Villiers,2015,575,1
AB de Villiers,2016,580,86
AB de Villiers,2016,587,61
AB de Villiers,2016,590,30
AB de Villiers,2016,592,83
AB de Villiers,2016,595,20
AB de Villiers,2016,603,48
AB de Villiers,2016,606,4
AB de Villiers,2016,611,1
AB de Villiers,2016,615,64
AB de Villiers,2016,617,24
AB de Villiers,2016,620,132
AB de Villiers,2016,624,61
AB de Villiers,2016,626,0
AB de Villiers,2016,632,11
AB de Villiers,2016,633,84
AB de Villiers,2016,636,5
AB de Villiers,2017,8,92
AB de Villiers,2017,12,24
AB de Villiers,2017,17,33
AB de Villiers,2017,27,8
AB de Villiers,2017,30,7
AB de Villiers,2017,33,4
AB de Villiers,2017,37,45
AB de Villiers,2017,42,10
AB de Villiers,2017,45,10
AC Blizzard,2011,277,6
AC Blizzard,2011,282,38
AC Blizzard,2011,287,15
AC Blizzard,2011,292,5
AC Blizzard,2011,305,52
AC Blizzard,2011,306,10
AC Blizzard,2012,342,0
AC Gilchrist,2008,64,26
AC Gilchrist,2008,66,9
AC Gilchrist,2008,68,13
AC Gilchrist,2008,72,116
AC Gilchrist,2008,77,6
AC Gilchrist,2008,80,48
AC Gilchrist,2008,85,57
AC Gilchrist,2008,89,63
AC Gilchrist,2008,92,25
AC Gilchrist,2008,98,15
AC Gilchrist,2008,102,14
AC Gilchrist,2008,108,51
AC Gilchrist,2008,111,12
AC Gilchrist,2008,114,5
AC Gilchrist,2009,121,13
AC Gilchrist,2009,124,77
AC Gilchrist,2009,128,37
AC Gilchrist,2009,131,45
AC Gilchrist,2009,136,8
AC Gilchrist,2009,140,41
AC Gilchrist,2009,144,0
AC Gilchrist,2009,147,28
AC Gilchrist,2009,151,22
AC Gilchrist,2009,155,11
AC Gilchrist,2009,158,66
AC Gilchrist,2009,163,45
AC Gilchrist,2009,164,23
AC Gilchrist,2009,171,16
AC Gilchrist,2009,172,88
AC Gilchrist,2009,174,0
AC Gilchrist,2010,175,58
AC Gilchrist,2010,179,43
AC Gilchrist,2010,186,34
AC Gilchrist,2010,189,25
AC Gilchrist,2010,195,1
AC Gilchrist,2010,199,0
AC Gilchrist,2010,204,9
AC Gilchrist,2010,207,19
AC Gilchrist,2010,210,37
AC Gilchrist,2010,214,36
AC Gilchrist,2010,216,9
AC Gilchrist,2010,220,0
AC Gilchrist,2010,225,9
AC Gilchrist,2010,229,10
AC Gilchrist,2010,232,16
AC Gilchrist,2010,233,4
AC Gilchrist,2011,239,1
AC Gilchrist,2011,243,19
AC Gilchrist,2011,249,68
AC Gilchrist,2011,256,30
AC Gilchrist,2011,259,43
AC Gilchrist,2011,270,29
AC Gilchrist,2011,273,0
AC Gilchrist,2011,280,0
AC Gilchrist,2011,284,4
AC Gilchrist,2011,287,39
AC Gilchrist,2011,290,11
AC Gilchrist,2011,293,9
AC Gilchrist,2011,296,130
AC Gilchrist,2011,300,53
AC Gilchrist,2012,311,29
AC Gilchrist,2012,315,7
AC Gilchrist,2012,321,21
AC Gilchrist,2012,325,5
AC Gilchrist,2012,330,40
AC Gilchrist,2012,371,68
AC Gilchrist,2012,374,14
AC Gilchrist,2013,387,15
AC Gilchrist,2013,391,9
AC Gilchrist,2013,398,0
AC Gilchrist,2013,400,8
AC Gilchrist,2013,405,26
AC Gilchrist,2013,409,4
AC Gilchrist,2013,412,43
AC Gilchrist,2013,415,29
AC Gilchrist,2013,429,91
AC Gilchrist,2013,436,42
AC Gilchrist,2013,440,27
AC Gilchrist,2013,443,6
AC Gilchrist,2013,450,5
AC Thomas,2011,254,0
AC Thomas,2011,262,1
AC Thomas,2012,341,12
AC Thomas,2012,362,7
AC Voges,2010,187,40
AC Voges,2010,193,47
AC Voges,2010,198,20
AC Voges,2010,203,15
AC Voges,2010,219,28
AC Voges,2010,223,32
AC Voges,2010,227,8
AD Mascarenhas,2008,93,9
AD Mascarenhas,2009,119,0
AD Mascarenhas,2009,126,28
AD Mascarenhas,2009,130,4
AD Mascarenhas,2009,137,8
AD Mascarenhas,2010,176,10
AD Mascarenhas,2010,180,3
AD Mascarenhas,2012,315,5
AD Mascarenhas,2012,325,0
AD Mascarenhas,2012,330,9
AD Mascarenhas,2013,405,5
AD Mathews,2009,156,17
AD Mathews,2010,175,71
AD Mathews,2010,182,9
AD Mathews,2010,191,3
AD Mathews,2010,196,21
AD Mathews,2010,200,26
AD Mathews,2010,204,4
AD Mathews,2010,208,19
AD Mathews,2010,213,46
AD Mathews,2010,217,1
AD Mathews,2010,222,55
AD Mathews,2012,321,11
AD Mathews,2012,329,11
AD Mathews,2012,332,32
AD Mathews,2012,335,6
AD Mathews,2012,353,36
AD Mathews,2012,358,11
AD Mathews,2012,362,4
AD Mathews,2012,365,23
AD Mathews,2013,384,8
AD Mathews,2013,387,4
AD Mathews,2013,393,1
AD Mathews,2013,395,20
AD Mathews,2013,402,20
AD Mathews,2013,426,33
AD Mathews,2013,431,18
AD Mathews,2013,437,40
AD Mathews,2013,439,0
AD Mathews,2013,451,30
AD Mathews,2015,523,28
AD Mathews,2015,528,7
AD Mathews,2015,531,15
AD Mathews,2015,535,29
AD Mathews,2015,539,18
AD Mathews,2015,543,0
AD Mathews,2015,545,23
AD Mathews,2015,553,19
AD Mathews,2015,556,12
AD Mathews,2015,571,1
AD Mathews,2017,18,1
AD Mathews,2017,21,32
AD Nath,2016,585,12
AD Nath,2016,591,5
AD Nath,2016,620,3
AD Nath,2017,26,0
AD Russell,2012,372,32
AD Russell,2012,380,17
AD Russell,2013,382,4
AD Russell,2013,385,8
AD Russell,2014,478,1
AD Russell,2014,482,1
AD Russell,2015,522,42
AD Russell,2015,527,60
AD Russell,2015,532,66
AD Russell,2015,537,19
AD Russell,2015,545,10
AD Russell,2015,547,4
AD Russell,2015,550,45
AD Russell,2015,555,1
AD Russell,2015,560,53
AD Russell,2015,567,2
AD Russell,2015,570,40
AD Russell,2016,581,38
AD Russell,2016,584,2
