player,season,match_id,no. of overs
A Ashish Reddy,2012,346,3
A Ashish Reddy,2012,352,2
A Ashish Reddy,2012,359,3
A Ashish Reddy,2012,373,1
A Ashish Reddy,2012,376,1
A Ashish Reddy,2013,384,2
A Ashish Reddy,2013,388,4
A Ashish Reddy,2013,394,3
A Ashish Reddy,2013,397,2
A Ashish Reddy,2013,402,5
A Ashish Reddy,2013,405,3
A Ashish Reddy,2013,414,5
A Ashish Reddy,2013,416,4
A Ashish Reddy,2013,428,2
A Ashish Reddy,2013,432,3
A Ashish Reddy,2015,529,4
A Ashish Reddy,2015,531,4
A Ashish Reddy,2015,544,3
A Ashish Reddy,2015,551,2
A Ashish Reddy,2015,572,4
A Ashish Reddy,2016,580,5
A Ashish Reddy,2016,584,3
A Ashish Reddy,2016,603,1
A Chandila,2012,373,1
A Chandila,2013,407,4
A Chopra,2008,88,3
A Chopra,2008,92,9
A Chopra,2008,95,6
A Chopra,2008,99,2
A Chopra,2008,112,2
A Chopra,2009,121,6
A Choudhary,2017,1,1
A Choudhary,2017,30,5
A Choudhary,2017,42,2
A Flintoff,2009,118,7
A Flintoff,2009,122,4
A Flintoff,2009,125,6
A Kumble,2008,84,2
A Kumble,2008,94,1
A Kumble,2008,101,3
A Kumble,2008,107,1
A Kumble,2009,122,2
A Kumble,2009,124,1
A Kumble,2009,127,1
A Kumble,2009,139,2
A Kumble,2009,153,3
A Kumble,2009,174,1
A Kumble,2010,197,1
A Kumble,2010,209,1
A Kumble,2010,220,2
A Kumble,2010,226,1
A Kumble,2010,231,1
A Mishra,2008,93,2
A Mishra,2008,95,11
A Mishra,2008,115,2
A Mishra,2009,133,2
A Mishra,2009,141,2
A Mishra,2009,158,2
A Mishra,2009,170,2
A Mishra,2009,172,1
A Mishra,2010,183,3
A Mishra,2010,185,1
A Mishra,2010,189,1
A Mishra,2010,213,2
A Mishra,2010,218,5
A Mishra,2010,221,5
A Mishra,2010,229,4
A Mishra,2011,236,1
A Mishra,2011,240,3
A Mishra,2011,249,1
A Mishra,2011,260,6
A Mishra,2011,265,1
A Mishra,2011,272,1
A Mishra,2011,275,3
A Mishra,2011,286,1
A Mishra,2011,292,2
A Mishra,2012,316,1
A Mishra,2012,323,3
A Mishra,2012,337,1
A Mishra,2012,346,2
A Mishra,2012,359,2
A Mishra,2013,394,3
A Mishra,2013,397,1
A Mishra,2013,402,10
A Mishra,2013,414,6
A Mishra,2013,416,9
A Mishra,2013,435,3
A Mishra,2014,466,3
A Mishra,2014,487,1
A Mishra,2015,519,2
A Mishra,2015,535,1
A Mishra,2015,543,2
A Mishra,2015,553,2
A Mishra,2016,578,3
A Mishra,2016,623,3
A Mishra,2017,5,4
A Mishra,2017,35,3
A Mishra,2017,44,5
A Mishra,2017,49,1
A Mishra,2017,51,4
A Mishra,2017,55,1
A Mithun,2010,209,2
A Mithun,2011,263,1
A Mithun,2011,280,1
A Mithun,2011,296,3
A Mithun,2011,307,3
A Mithun,2013,441,1
A Mukund,2008,110,1
A Mukund,2013,420,8
A Nehra,2008,67,1
A Nehra,2008,69,3
A Nehra,2008,106,1
A Nehra,2009,161,1
A Nehra,2010,218,2
A Nehra,2010,229,5
A Nehra,2012,321,2
A Nehra,2012,365,2
A Nehra,2013,382,1
A Nehra,2013,390,3
A Nehra,2013,428,1
A Nehra,2013,446,1
A Nehra,2015,527,2
A Nehra,2015,538,1
A Nehra,2015,554,1
A Nehra,2015,573,1
A Nehra,2016,618,1
A Singh,2009,165,1
A Singh,2009,168,1
A Singh,2011,251,1
A Singh,2011,285,2
A Singh,2012,319,1
A Symonds,2008,64,12
A Symonds,2008,66,5
A Symonds,2008,68,16
A Symonds,2009,151,11
A Symonds,2009,155,6
A Symonds,2009,158,7
A Symonds,2009,163,6
A Symonds,2009,164,9
A Symonds,2009,171,5
A Symonds,2009,172,4
A Symonds,2009,174,5
A Symonds,2010,175,4
A Symonds,2010,179,12
A Symonds,2010,186,14
A Symonds,2010,189,10
A Symonds,2010,195,4
A Symonds,2010,199,2
A Symonds,2010,204,12
A Symonds,2010,207,7
A Symonds,2010,210,6
A Symonds,2010,214,9
A Symonds,2010,216,9
A Symonds,2010,220,6
A Symonds,2010,225,2
A Symonds,2010,229,9
A Symonds,2010,232,9
A Symonds,2010,233,3
A Symonds,2011,254,5
A Symonds,2011,257,9
A Symonds,2011,260,11
A Symonds,2011,267,10
A Symonds,2011,273,2
A Symonds,2011,277,1
A Symonds,2011,282,2
A Symonds,2011,287,4
A Symonds,2011,292,7
A Uniyal,2010,176,1
A Uniyal,2010,180,3
A Zampa,2016,616,1
A Zampa,2017,9,3
AA Bilakhia,2009,131,5
AA Bilakhia,2009,136,8
