player,season,match_id,no. of runs,no. of overs,no. of balls,strike rate
A Ashish Reddy,2012,346,10,3,18,0.5555555555555556
A Ashish Reddy,2012,352,3,2,12,0.25
A Ashish Reddy,2012,359,12,3,18,0.6666666666666666
A Ashish Reddy,2012,373,10,1,6,1.6666666666666667
A Ashish Reddy,2012,376,5,1,6,0.8333333333333334
A Ashish Reddy,2013,384,7,2,12,0.5833333333333334
A Ashish Reddy,2013,388,14,4,24,0.5833333333333334
A Ashish Reddy,2013,394,16,3,18,0.8888888888888888
A Ashish Reddy,2013,397,4,2,12,0.3333333333333333
A Ashish Reddy,2013,402,19,5,30,0.6333333333333333
A Ashish Reddy,2013,405,7,3,18,0.3888888888888889
A Ashish Reddy,2013,414,36,5,30,1.2
A Ashish Reddy,2013,416,14,4,24,0.5833333333333334
A Ashish Reddy,2013,428,6,2,12,0.5
A Ashish Reddy,2013,432,3,3,18,0.16666666666666666
A Ashish Reddy,2015,529,14,4,24,0.5833333333333334
A Ashish Reddy,2015,531,15,4,24,0.625
A Ashish Reddy,2015,544,22,3,18,1.2222222222222223
A Ashish Reddy,2015,551,6,2,12,0.5
A Ashish Reddy,2015,572,17,4,24,0.7083333333333334
A Ashish Reddy,2016,580,32,5,30,1.0666666666666667
A Ashish Reddy,2016,584,14,3,18,0.7777777777777778
A Ashish Reddy,2016,603,2,1,6,0.3333333333333333
A Chandila,2012,373,0,1,6,0.0
A Chandila,2013,407,4,4,24,0.16666666666666666
A Chopra,2008,88,2,3,18,0.1111111111111111
A Chopra,2008,92,26,9,54,0.48148148148148145
A Chopra,2008,95,14,6,36,0.3888888888888889
A Chopra,2008,99,1,2,12,0.08333333333333333
A Chopra,2008,112,2,2,12,0.16666666666666666
A Chopra,2009,121,13,6,36,0.3611111111111111
A Choudhary,2017,1,6,1,6,1.0
A Choudhary,2017,30,15,5,30,0.5
A Choudhary,2017,42,4,2,12,0.3333333333333333
A Flintoff,2009,118,32,7,42,0.7619047619047619
A Flintoff,2009,122,23,4,24,0.9583333333333334
A Flintoff,2009,125,17,6,36,0.4722222222222222
A Kumble,2008,84,3,2,12,0.25
A Kumble,2008,94,4,1,6,0.6666666666666666
A Kumble,2008,101,8,3,18,0.4444444444444444
A Kumble,2008,107,2,1,6,0.3333333333333333
A Kumble,2009,122,1,2,12,0.08333333333333333
A Kumble,2009,124,1,1,6,0.16666666666666666
A Kumble,2009,127,5,1,6,0.8333333333333334
A Kumble,2009,139,2,2,12,0.16666666666666666
A Kumble,2009,153,7,3,18,0.3888888888888889
A Kumble,2009,174,1,1,6,0.16666666666666666
A Kumble,2010,197,1,1,6,0.16666666666666666
A Kumble,2010,209,1,1,6,0.16666666666666666
A Kumble,2010,220,2,2,12,0.16666666666666666
A Kumble,2010,226,2,1,6,0.3333333333333333
A Kumble,2010,231,2,1,6,0.3333333333333333
A Mishra,2008,93,4,2,12,0.3333333333333333
A Mishra,2008,95,31,11,66,0.4696969696969697
A Mishra,2008,115,2,2,12,0.16666666666666666
A Mishra,2009,133,0,2,12,0.0
A Mishra,2009,141,11,2,12,0.9166666666666666
A Mishra,2009,158,2,2,12,0.16666666666666666
A Mishra,2009,170,13,2,12,1.0833333333333333
A Mishra,2009,172,1,1,6,0.16666666666666666
A Mishra,2010,183,3,3,18,0.16666666666666666
A Mishra,2010,185,7,1,6,1.1666666666666667
A Mishra,2010,189,0,1,6,0.0
A Mishra,2010,213,4,2,12,0.3333333333333333
A Mishra,2010,218,13,5,30,0.43333333333333335
A Mishra,2010,221,13,5,30,0.43333333333333335
A Mishra,2010,229,5,4,24,0.20833333333333334
A Mishra,2011,236,2,1,6,0.3333333333333333
A Mishra,2011,240,14,3,18,0.7777777777777778
A Mishra,2011,249,0,1,6,0.0
A Mishra,2011,260,26,6,36,0.7222222222222222
A Mishra,2011,265,0,1,6,0.0
A Mishra,2011,272,2,1,6,0.3333333333333333
A Mishra,2011,275,10,3,18,0.5555555555555556
A Mishra,2011,286,0,1,6,0.0
A Mishra,2011,292,21,2,12,1.75
A Mishra,2012,316,0,1,6,0.0
A Mishra,2012,323,7,3,18,0.3888888888888889
A Mishra,2012,337,1,1,6,0.16666666666666666
A Mishra,2012,346,1,2,12,0.08333333333333333
A Mishra,2012,359,8,2,12,0.6666666666666666
A Mishra,2013,394,17,3,18,0.9444444444444444
A Mishra,2013,397,1,1,6,0.16666666666666666
A Mishra,2013,402,32,10,60,0.5333333333333333
A Mishra,2013,414,15,6,36,0.4166666666666667
A Mishra,2013,416,26,9,54,0.48148148148148145
A Mishra,2013,435,6,3,18,0.3333333333333333
A Mishra,2014,466,4,3,18,0.2222222222222222
A Mishra,2014,487,4,1,6,0.6666666666666666
A Mishra,2015,519,5,2,12,0.4166666666666667
A Mishra,2015,535,1,1,6,0.16666666666666666
A Mishra,2015,543,2,2,12,0.16666666666666666
A Mishra,2015,553,1,2,12,0.08333333333333333
A Mishra,2016,578,3,3,18,0.16666666666666666
A Mishra,2016,623,1,3,18,0.05555555555555555
A Mishra,2017,5,8,4,24,0.3333333333333333
A Mishra,2017,35,6,3,18,0.3333333333333333
A Mishra,2017,44,11,5,30,0.36666666666666664
A Mishra,2017,49,8,1,6,1.3333333333333333
A Mishra,2017,51,15,4,24,0.625
A Mishra,2017,55,7,1,6,1.1666666666666667
A Mithun,2010,209,5,2,12,0.4166666666666667
A Mithun,2011,263,0,1,6,0.0
A Mithun,2011,280,6,1,6,1.0
A Mithun,2011,296,10,3,18,0.5555555555555556
A Mithun,2011,307,14,3,18,0.7777777777777778
A Mithun,2013,441,2,1,6,0.3333333333333333
A Mukund,2008,110,0,1,6,0.0
A Mukund,2013,420,20,8,48,0.4166666666666667
A Nehra,2008,67,1,1,6,0.16666666666666666
A Nehra,2008,69,3,3,18,0.16666666666666666
A Nehra,2008,106,1,1,6,0.16666666666666666
A Nehra,2009,161,1,1,6,0.16666666666666666
A Nehra,2010,218,1,2,12,0.08333333333333333
A Nehra,2010,229,23,5,30,0.7666666666666667
A Nehra,2012,321,4,2,12,0.3333333333333333
A Nehra,2012,365,9,2,12,0.75
A Nehra,2013,382,0,1,6,0.0
A Nehra,2013,390,1,3,18,0.05555555555555555
A Nehra,2013,428,0,1,6,0.0
A Nehra,2013,446,0,1,6,0.0
A Nehra,2015,527,3,2,12,0.25
A Nehra,2015,538,1,1,6,0.16666666666666666
A Nehra,2015,554,0,1,6,0.0
A Nehra,2015,573,0,1,6,0.0
A Nehra,2016,618,1,1,6,0.16666666666666666
A Singh,2009,165,0,1,6,0.0
A Singh,2009,168,1,1,6,0.16666666666666666
A Singh,2011,251,0,1,6,0.0
A Singh,2011,285,1,2,12,0.08333333333333333
A Singh,2012,319,1,1,6,0.16666666666666666
A Symonds,2008,64,35,12,72,0.4861111111111111
A Symonds,2008,66,12,5,30,0.4
A Symonds,2008,68,122,16,96,1.2708333333333333
A Symonds,2009,151,63,11,66,0.9545454545454546
A Symonds,2009,155,30,6,36,0.8333333333333334
A Symonds,2009,158,43,7,42,1.0238095238095237
A Symonds,2009,163,19,6,36,0.5277777777777778
A Symonds,2009,164,27,9,54,0.5
A Symonds,2009,171,20,5,30,0.6666666666666666
A Symonds,2009,172,24,4,24,1.0
A Symonds,2009,174,33,5,30,1.1
