player,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,avg.strike rate
ER Dwivedi,,,,,,,,,1.138888889,,1.138888889
Kamran Akmal,0.88117284,,,,,,,,,,0.88117284
LJ Wright,,,,,,0.869047619,,,,,0.869047619
AJ Tye,,,,,,,,,,0.861111111,0.861111111
BR Dunk,,,,,,,0.819444444,,,,0.819444444
UT Khawaja,,,,,,,,,0.818981481,,0.818981481
R Tewatia,,,,,,,0.791666667,,,0.833333333,0.8125
DL Chahar,,,,,,,,,,0.777777778,0.777777778
Umar Gul,0.770833333,,,,,,,,,,0.770833333
KK Cooper,,,,,1.041666667,0.65,0.611111111,,,,0.767592593
JJ Roy,,,,,,,,,,0.75462963,0.75462963
BCJ Cutting,,,,,,,0.5,,0.854166667,0.902777778,0.752314815
AUK Pathan,,,,0.916666667,0.583333333,,,,,,0.75
BJ Haddin,,,,0.75,,,,,,,0.75
CH Gayle,,0.720352333,0.801155429,0.98806606,0.738223915,0.791087963,0.693123422,0.915503925,0.578560606,0.464618406,0.743410229
BJ Rohrer,,,,,,0.740722934,,,,,0.740722934
Salman Butt,0.736494598,,,,,,,,,,0.736494598
A Flintoff,,0.730820106,,,,,,,,,0.730820106
ML Hayden,0.783854167,0.826084844,0.563211615,,,,,,,,0.724383542
S Vidyut,0.720684524,,,,,,,,,,0.720684524
CR Brathwaite,,,,,,,,,1.053240741,0.375,0.71412037
KH Pandya,,,,,,,,,0.828125,0.596861472,0.712493236
A Ashish Reddy,,,,,0.794444444,0.586111111,,0.727777778,0.725925926,,0.708564815
V Sehwag,0.886867993,0.714267677,0.72457483,0.824321407,0.664651538,0.632438232,0.743994568,0.450793651,,,0.705238737
NL McCullum,,,,0.697916667,,,,,,,0.697916667
ST Jayasuriya,1.081021954,0.542445749,0.46875,,,,,,,,0.697405901
RA Tripathi,,,,,,,,,,0.684376272,0.684376272
SN Khan,,,,,,,,0.574829932,0.783730159,,0.679280045
DA Warner,,0.559665533,0.595959596,0.532804233,0.878432765,0.47791745,0.665693929,0.842052932,0.800065027,0.743292001,0.677320385
KA Pollard,,,0.995946712,0.447205688,0.575420875,0.714746673,0.568232323,0.774617347,0.66359127,0.677179346,0.677117529
S Narwal,,,0.351851852,,,1,,,,,0.675925926
DJ Harris,,,,,0.674305556,,,,,,0.674305556
AC Gilchrist,0.707057823,0.775744048,0.723958333,0.589120969,0.649244142,0.599847122,,,,,0.674162073
CH Morris,,,,,,0.222222222,,0.692460317,0.858862434,0.910912698,0.671114418
JC Buttler,,,,,,,,,0.618173658,0.72212001,0.670146834
TR Birt,,,,0.668888889,,,,,,,0.668888889
KL Rahul,,,,,,1,0.484597197,0.521370701,0.665497388,,0.667866322
AR Bawne,,,,,,,,,,0.666666667,0.666666667
DAJ Bracewell,,,,,0.666666667,,,,,,0.666666667
RS Sodhi,,,0.666666667,,,,,,,,0.666666667
Y Gnaneswara Rao,,,,0.666666667,,,,,,,0.666666667
SPD Smith,,,,,0.659358466,0.713227513,0.712443311,0.547163716,0.720219199,0.58526936,0.656280261
SB Styris,0.343005952,0.777777778,,0.833333333,,,,,,,0.651372354
LA Carseldine,,0.65,,,,,,,,,0.65
AD Russell,,,,,0.8875,0.444444444,0.125,0.893070314,0.89360119,,0.64872319
SM Katich,0.80952381,0.484053498,,,,,,,,,0.646788654
SP Jackson,,,,,,,,,,0.645502646,0.645502646
R Dhawan,,,,,,0.483333333,0.553703704,0.363095238,1.166666667,,0.641699735
A Symonds,0.718981481,0.825766595,0.584656085,0.4363623,,,,,,,0.641441615
P Negi,,,,,0.576388889,,,0.706481481,0.535648148,0.74625,0.64119213
MS Dhoni,0.633740334,0.53764985,0.538872491,0.729884005,0.619876284,0.729981217,0.781067019,0.575418046,0.72974537,0.531203704,0.640743832
YK Pathan,0.752971103,0.628810541,0.688030818,0.748508899,0.525883838,0.606175595,0.638458995,0.636954365,0.698422091,0.477777778,0.640199402
TG Southee,,,,,,,0.333333333,0.541666667,0.493055556,1.166666667,0.633680556
JA Morkel,0.772261905,0.604166667,0.576406926,0.768132716,0.735185185,0.465873016,0.484444444,0.719135802,0.566666667,,0.632474814
RV Uthappa,0.586722702,0.411599512,0.837356559,0.596015096,0.628391726,0.600962015,0.668616553,0.708633959,0.630002793,0.616981629,0.628528254
AC Voges,,,0.625519652,,,,,,,,0.625519652
J Botha,,0.532407407,,0.49311491,0.538690476,0.323148148,,1.222222222,,,0.621916633
B Akhil,0.541666667,0.6,,0.722222222,,,,,,,0.621296296
DR Smith,0.52962963,0.709295334,0.425925926,,0.629490393,0.672829201,0.766838686,0.62068039,0.624537037,0.610479798,0.621078488
LPC Silva,0.62037037,,,,,,,,,,0.62037037
KS Williamson,,,,,,,,0.652777778,0.416138954,0.780753968,0.6165569
JR Hopes,0.606124936,,,0.625526557,,,,,,,0.615825746
AB de Villiers,0.45787037,0.532529508,0.359401709,0.551935991,0.638765223,0.800453515,0.684497981,0.84628253,0.662093493,0.590174897,0.612400522
DA Miller,,,,,0.57797619,0.709699174,0.693948413,0.678509204,0.535790598,0.475892857,0.611969406
SR Watson,0.714521994,,0.704166667,0.614983165,0.670292208,0.69858709,0.549832112,0.707971776,0.486005291,0.356575964,0.611437363
SK Raina,0.582121566,0.731349455,0.693434247,0.59236257,0.616898148,0.536271055,0.695945258,0.499154712,0.545403609,0.618318641,0.611125926
A Choudhary,,,,,,,,,,0.611111111,0.611111111
C Madan,,,0.611111111,,,,,,,,0.611111111
YV Takawale,0.891414141,0.5,,,,,0.434679487,,,,0.608697876
DJ Bravo,0.60170068,0.447585979,0.536805556,0.638888889,0.868962981,0.719675926,0.666666667,0.511782021,0.451256614,,0.604813924
M Vohra,,,,,,0.518809524,0.805209007,0.448280423,0.550396825,0.689917695,0.602522695
GJ Maxwell,,,,,0.229166667,0.680555556,0.817184841,0.701443001,0.447664835,0.735958486,0.601995564
Yuvraj Singh,0.731074481,0.549451805,0.659331839,0.595050783,,0.537286325,0.624287089,0.517592593,0.650079365,0.544159544,0.600923758
AP Dole,,,0.597222222,,,,,,,,0.597222222
D Salunkhe,0.595238095,,,,,,,,,,0.595238095
N Rana,,,,,,,,,0.635802469,0.551662458,0.593732464
SE Marsh,0.693542715,,0.41310307,0.656803045,0.582417582,0.560007876,0.811868687,0.488095238,0.445223064,0.670436508,0.591277532
PD Collingwood,,,0.590272776,,,,,,,,0.590272776
Shahid Afridi,0.58994709,,,,,,,,,,0.58994709
BB McCullum,0.845138889,0.552883812,0.44016637,0.682889048,0.44890555,0.25,0.595436317,0.898300937,0.542722989,0.642093008,0.589853692
BA Stokes,,,,,,,,,,0.589463228,0.589463228
Q de Kock,,,,,,0.305555556,0.69053288,0.692901235,0.667127581,,0.589029313
V Kohli,0.486877706,0.535774411,0.668696581,0.65171842,0.525466853,0.683153619,0.448668053,0.657969814,0.702508844,0.51011815,0.587095245
I Malhotra,,,,0.583333333,,,,,,,0.583333333
P Sahu,,,,,,,,,0.583333333,,0.583333333
STR Binny,,,0.666666667,0.569444444,0.508597884,0.593080357,0.311147186,0.505555556,1.057777778,0.451530612,0.58297506
JDS Neesham,,,,,,,0.581481481,,,,0.581481481
CA Lynn,,,,,0.291666667,,0.556818182,,0.5,0.965407958,0.578473202
S Dhawan,0.487743167,0.453571429,0.569540645,0.602172637,0.6683936,0.519583333,0.67281746,0.604293854,0.537756769,0.606881426,0.572275432
AJ Finch,,,0.5,0.319444444,0.65327381,0.673292465,0.550319962,0.405555556,0.726058201,0.749178172,0.572140326
JP Duminy,,0.502821071,0.581972789,0.50718254,0.652509219,,0.624437286,0.568554522,0.561079545,,0.571222425
KP Pietersen,,0.348765432,0.720115268,,0.754648775,,0.585122327,,0.43459596,,0.568649552
MV Boucher,0.593293651,0.53287037,0.3125,0.833333333,,,,,,,0.567999339
LRPL Taylor,0.908424908,0.600326862,0.481529582,0.520851371,0.564699074,0.448095238,0.439636752,,,,0.566223398
