batsman,30's
V Kohli,63
SK Raina,63
RG Sharma,59
DA Warner,57
G Gambhir,57
RV Uthappa,54
S Dhawan,48
MS Dhoni,48
CH Gayle,45
AB de Villiers,44
AM Rahane,43
KD Karthik,41
BB McCullum,41
SR Tendulkar,37
SE Marsh,37
YK Pathan,36
DR Smith,35
V Sehwag,35
M Vijay,35
SR Watson,35
AT Rayudu,35
Yuvraj Singh,35
JH Kallis,34
R Dravid,32
MK Pandey,29
PA Patel,29
MEK Hussey,28
JP Duminy,27
AC Gilchrist,26
KA Pollard,26
SPD Smith,25
MK Tiwary,24
KC Sangakkara,23
DPMD Jayawardene,23
S Badrinath,23
AJ Finch,21
BJ Hodge,21
SC Ganguly,21
DA Miller,20
F du Plessis,20
DJ Hussey,19
SV Samson,19
TM Dilshan,17
GJ Maxwell,17
LMP Simmons,17
ML Hayden,17
WP Saha,16
SS Tiwary,16
KP Pietersen,15
CL White,15
KK Nair,15
DJ Bravo,14
A Symonds,14
M Vohra,14
RA Jadeja,14
SS Iyer,12
MC Henriques,12
Mandeep Singh,12
LRPL Taylor,11
Y Venugopal Rao,11
Q de Kock,11
NV Ojha,11
HH Gibbs,11
ST Jayasuriya,10
EJG Morgan,10
KM Jadhav,10
MA Agarwal,10
AD Russell,10
IK Pathan,10
RR Pant,10
STR Binny,9
KL Rahul,9
GC Smith,9
JD Ryder,8
GJ Bailey,8
AD Mathews,8
RA Tripathi,7
KH Pandya,7
AR Patel,7
CJ Anderson,7
SA Asnodkar,7
JA Morkel,7
HM Amla,6
SA Yadav,6
Shakib Al Hasan,6
S Sohal,6
JP Faulkner,6
Harbhajan Singh,6
OA Shah,6
N Rana,6
MV Boucher,6
MS Bisla,6
TL Suman,6
AM Nayar,6
RS Bopara,6
CH Morris,5
M Manhas,5
PC Valthaty,5
NLTC Perera,5
AL Menaria,5
MJ Lumb,5
JC Buttler,5
Azhar Mahmood,5
DB Ravi Teja,5
Ishan Kishan,5
CA Lynn,5
KS Williamson,5
VVS Laxman,4
CA Pujara,4
RN ten Doeschate,4
BA Stokes,4
JR Hopes,4
SP Narine,4
TM Head,4
J Botha,4
LA Pomersbach,3
FY Fazal,3
UBT Chand,3
SM Katich,3
SP Fleming,3
GH Vihari,3
PD Collingwood,3
HH Pandya,3
P Negi,3
CM Gautam,3
BJ Rohrer,3
JEC Franklin,3
MR Marsh,3
LR Shukla,3
DJ Hooda,3
MP Stoinis,3
MJ Guptill,3
SN Khan,3
MN van Wyk,3
MN Samuels,2
R McLaren,2
MD Mishra,2
M Kaif,2
LJ Wright,2
KV Sharma,2
RE van der Merwe,2
N Saini,2
S Vidyut,2
SM Pollock,2
Misbah-ul-Haq,2
Niraj Patel,2
A Ashish Reddy,2
Gurkeerat Singh,2
Salman Butt,2
DH Yagnik,2
YV Takawale,2
A Mishra,2
DB Das,2
C de Grandhomme,2
AB McDonald,2
AC Blizzard,2
AC Voges,2
W Jaffer,2
BB Samantray,2
AP Majumdar,2
AP Tare,2
UT Khawaja,2
B Chipli,2
AS Raut,2
DJ Harris,2
AA Jhunjhunwala,2
SW Billings,2
SP Goswami,2
DT Christian,2
MS Gony,1
RE Levi,1
AB Agarkar,1
AB Barath,1
SD Chitnis,1
Kamran Akmal,1
RJ Quiney,1
SK Warne,1
Bipul Sharma,1
LA Carseldine,1
BCJ Cutting,1
Y Nagar,1
S Anirudha,1
AP Dole,1
V Shankar,1
Ankit Sharma,1
MC Juneja,1
Anirudh Singh,1
RR Sarwan,1
MJ Clarke,1
KK Cooper,1
MF Maharoof,1
CR Brathwaite,1
K Goel,1
Iqbal Abdulla,1
Sachin Baby,1
Shahid Afridi,1
PA Reddy,1
P Kumar,1
P Dogra,1
SB Styris,1
K Rabada,1
JJ Roy,1
JDP Oram,1
DJG Sammy,1
J Suchith,1
DJ Jacobs,1
DJ Thornely,1
D Wiese,1
R Dhawan,0
VS Yeligati,0
VS Malik,0
VRV Singh,0
R Bhatia,0
RR Powar,0
VR Aaron,0
R Bishnoi,0
Younis Khan,0
VH Zol,0
RR Raje,0
R Sathish,0
VY Mahesh,0
RR Bhatkal,0
Vishnu Vinod,0
YS Chahal,0
X Thalaivan Sargunam,0
Washington Sundar,0
RR Rossouw,0
WPUJC Vaas,0
RD Chahar,0
R Vinay Kumar,0
R Rampaul,0
RG More,0
R Ninan,0
RJ Harris,0
RJ Peterson,0
YA Abdulla,0
R Tewatia,0
WD Parnell,0
RP Singh,0
WA Mota,0
R Shukla,0
Yashpal Singh,0
Y Gnaneswara Rao,0
R Sharma,0
S Aravind,0
V Pratap Singh,0
SB Bangar,0
Swapnil Singh,0
Sunny Singh,0
Sunny Gupta,0
Sohail Tanvir,0
S Sreesanth,0
S Sriram,0
S Tyagi,0
Shoaib Malik,0
SA Abbott,0
Shoaib Akhtar,0
Shoaib Ahmed,0
Shivam Sharma,0
SB Jakati,0
Umar Gul,0
SB Joshi,0
Sandeep Sharma,0
SB Wagh,0
SE Bond,0
SJ Srivastava,0
SW Tait,0
SK Trivedi,0
SL Malinga,0
SM Harwood,0
SS Shaikh,0
SP Jackson,0
SMSM Senanayake,0
T Henderson,0
T Kohli,0
S Randiv,0
S Rana,0
RS Gavaskar,0
UT Yadav,0
RS Sodhi,0
RT Ponting,0
RV Gomez,0
UA Birla,0
Rashid Khan,0
U Kaul,0
SN Thakur,0
TS Mills,0
S Badree,0
TR Birt,0
TM Srivastava,0
TG Southee,0
S Chanderpaul,0
TD Paine,0
S Gopal,0
S Kaul,0
S Kaushik,0
S Ladda,0
S Nadeem,0
S Narwal,0
TA Boult,0
T Thushara,0
T Taibu,0
R Ashwin,0
M Ntini,0
Parvez Rasool,0
CJ Ferguson,0
D Kalyankrishna,0
CRD Fernando,0
CR Woakes,0
CK Langeveldt,0
CK Kapugedera,0
CJ McKay,0
CJ Jordan,0
CA Ingram,0
D du Preez,0
C Nanda,0
C Munro,0
C Madan,0
Basil Thampi,0
BR Dunk,0
BMAJ Mendis,0
BJ Haddin,0
D Salunkhe,0
DAJ Bracewell,0
GR Napier,0
DS Kulkarni,0
GB Hogg,0
FH Edwards,0
F Behardien,0
ER Dwivedi,0
DW Steyn,0
DT Patil,0
DS Lehmann,0
DR Martyn,0
DE Bollinger,0
DP Vijaykumar,0
DP Nannes,0
DNT Zoysa,0
DM Bravo,0
DL Vettori,0
DL Chahar,0
DJ Muthuswami,0
BE Hendricks,0
BB Sran,0
BAW Mendis,0
A Uniyal,0
AD Mascarenhas,0
AC Thomas,0
AB Dinda,0
AA Noffke,0
AA Chavan,0
AA Bilakhia,0
A Zampa,0
A Singh,0
BA Bhatt,0
A Nehra,0
A Mukund,0
A Mithun,0
A Kumble,0
A Flintoff,0
A Choudhary,0
A Chopra,0
AD Nath,0
AF Milne,0
AG Murtaza,0
AG Paunikar,0
B Sumanth,0
B Lee,0
B Laughlin,0
B Kumar,0
B Akhil,0
Anureet Singh,0
Ankit Soni,0
Abdur Razzak,0
AUK Pathan,0
AS Yadav,0
AS Rajpoot,0
AR Bawne,0
AN Ghosh,0
AN Ahmed,0
AJ Tye,0
GD McGrath,0
H Das,0
Pankaj Singh,0
MG Johnson,0
Mohammad Asif,0
Mohammad Ashraful,0
Mashrafe Mortaza,0
MS Wade,0
MM Sharma,0
MM Patel,0
MJ McClenaghan,0
MDKJ Perera,0
Mohammad Nabi,0
MA Starc,0
MA Khote,0
M de Lange,0
M Rawat,0
A Chandila,0
M Muralitharan,0
M Morkel,0
Mohammad Hafeez,0
Mohammed Shami,0
HV Patel,0
PJ Cummins,0
PV Tambe,0
PSP Handscomb,0
PR Shah,0
PP Ojha,0
PP Chawla,0
PM Sarvesh Kumar,0
PJ Sangwan,0
P Sahu,0
ND Doshi,0
P Parameswaran,0
P Awana,0
NS Naik,0
NM Coulter-Nile,0
NL McCullum,0
NJ Rimmington,0
NJ Maddinson,0
M Klinger,0
M Kartik,0
M Ashwin,0
J Syed Mohammad,0
JJ van der Wath,0
JJ Bumrah,0
JE Taylor,0
JDS Neesham,0
JD Unadkat,0
J Yadav,0
J Theron,0
J Arunkumar,0
LPC Silva,0
Imran Tahir,0
IR Jaggi,0
IC Pandey,0
I Sharma,0
I Malhotra,0
Harpreet Singh,0
Harmeet Singh,0
JM Kemp,0
JO Holder,0
Jaskaran Singh,0
Joginder Sharma,0
LH Ferguson,0
L Ronchi,0
L Balaji,0
L Ablish,0
Kuldeep Yadav,0
Karanveer Singh,0
Kamran Khan,0
KW Richardson,0
KP Appanna,0
KMDN Kulasekara,0
KJ Abbott,0
KC Cariappa,0
KB Arun Karthik,0
KAJ Roach,0
K Upadhyay,0
Z Khan,0
