Player,Team 2010_x,Auction.P 2010,Base.P 2010,Team 2010_y,Base.P 2013,Auction.P 2013,Team 2016,Base.P 2016,Auction.P 2016,Team 2019,Base.P 2019,Auction.P 2019,Playing Role
Shane Bond†,Kolkata Knight Riders,750000.0,100000.0,,,,,,,,,,
Kieron Pollard†,Mumbai Indians,750000.0,200000.0,,,,,,,,,,
Kemar Roach,Deccan Chargers,720000.0,100000.0,,,,,,,,,,
Wayne Parnell,Delhi Daredevils,610000.0,200000.0,,,,,,,,,,
Mohammad Kaif,Kings XI Punjab,250000.0,100000.0,,,,,,,,,,
Eoin Morgan,Royal Challengers Bangalore,220000.0,200000.0,,,,,,,,,,
Damien Martyn,Rajasthan Royals,100000.0,100000.0,,,,,,,,,,
Justin Kemp,Chennai Super Kings,100000.0,100000.0,,,,,,,,,,
Thissara Perera,Chennai Super Kings,50000.0,50000.0,,,,,,,,,,
Adam Voges,Rajasthan Royals,50000.0,50000.0,,,,,,,,,,
Yusuf Abdulla,Kings XI Punjab,50000.0,50000.0,,,,,,,,,,
Christopher Barnwell,,,,Royal Challengers Bangalore,"$50,000","$50,000",,,,,,,
Johan Botha,,,,Delhi Daredevils,"$300,000","$450,000",,,,,,,
Daniel Christian,,,,Royal Challengers Bangalore,"$100,000","$100,000",,,,,,,
Michael Clarke,,,,Pune Warriors India,"$400,000","$400,000",,,,,,,
Nathan Coulter-Nile,,,,Mumbai Indians,"$100,000","$450,000",,,,,,,
Akila Dananjaya,,,,Chennai Super Kings,"$20,000","$20,000",,,,,,,
Quinton de Kock,,,,Sunrisers Hyderabad,"$20,000","$20,000",,,,,,,
Fidel Edwards,,,,Rajasthan Royals,"$100,000","$210,000",,,,,,,
James Faulkner,,,,Rajasthan Royals,"$100,000","$400,000",,,,,,,
Manpreet Gony,,,,Kings XI Punjab,"$200,000","$500,000",,,,,,,
Moisés Henriques,,,,Royal Challengers Bangalore,"$100,000","$300,000",,,,,,,
Jason Holder,,,,Chennai Super Kings,"$20,000","$20,000",Kolkata Knight Riders,50.0,70.0,,,,
Phillip Hughes,,,,Mumbai Indians,"$100,000","$100,000",,,,,,,
Ben Laughlin,,,,Chennai Super Kings,"$20,000","$20,000",,,,,,,
Glenn Maxwell,,,,Mumbai Indians,"$200,000","$1,000,000",,,,,,,
Nathan McCullum,,,,Sunrisers Hyderabad,"$100,000","$100,000",,,,,,,
Clint McKay,,,,Sunrisers Hyderabad,"$100,000","$100,000",,,,,,,
Ryan McLaren,,,,Kolkata Knight Riders,"$50,000","$50,000",,,,,,,
Ajantha Mendis,,,,Pune Warriors India,"$50,000","$725,000",,,,,,,
Jeevan Mendis,,,,Delhi Daredevils,"$50,000","$50,000",,,,,,,
Chris Morris,,,,Chennai Super Kings,"$20,000","$625,000",Delhi Daredevils,50.0,700.0,,,,
Dirk Nannes,,,,Chennai Super Kings,"$200,000","$600,000",,,,,,,
Abhishek Nayar,,,,Pune Warriors India,"$100,000","$675,000",,,,,,,
Jacob Oram,,,,Mumbai Indians,"$50,000","$50,000",,,,,,,
Kusal Perera,,,,Rajasthan Royals,"$20,000","$20,000",,,,,,,
Thisara Perera,,,,Sunrisers Hyderabad,"$50,000","$675,000",Rising Pune Supergiant,100.0,100.0,,,,
Luke Pomersbach,,,,Kings XI Punjab,"$50,000","$300,000",,,,,,,
Ricky Ponting,,,,Mumbai Indians,"$400,000","$400,000",,,,,,,
Ravi Rampaul,,,,Royal Challengers Bangalore,"$50,000","$290,000",,,,,,,
Kane Richardson,,,,Pune Warriors India,"$100,000","$700,000",Royal Challengers Bangalore,200.0,200.0,,,,
Jesse Ryder,,,,Delhi Daredevils,"$100,000","$260,000",,,,,,,
Darren Sammy,,,,Sunrisers Hyderabad,"$100,000","$425,000",,,,,,,
Sachithra Senanayake,,,,Kolkata Knight Riders,"$50,000","$625,000",,,,,,,
Pankaj Singh,,,,Royal Challengers Bangalore,"$50,000","$150,000",,,,,,,
R. P. Singh,,,,Royal Challengers Bangalore,"$100,000","$400,000",Rising Pune Supergiant,30.0,30.0,,,,
Sudeep Tyagi,,,,Sunrisers Hyderabad,"$100,000","$100,000",,,,,,,
Jaydev Unadkat,,,,Royal Challengers Bangalore,"$100,000","$525,000",Kolkata Knight Riders,30.0,160.0,Rajasthan Royals,150.0,840.0,Bowler
Kevin Pietersen,,,,,,,Rising Pune Supergiant,200.0,300.0,,,,
Dwayne Smith,,,,,,,Gujarat Lions,50.0,230.0,,,,
Ishant Sharma,,,,,,,Rising Pune Supergiant,200.0,380.0,Delhi Capitals,75.0,110.0,Bowler
Shane Watson,,,,,,,Royal Challengers Bangalore,200.0,950.0,,,,
Ashish Nehra,,,,,,,Sunrisers Hyderabad,200.0,550.0,,,,
Yuvraj Singh,,,,,,,Sunrisers Hyderabad,200.0,700.0,Mumbai Indians,100.0,100.0,All-rounder
Dale Steyn,,,,,,,Gujarat Lions,150.0,230.0,,,,
Sanju Samson,,,,,,,Delhi Daredevils,200.0,420.0,,,,
Jos Buttler,,,,,,,Mumbai Indians,150.0,380.0,,,,
Dinesh Karthik,,,,,,,Gujarat Lions,200.0,230.0,,,,
Irfan Pathan,,,,,,,Rising Pune Supergiant,100.0,100.0,,,,
Colin Munro,,,,,,,Kolkata Knight Riders,30.0,30.0,,,,
Stuart Binny,,,,,,,Royal Challengers Bangalore,200.0,200.0,,,,
Mitchell Marsh,,,,,,,Rising Pune Supergiant,200.0,480.0,,,,
Dhawal Kulkarni,,,,,,,Gujarat Lions,200.0,230.0,,,,
John Hastings,,,,,,,Kolkata Knight Riders,100.0,130.0,,,,
