,id,season,bowler,over,total_runs
0,1,2017,A Choudhary,2,16
1,1,2017,A Choudhary,10,4
2,1,2017,A Choudhary,13,18
3,1,2017,A Choudhary,18,17
4,1,2017,A Nehra,1,11
5,1,2017,A Nehra,3,16
6,1,2017,A Nehra,11,13
7,1,2017,A Nehra,18,2
8,1,2017,B Kumar,2,1
9,1,2017,B Kumar,4,15
10,1,2017,B Kumar,17,3
11,1,2017,B Kumar,19,9
12,1,2017,BCJ Cutting,5,5
13,1,2017,BCJ Cutting,9,11
14,1,2017,BCJ Cutting,16,12
15,1,2017,BCJ Cutting,20,7
16,1,2017,Bipul Sharma,14,4
17,1,2017,DJ Hooda,7,7
18,1,2017,MC Henriques,10,13
19,1,2017,MC Henriques,12,7
20,1,2017,Rashid Khan,6,6
21,1,2017,Rashid Khan,8,13
22,1,2017,Rashid Khan,13,8
23,1,2017,Rashid Khan,15,9
24,1,2017,S Aravind,5,9
25,1,2017,S Aravind,12,8
26,1,2017,S Aravind,15,19
27,1,2017,SR Watson,6,17
28,1,2017,SR Watson,14,8
29,1,2017,SR Watson,20,16
30,1,2017,STR Binny,11,10
31,1,2017,TM Head,8,11
32,1,2017,TS Mills,1,7
33,1,2017,TS Mills,3,6
34,1,2017,TS Mills,17,7
35,1,2017,TS Mills,19,12
36,1,2017,YS Chahal,4,4
37,1,2017,YS Chahal,7,5
38,1,2017,YS Chahal,9,9
39,1,2017,YS Chahal,16,4
40,2,2017,A Zampa,9,10
41,2,2017,A Zampa,11,10
42,2,2017,A Zampa,16,7
43,2,2017,AB Dinda,1,11
44,2,2017,AB Dinda,3,9
45,2,2017,AB Dinda,18,8
46,2,2017,AB Dinda,20,30
47,2,2017,BA Stokes,4,13
48,2,2017,BA Stokes,8,3
49,2,2017,BA Stokes,13,11
50,2,2017,BA Stokes,19,9
51,2,2017,DL Chahar,2,8
52,2,2017,DL Chahar,6,13
53,2,2017,HH Pandya,2,15
54,2,2017,HH Pandya,7,4
55,2,2017,HH Pandya,9,9
56,2,2017,HH Pandya,16,9
57,2,2017,Imran Tahir,5,7
58,2,2017,Imran Tahir,7,2
59,2,2017,Imran Tahir,15,9
60,2,2017,Imran Tahir,17,10
61,2,2017,JJ Bumrah,5,4
62,2,2017,JJ Bumrah,12,8
63,2,2017,JJ Bumrah,17,10
64,2,2017,JJ Bumrah,19,7
65,2,2017,KA Pollard,14,15
66,2,2017,KA Pollard,20,15
67,2,2017,KH Pandya,8,10
68,2,2017,KH Pandya,10,11
69,2,2017,MJ McClenaghan,4,4
70,2,2017,MJ McClenaghan,6,16
71,2,2017,MJ McClenaghan,13,9
72,2,2017,MJ McClenaghan,18,7
73,2,2017,R Bhatia,10,6
74,2,2017,R Bhatia,12,3
75,2,2017,R Bhatia,14,5
76,2,2017,TG Southee,1,8
77,2,2017,TG Southee,3,12
78,2,2017,TG Southee,11,4
79,2,2017,TG Southee,15,10
80,3,2017,CR Woakes,6,12
81,3,2017,CR Woakes,8,8
82,3,2017,CR Woakes,19,16
83,3,2017,DR Smith,7,23
84,3,2017,DS Kulkarni,2,13
85,3,2017,DS Kulkarni,5,7
86,3,2017,DS Kulkarni,15,22
87,3,2017,Kuldeep Yadav,7,12
88,3,2017,Kuldeep Yadav,9,4
89,3,2017,Kuldeep Yadav,11,4
90,3,2017,Kuldeep Yadav,16,5
91,3,2017,MS Gony,3,17
92,3,2017,MS Gony,11,15
93,3,2017,P Kumar,1,7
94,3,2017,P Kumar,13,6
95,3,2017,PP Chawla,2,8
96,3,2017,PP Chawla,4,7
97,3,2017,PP Chawla,14,7
98,3,2017,PP Chawla,17,11
99,3,2017,S Kaushik,4,9
100,3,2017,S Kaushik,6,20
101,3,2017,S Kaushik,9,6
102,3,2017,S Kaushik,14,9
103,3,2017,SB Jakati,8,7
104,3,2017,SB Jakati,10,7
105,3,2017,SB Jakati,12,16
106,3,2017,SP Narine,3,6
107,3,2017,SP Narine,5,11
108,3,2017,SP Narine,13,7
109,3,2017,SP Narine,15,9
110,3,2017,TA Boult,1,8
111,3,2017,TA Boult,12,7
112,3,2017,TA Boult,18,12
113,3,2017,TA Boult,20,14
114,3,2017,YK Pathan,10,15
115,4,2017,AB Dinda,1,6
116,4,2017,AB Dinda,3,8
117,4,2017,AB Dinda,18,12
118,4,2017,AR Patel,6,3
