batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values1617
DA Warner,48.03225806,150,56,14,1,1041,1489,143.0355427,21,0.893642435
V Kohli,49.26923077,107,48,15,4,912,1281,140.4605263,16,0.808972116
AB de Villiers,36.12,71,53,8,1,586,903,154.0955631,10,0.639138901
G Gambhir,32.22580645,118,13,9,0,829,999,120.5066345,14,0.602058975
S Dhawan,31.61290323,104,17,7,0,821,980,119.3666261,14,0.587988173
AM Rahane,28.73333333,89,18,8,0,715,862,120.5594406,14,0.561864164
RV Uthappa,27.92857143,84,29,8,0,539,782,145.0834879,11,0.561816946
SPD Smith,33.72727273,66,20,4,1,584,742,127.0547945,12,0.544287574
SK Raina,29,80,23,6,0,631,841,133.2805071,11,0.543636737
RG Sharma,27.4,82,26,8,0,650,822,126.4615385,11,0.538985926
AJ Finch,27.72,72,30,5,0,501,693,138.3233533,10,0.523575542
BB McCullum,24.96296296,67,34,3,0,500,674,134.8,12,0.51784895
HM Amla,36.0625,60,21,5,2,418,577,138.0382775,6,0.503875387
KD Karthik,24.85714286,67,14,4,0,541,696,128.650647,12,0.489536991
DR Smith,24.47826087,66,24,5,0,384,563,146.6145833,9,0.485422062
RR Pant,23.5,47,30,3,0,381,564,148.0314961,10,0.482426273
MK Pandey,28,44,21,3,0,505,644,127.5247525,10,0.477492263
Q de Kock,34.23076923,53,13,4,1,340,445,130.8823529,7,0.467572628
KL Rahul,33.08333333,37,16,4,0,277,397,143.3212996,7,0.466660475
SV Samson,24.17857143,52,27,4,1,540,677,125.3703704,9,0.465480402
GJ Maxwell,21.26086957,35,34,2,0,315,489,155.2380952,9,0.459932134
CA Lynn,35.55555556,25,20,2,0,198,320,161.6161616,4,0.45909227
KK Nair,25.52,79,12,4,0,533,638,119.6998124,9,0.45686832
KH Pandya,25.26315789,46,20,1,0,313,480,153.3546326,7,0.443853309
KA Pollard,21.53571429,39,39,3,0,450,603,134,7,0.443710842
M Vijay,32.35714286,52,10,5,0,373,453,121.4477212,6,0.439372949
RA Tripathi,27.92857143,45,17,2,0,275,391,142.1818182,7,0.437514714
PA Patel,22,74,12,3,0,469,572,121.9616205,9,0.429934032
N Rana,29.13333333,30,25,3,0,355,437,123.0985915,6,0.425785529
SE Marsh,30.21428571,49,8,3,0,332,423,127.4096386,6,0.421239041
Yuvraj Singh,23.23809524,51,21,2,0,371,488,131.5363881,7,0.419026402
CH Gayle,22.47368421,32,35,3,0,331,427,129.0030211,6,0.4115793
JC Buttler,22,50,26,1,0,375,528,140.8,5,0.411152933
YK Pathan,21,43,19,4,0,379,504,132.9815303,7,0.410434801
MS Dhoni,21.25925926,34,30,2,0,481,574,119.3347193,7,0.407356897
CH Morris,23.26666667,30,18,2,0,211,349,165.4028436,4,0.402812675
KS Williamson,29.23076923,35,10,2,0,296,380,128.3783784,5,0.397480113
BA Stokes,28.72727273,22,15,1,1,227,316,139.2070485,4,0.389193995
AT Rayudu,25,35,15,3,0,364,425,116.7582418,6,0.386493409
M Vohra,24.375,42,12,2,0,306,390,127.4509804,5,0.37888999
MK Tiwary,24.92307692,31,11,2,0,242,324,133.8842975,5,0.3760613
WP Saha,21.91304348,48,9,3,0,408,504,123.5294118,5,0.374129105
F du Plessis,30.57142857,19,9,2,0,176,214,121.5909091,4,0.365643718
MC Henriques,17.65384615,43,10,3,0,367,459,125.0681199,6,0.357765959
Ishan Kishan,21.26666667,34,13,1,0,255,319,125.0980392,5,0.34885368
SS Iyer,20.44444444,38,11,1,0,295,368,124.7457627,5,0.347685612
AD Russell,23.5,11,15,0,0,125,188,150.4,3,0.346699746
KM Jadhav,19.3125,26,12,1,0,227,309,136.123348,4,0.335629988
SS Tiwary,27.75,26,4,3,0,195,222,113.8461538,3,0.335497517
SN Khan,16.5,7,4,0,0,31,66,212.9032258,1,0.334272252
DL Chahar,14,0,2,0,0,6,14,233.3333333,0,0.324753205
SP Narine,13.58823529,34,10,1,0,149,231,155.033557,4,0.3214281
TM Head,20.5,12,8,1,0,151,205,135.7615894,4,0.32046472
SW Billings,22.6,24,5,2,0,173,226,130.6358382,2,0.31563462
AR Patel,14.69565217,15,19,0,0,252,338,134.1269841,4,0.31303445
