bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets,values
JJ Bumrah,117,866,7.4017094017094,51,117,16,0.136752136752136,6,0.0512820512820512,38,38,0.48604267992416716
HH Pandya,86,833,9.6860465116279,20,86,26,0.302325581395348,2,0.0232558139534883,21,35,0.48510768443393665
Rashid Khan,129,889,6.89147286821705,30,129,9,0.0697674418604651,0,0.0,13,42,0.46650586139147754
DJ Bravo,96,918,9.5625,48,96,31,0.322916666666666,2,0.0208333333333333,1,31,0.46253470234633853
AJ Tye,78,725,9.29487179487179,32,78,20,0.256410256410256,2,0.0256410256410256,21,31,0.4483510203215692
DL Chahar,104,806,7.75,10,104,27,0.259615384615384,5,0.048076923076923,83,32,0.43637278469079926
UT Yadav,92,838,9.10869565217391,17,92,20,0.217391304347826,3,0.0326086956521739,52,29,0.43212737446441274
S Kaul,93,826,8.88172043010752,35,93,10,0.10752688172043,3,0.032258064516129,20,30,0.4294697730981336
SN Thakur,77,749,9.72727272727272,31,77,25,0.324675324675324,0,0.0,32,26,0.419833855460627
JD Unadkat,89,916,10.2921348314606,34,89,19,0.213483146067415,1,0.0112359550561797,23,23,0.40847305817912766
R Vinay Kumar,4,67,16.75,2,4,1,0.25,1,0.25,2,2,0.4078089251803595
YS Chahal,100,816,8.16,13,100,26,0.26,3,0.03,26,30,0.4014000771184284
TA Boult,72,668,9.27777777777777,26,72,18,0.25,1,0.0138888888888888,38,25,0.39787608295171617
J Archer,83,676,8.14457831325301,37,83,18,0.216867469879518,3,0.036144578313253,31,27,0.3943529604844717
Mohammed Shami,68,639,9.39705882352941,26,68,9,0.13235294117647,1,0.0147058823529411,27,25,0.3914031209680349
SP Narine,106,854,8.0566037735849,24,106,16,0.150943396226415,0,0.0,33,28,0.3852528907249418
B Kumar,106,854,8.0566037735849,40,106,20,0.188679245283018,3,0.0283018867924528,56,24,0.3824711533425599
AD Russell,69,667,9.66666666666666,16,69,12,0.17391304347826,1,0.0144927536231884,22,24,0.3815746455228743
Imran Tahir,86,654,7.60465116279069,17,86,7,0.0813953488372093,0,0.0,2,32,0.38054504579139425
K Rabada,48,401,8.35416666666666,24,48,12,0.25,0,0.0,17,28,0.3797927428037942
S Gopal,79,598,7.56962025316455,7,79,2,0.0253164556962025,1,0.0126582278481012,6,32,0.3732550786369027
Mohammed Siraj,70,686,9.8,30,70,34,0.485714285714285,2,0.0285714285714285,13,20,0.371839458269406
R Ashwin,106,839,7.91509433962264,13,106,23,0.216981132075471,0,0.0,19,28,0.36826984027847065
KC Cariappa,2,35,17.5,0,2,1,0.5,0,0.0,1,0,0.36730484437751004
SL Malinga,46,477,10.3695652173913,21,46,9,0.195652173913043,2,0.0434782608695652,19,18,0.35590261189850875
PP Chawla,94,838,8.91489361702127,13,94,1,0.0106382978723404,0,0.0,32,23,0.3510328122323701
P Krishna,69,685,9.92753623188406,27,69,18,0.260869565217391,4,0.0579710144927536,31,16,0.3464903935039786
CH Morris,47,486,10.3404255319148,20,47,9,0.191489361702127,2,0.0425531914893617,17,16,0.3365357218079958
Harbhajan Singh,76,597,7.85526315789473,3,76,9,0.118421052631578,0,0.0,33,25,0.33259001548585365
K Ahmed,38,351,9.23684210526315,10,38,14,0.368421052631578,0,0.0,21,20,0.33022260197613484
RA Jadeja,95,681,7.16842105263157,13,95,10,0.105263157894736,0,0.0,8,27,0.3290898773111016
MK Tiwary,1,13,13.0,0,1,3,3.0,0,0.0,0,0,0.32884615384615384
Kuldeep Yadav,85,726,8.54117647058823,9,85,12,0.141176470588235,0,0.0,4,23,0.32728498836976855
S Midhun,2,32,16.0,0,2,1,0.5,0,0.0,0,0,0.3264383012820513
MJ McClenaghan,58,513,8.84482758620689,10,58,20,0.344827586206896,1,0.0172413793103448,34,19,0.3233869188134969
KH Pandya,87,641,7.36781609195402,11,87,10,0.114942528735632,0,0.0,23,25,0.32252447253256
AS Rajpoot,43,414,9.62790697674418,7,43,8,0.186046511627906,7,0.162790697674418,26,14,0.3180682071387726
BA Stokes,54,540,10.0,16,54,16,0.296296296296296,2,0.037037037037037,13,15,0.31745620354301396
CJ Anderson,9,124,13.7777777777777,6,9,5,0.555555555555555,0,0.0,0,5,0.315927392324449
M Ur Rahman,61,513,8.40983606557376,11,61,23,0.377049180327868,0,0.0,20,18,0.2954741283582514
